date,gt_recession,gt_inflation,gt_credit,gt_liquidity,rec_pressure,rec_transmission,rec_damage,inf_level,inf_direction,inf_transmission,cre_pressure,cre_transmission,cre_damage,le_pressure,le_transmission,le_damage,liq_pressure,liq_transmission,liq_damage,stag_divergence,stag_constraint,stag_risk,val_pressure,val_transmission,val_damage
2006-01-30,0,0,0,0,0,-1,0,0,1,2,0,0,1,2,1,2,1,2,-1,0,0,0,-1,2,-1
2006-02-27,0,0,0,0,0,-1,1,0,1,2,0,0,1,2,1,2,1,2,-1,0,0,0,-1,2,-1
2006-03-30,0,0,0,0,0,2,1,0,1,1,0,0,1,2,2,2,1,2,-1,0,0,0,-1,2,-1
2006-04-29,0,0,0,0,1,1,0,1,1,1,0,0,1,2,2,2,1,2,-1,1,0,0,-1,2,-1
2006-05-30,0,0,0,0,1,2,1,1,1,1,0,0,1,2,2,2,1,2,-1,1,0,0,-1,2,-1
2006-06-29,0,0,0,0,1,1,1,1,1,1,0,0,1,2,2,2,1,2,-1,1,0,0,-1,2,-1
2006-07-30,0,0,0,0,0,1,0,1,1,1,0,0,1,2,2,2,1,2,-1,0,0,0,-1,2,-1
2006-08-30,0,0,0,0,0,1,0,1,1,1,0,0,1,2,2,2,1,2,-1,0,0,0,-1,2,-1
2006-09-29,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,2,1,2,-1,0,0,0,-1,2,-1
2006-10-30,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,2,1,2,-1,0,0,0,-1,2,-1
2006-11-29,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,2,1,2,-1,0,0,0,-1,2,-1
2006-12-30,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,1,2,-1,0,0,0,-1,2,-1
2007-01-30,0,0,0,0,1,0,1,1,0,0,0,0,1,2,2,2,1,2,-1,0,0,0,-1,2,-1
2007-02-27,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,2,1,2,-1,1,0,0,-1,2,-1
2007-03-30,0,0,0,0,1,0,0,1,1,0,0,0,1,1,2,2,1,2,-1,0,0,0,-1,2,-1
2007-04-29,0,0,0,0,1,0,1,1,0,0,1,0,2,2,2,2,1,2,-1,0,0,0,-1,2,-1
2007-05-30,0,0,0,0,1,0,1,1,0,1,1,0,2,2,2,2,1,2,-1,0,0,0,-1,2,-1
2007-06-29,0,0,0,0,1,0,1,1,0,1,1,0,2,2,2,2,1,2,-1,0,0,0,-1,2,-1
2007-07-30,0,0,0,0,1,0,1,1,0,0,2,0,2,2,2,2,1,2,-1,0,0,0,-1,2,-1
2007-08-30,0,0,0,0,1,0,0,1,0,0,2,0,2,2,2,2,1,2,-1,0,0,0,-1,2,-1
2007-09-29,0,0,0,0,1,0,1,1,1,1,2,0,2,2,2,2,1,2,-1,1,0,0,-1,2,-1
2007-10-30,0,0,0,0,1,0,0,1,1,0,2,0,2,2,1,2,1,2,-1,1,0,0,-1,2,-1
2007-11-29,0,0,0,0,1,0,0,1,1,0,2,0,2,1,1,2,1,2,-1,1,0,0,-1,1,-1
2007-12-30,1,0,0,0,1,0,1,1,1,0,2,1,2,2,1,2,1,2,-1,1,0,0,-1,1,-1
2008-01-30,1,0,0,0,1,0,1,1,1,1,2,0,2,2,0,2,1,2,-1,1,0,0,-1,0,-1
2008-02-28,1,0,0,0,1,0,1,0,1,1,2,1,2,2,0,2,1,2,-1,1,0,0,-1,0,-1
2008-03-30,1,0,0,0,2,0,1,0,1,0,2,1,2,2,0,2,1,2,-1,1,0,0,-1,0,-1
2008-04-29,1,0,0,0,1,0,2,0,0,0,1,1,2,2,1,2,1,2,-1,1,0,0,-1,1,-1
