Date,Value
1970-01-31,16.37
1970-02-28,16.53
1970-03-31,15.87
1970-04-30,13.98
1970-05-31,13.8
1970-06-30,13.73
1970-07-31,14.1
1970-08-31,14.84
1970-09-30,15.06
1970-10-31,14.95
1970-11-30,15.87
1970-12-31,16.46
1971-01-31,17.03
1971-02-28,17.4
1971-03-31,17.92
1971-04-30,17.56
1971-05-31,17.08
1971-06-30,16.89
1971-07-31,16.52
1971-08-31,16.86
1971-09-30,16.43
1971-10-31,15.64
1971-11-30,16.6
1971-12-31,17.26
1972-01-31,17.46
1972-02-29,17.81
1972-03-31,17.92
1972-04-30,17.66
1972-05-31,17.64
1972-06-30,17.4
1972-07-31,17.94
1972-08-31,17.61
1972-09-30,17.53
1972-10-31,18.34
1972-11-30,18.65
1972-12-31,18.71
1973-01-31,17.89
1973-02-28,17.41
1973-03-31,16.94
1973-04-30,16.31
1973-05-31,15.81
1973-06-30,15.89
1973-07-31,15.28
1973-08-31,15.48
1973-09-30,15.91
1973-10-31,14.65
1973-11-30,13.49
1973-12-31,13.53
1974-01-31,12.96
1974-02-28,13.31
1974-03-31,12.55
1974-04-30,12
1974-05-31,11.89
1974-06-30,10.39
1974-07-31,9.82
1974-08-31,8.68
1974-09-30,8.74
1974-10-31,8.95
1974-11-30,8.29
1974-12-31,8.92
1975-01-31,9.76
1975-02-28,10.16
1975-03-31,10.23
1975-04-30,10.82
1975-05-31,11.01
1975-06-30,10.9
1975-07-31,10.09
1975-08-31,9.92
1975-09-30,10.33
1975-10-31,10.44
1975-11-30,10.25
1975-12-31,11.19
1976-01-31,11.59
1976-02-29,11.63
1976-03-31,11.69
1976-04-30,11.53
1976-05-31,11.54
1976-06-30,11.76
1976-07-31,11.6
1976-08-31,11.81
1976-09-30,11.35
1976-10-31,11.25
1976-11-30,11.6
1976-12-31,11.44
1977-01-31,11.01
1977-02-28,10.9
1977-03-31,10.64
1977-04-30,10.55
1977-05-31,10.53
1977-06-30,10.57
1977-07-31,10.27
1977-08-31,10.07
1977-09-30,9.77
1977-10-31,9.77
1977-11-30,9.68
1977-12-31,9.24
1978-01-31,9.05
1978-02-28,8.95
1978-03-31,9.26
1978-04-30,9.63
1978-05-31,9.55
1978-06-30,9.43
1978-07-31,10.02
1978-08-31,9.94
1978-09-30,9.53
1978-10-31,8.93
1978-11-30,9.01
1978-12-31,9.26
1979-01-31,9
1979-02-28,9.07
1979-03-31,9.13
1979-04-30,8.79
1979-05-31,8.85
1979-06-30,8.83
1979-07-31,9.13
1979-08-31,9.11
1979-09-30,8.68
1979-10-31,8.52
1979-11-30,8.75
1979-12-31,8.85
1980-01-31,9.05
1980-02-29,8.08
1980-03-31,7.84
1980-04-30,8.1
1980-05-31,8.51
1980-06-30,8.88
1980-07-31,9.07
1980-08-31,9.2
1980-09-30,9.36
1980-10-31,9.65
1980-11-30,9.39
1980-12-31,9.26
