Date,Value
1970-01-30,3.5
1970-02-27,3.63
1970-03-30,3.58
1970-04-29,3.69
1970-05-30,4.18
1970-06-29,4.21
1970-07-30,4.2
1970-08-30,4.09
1970-09-29,3.86
1970-10-30,3.76
1970-11-29,3.75
1970-12-30,3.49
1971-01-30,3.35
1971-02-27,3.21
1971-03-30,3.12
1971-04-29,3.02
1971-05-30,3.05
1971-06-29,3.11
1971-07-30,3.13
1971-08-30,3.18
1971-09-29,3.11
1971-10-30,3.17
1971-11-29,3.32
1971-12-30,3.1
1972-01-30,2.97
1972-02-28,2.92
1972-03-30,2.85
1972-04-29,2.82
1972-05-30,2.85
1972-06-29,2.84
1972-07-30,2.87
1972-08-30,2.77
1972-09-29,2.82
1972-10-30,2.83
1972-11-29,2.72
1972-12-30,2.68
1973-01-30,2.67
1973-02-27,2.77
1973-03-30,2.82
1973-04-29,2.89
1973-05-30,2.99
1973-06-29,3.07
1973-07-30,3.06
1973-08-30,3.13
1973-09-29,3.1
1973-10-30,3.01
1973-11-29,3.28
1973-12-30,3.57
1974-01-30,3.54
1974-02-27,3.66
1974-03-30,3.53
1974-04-29,3.74
1974-05-30,3.88
1974-06-29,3.9
1974-07-30,4.45
1974-08-30,4.68
1974-09-29,5.27
1974-10-30,5.17
1974-11-29,5.01
1974-12-30,5.37
1975-01-30,4.99
1975-02-27,4.55
1975-03-30,4.38
1975-04-29,4.35
1975-05-30,4.1
1975-06-29,4.02
1975-07-30,4.01
1975-08-30,4.33
1975-09-29,4.38
1975-10-30,4.18
1975-11-29,4.1
1975-12-30,4.15
1976-01-30,3.8
1976-02-28,3.66
1976-03-30,3.65
1976-04-29,3.64
1976-05-30,3.69
1976-06-29,3.69
1976-07-30,3.64
1976-08-30,3.7
1976-09-29,3.65
1976-10-30,3.84
1976-11-29,3.94
1976-12-30,3.87
1977-01-30,3.95
1977-02-27,4.1
1977-03-30,4.17
1977-04-29,4.29
1977-05-30,4.36
1977-06-29,4.39
1977-07-30,4.4
1977-08-30,4.56
1977-09-29,4.68
1977-10-30,4.86
1977-11-29,4.89
1977-12-30,4.98
1978-01-30,5.22
1978-02-27,5.35
1978-03-30,5.4
1978-04-29,5.22
1978-05-30,5
1978-06-29,5.03
1978-07-30,5.09
1978-08-30,4.8
1978-09-29,4.83
1978-10-30,5.01
1978-11-29,5.34
1978-12-30,5.28
1979-01-30,5.13
1979-02-27,5.25
1979-03-30,5.19
1979-04-29,5.14
1979-05-30,5.31
1979-06-29,5.25
1979-07-30,5.25
1979-08-30,5.08
1979-09-29,5.07
1979-10-30,5.32
1979-11-29,5.4
1979-12-30,5.24
1980-01-30,5.14
1980-02-28,4.99
1980-03-30,5.54
1980-04-29,5.68
1980-05-30,5.47
1980-06-29,5.18
1980-07-30,4.99
1980-08-30,4.88
1980-09-29,4.8
1980-10-30,4.69
1980-11-29,4.52
1980-12-30,4.61
1981-01-30,4.66
1981-02-27,4.86
1981-03-30,4.71
1981-04-29,4.7
1981-05-30,4.82
1981-06-29,4.83
1981-07-30,4.98
1981-08-30,5
1981-09-29,5.51
1981-10-30,5.47
1981-11-29,5.36
1981-12-30,5.36
1982-01-30,5.68
1982-02-27,5.84
1982-03-30,6.06
1982-04-29,5.8
1982-05-30,5.82
1982-06-29,6.21
1982-07-30,6.24
1982-08-30,6.23
1982-09-29,5.6
1982-10-30,5.17
1982-11-29,4.97
1982-12-30,4.93
1983-01-30,4.77
1983-02-27,4.7
1983-03-30,4.55
1983-04-29,4.39
1983-05-30,4.22
1983-06-29,4.17
1983-07-30,4.17
1983-08-30,4.3
1983-09-29,4.19
1983-10-30,4.19
1983-11-29,4.27
