Date,Value
1970-01-31,6.52
1970-02-28,6.35
1970-03-31,6.51
1970-04-30,7.31
1970-05-31,7.3
1970-06-30,7.22
1970-07-31,6.95
1970-08-31,6.49
1970-09-30,6.26
1970-10-31,6.18
1970-11-30,5.7
1970-12-31,5.52
1971-01-31,5.34
1971-02-28,5.24
1971-03-31,5.1
1971-04-30,5.2
1971-05-31,5.33
1971-06-30,5.41
1971-07-31,5.55
1971-08-31,5.46
1971-09-30,5.67
1971-10-31,6.05
1971-11-30,5.75
1971-12-31,5.55
1972-01-31,5.49
1972-02-29,5.39
1972-03-31,5.39
1972-04-30,5.49
1972-05-31,5.53
1972-06-30,5.62
1972-07-31,5.48
1972-08-31,5.61
1972-09-30,5.69
1972-10-31,5.5
1972-11-30,5.46
1972-12-31,5.53
1973-01-31,5.84
1973-02-28,6.05
1973-03-31,6.29
1973-04-30,6.61
1973-05-31,6.9
1973-06-30,6.98
1973-07-31,7.26
1973-08-31,7.28
1973-09-30,7.15
1973-10-31,7.85
1973-11-30,8.61
1973-12-31,8.56
1974-01-31,8.87
1974-02-28,8.58
1974-03-31,9.18
1974-04-30,9.61
1974-05-31,9.73
1974-06-30,11.18
1974-07-31,11.82
1974-08-31,13.37
1974-09-30,13.01
1974-10-31,12.49
1974-11-30,13.25
1974-12-31,12.05
1975-01-31,10.73
1975-02-28,10.09
1975-03-31,9.78
1975-04-30,9.02
1975-05-31,8.61
1975-06-30,8.53
1975-07-31,9.13
1975-08-31,9.16
1975-09-30,8.84
1975-10-31,8.76
1975-11-30,8.97
1975-12-31,8.46
1976-01-31,8.38
1976-02-29,8.57
1976-03-31,8.69
1976-04-30,8.95
1976-05-31,9.09
1976-06-30,8.97
1976-07-31,9.15
1976-08-31,9.05
1976-09-30,9.49
1976-10-31,9.67
1976-11-30,9.47
1976-12-31,9.6
1977-01-31,9.92
1977-02-28,10.02
1977-03-31,10.29
1977-04-30,10.44
1977-05-31,10.49
1977-06-30,10.5
1977-07-31,10.86
1977-08-31,11.13
1977-09-30,11.49
1977-10-31,11.49
1977-11-30,11.61
1977-12-31,12.08
1978-01-31,12.26
1978-02-28,12.29
1978-03-31,11.89
1978-04-30,11.42
1978-05-31,11.5
1978-06-30,11.67
1978-07-31,11.03
1978-08-31,11.14
1978-09-30,11.75
1978-10-31,12.75
1978-11-30,12.83
1978-12-31,12.69
1979-01-31,13.21
1979-02-28,13.29
1979-03-31,13.25
1979-04-30,13.79
1979-05-31,13.75
1979-06-30,13.82
1979-07-31,13.42
1979-08-31,13.47
1979-09-30,14.07
1979-10-31,14.26
1979-11-30,13.78
1979-12-31,13.53
1980-01-31,13.14
1980-02-29,14.6
1980-03-31,14.73
1980-04-30,13.98
1980-05-31,13.04
1980-06-30,12.39
