Date,Value
1970-12-30,43.2
1971-12-30,46.48
1972-12-30,50.62
1973-12-30,59.19
1974-12-30,57.4
1975-12-30,48.06
1976-12-30,57.06
1977-12-30,58.77
1978-12-30,61.03
1979-12-30,64.93
1980-12-30,57.55
1981-12-30,54.76
1982-12-30,43.4
1983-12-30,46.41
1984-12-30,52.96
1985-12-30,44.8
1986-12-30,43.91
1987-12-30,50.82
1988-12-30,66.05
1989-12-30,60.78
1990-12-30,53.45
1991-12-30,38.81
1992-12-30,45.08
1993-12-30,50.31
1994-12-30,68.5
1995-12-30,74.14
1996-12-30,81.84
1997-12-30,82.52
1998-12-30,77.1
1999-12-30,95.92
2000-12-30,96.3
2001-12-30,46.83
2002-12-30,51.11
2003-12-30,88.63
2004-12-30,103.11
2005-12-30,118.91
2006-12-30,135.36
2007-12-30,105.59
2008-12-30,23.72
2009-12-30,79.1
2010-12-30,118.27
2011-12-30,129.12
2012-12-30,126.27
2013-12-30,144.09
2014-12-30,146.02
2015-12-30,122.6
2016-12-30,131.24
2017-12-30,149.37
2018-12-30,176.6
2019-12-30,181.88
2020-12-30,121.11
2021-12-30,237.84
2022-12-30,195.06
2023-12-30,210.23
2024-12-30,223.17
2025-09-29,241.5
