Date,Value
1970-01-31,15.35
1970-02-28,15.75
1970-03-31,15.37
1970-04-30,13.69
1970-05-31,13.69
1970-06-30,13.85
1970-07-31,14.39
1970-08-31,15.41
1970-09-30,15.97
1970-10-31,16.19
1970-11-30,17.55
1970-12-31,18.12
1971-01-31,18.71
1971-02-28,19.08
1971-03-31,19.61
1971-04-30,19.22
1971-05-31,18.74
1971-06-30,18.48
1971-07-31,18.03
1971-08-31,18.31
1971-09-30,17.62
1971-10-31,16.54
1971-11-30,17.4
1971-12-31,18.01
1972-01-31,18.22
1972-02-29,18.54
1972-03-31,18.56
1972-04-30,18.2
1972-05-31,18.09
1972-06-30,17.79
1972-07-31,18.25
1972-08-31,17.82
1972-09-30,17.58
1972-10-31,18.19
1972-11-30,18.3
1972-12-31,18.09
1973-01-31,17.11
1973-02-28,16.53
1973-03-31,15.89
1973-04-30,15.13
1973-05-31,14.5
1973-06-30,14.33
1973-07-31,13.77
1973-08-31,13.73
1973-09-30,13.99
1973-10-31,12.74
1973-11-30,11.62
1973-12-31,11.68
1974-01-31,11.27
1974-02-28,11.66
1974-03-31,10.89
1974-04-30,10.41
1974-05-31,10.27
1974-06-30,8.95
1974-07-31,8.46
1974-08-31,7.48
1974-09-30,7.68
1974-10-31,8
1974-11-30,7.54
1974-12-31,8.3
1975-01-31,9.32
1975-02-28,9.91
1975-03-31,10.22
1975-04-30,11.09
1975-05-31,11.61
1975-06-30,11.72
1975-07-31,10.95
1975-08-31,10.91
1975-09-30,11.32
1975-10-31,11.41
1975-11-30,11.14
1975-12-31,11.82
1976-01-31,11.94
1976-02-29,11.67
1976-03-31,11.51
1976-04-30,11.18
1976-05-31,11.01
1976-06-30,11.14
1976-07-31,10.93
1976-08-31,11.05
1976-09-30,10.54
1976-10-31,10.34
1976-11-30,10.57
1976-12-31,10.41
1977-01-31,10.08
1977-02-28,9.98
1977-03-31,9.72
1977-04-30,9.58
1977-05-31,9.53
1977-06-30,9.53
1977-07-31,9.21
1977-08-31,8.99
1977-09-30,8.7
1977-10-31,8.71
1977-11-30,8.62
1977-12-31,8.28
1978-01-31,8.16
1978-02-28,8.13
1978-03-31,8.41
1978-04-30,8.75
1978-05-31,8.7
1978-06-30,8.57
1978-07-31,9.07
1978-08-31,8.98
1978-09-30,8.51
1978-10-31,7.84
1978-11-30,7.79
1978-12-31,7.88
1979-01-31,7.57
1979-02-28,7.53
1979-03-31,7.55
1979-04-30,7.25
1979-05-31,7.27
1979-06-30,7.23
1979-07-31,7.45
1979-08-31,7.42
1979-09-30,7.11
1979-10-31,7.01
1979-11-30,7.25
1979-12-31,7.39
1980-01-31,7.61
1980-02-29,6.85
1980-03-31,6.79
1980-04-30,7.15
1980-05-31,7.67
1980-06-30,8.07
1980-07-31,8.38
1980-08-31,8.64
1980-09-30,8.86
1980-10-31,9.19
1980-11-30,9.01
1980-12-31,9.02
1981-01-31,8.76
1981-02-28,9.14
1981-03-31,9.13
1981-04-30,8.86
1981-05-31,8.81
1981-06-30,8.55
1981-07-31,8.54
1981-08-31,7.75
1981-09-30,7.83
1981-10-31,8.02
1981-11-30,8.06
1981-12-31,7.73
1982-01-31,7.64
1982-02-28,7.48
1982-03-31,7.97
1982-04-30,8.09
1982-05-31,7.74
1982-06-30,7.83
1982-07-31,7.97
1982-08-31,9.03
1982-09-30,10.01
1982-10-31,10.67
1982-11-30,11.03
1982-12-31,11.48
1983-01-31,11.75
1983-02-28,12.23
1983-03-31,12.64
1983-04-30,13.09
1983-05-31,13.22
1983-06-30,13.02
1983-07-31,12.43
1983-08-31,12.57
1983-09-30,12.38
1983-10-31,11.98
1983-11-30,11.72
1983-12-31,11.52
1984-01-31,10.59
1984-02-29,10.31
1984-03-31,10.12
1984-04-30,9.86
1984-05-31,9.45
1984-06-30,9.26
1984-07-31,10
1984-08-31,10.03
1984-09-30,9.94
1984-10-31,10.01
1984-11-30,9.89
1984-12-31,10.36
1985-01-31,10.98
1985-02-28,10.95
1985-03-31,11.2
1985-04-30,11.65
1985-05-31,12.1
1985-06-30,12.43
1985-07-31,12.26
1985-08-31,12.09
1985-09-30,12.39
1985-10-31,13.33
1985-11-30,14.19
1985-12-31,14.28
1986-01-31,15.08
1986-02-28,16
1986-03-31,16.32
1986-04-30,16.28
1986-05-31,16.68
1986-06-30,16.28
1986-07-31,16.55
1986-08-31,16.05
1986-09-30,16.12
1986-10-31,16.78
1986-11-30,17.17
1986-12-31,18.01
1987-01-31,18.86
1987-02-28,19.37
1987-03-31,19.45
1987-04-30,19.74
1987-05-31,20.9
1987-06-30,20.81
1987-07-31,21.42
1987-08-31,20.09
1987-09-30,17.08
1987-10-31,14.45
1987-11-30,13.77
1987-12-31,14.02
1988-01-31,14.16
1988-02-29,14.29
1988-03-31,13.39
1988-04-30,12.41
1988-05-31,12.49
1988-06-30,12.22
1988-07-31,11.78
1988-08-31,11.79
1988-09-30,12.02
1988-10-31,11.57
1988-11-30,11.64
1988-12-31,11.82
1989-01-31,11.97
1989-02-28,11.73
1989-03-31,12.07
1989-04-30,12.49
1989-05-31,12.84
1989-06-30,13.43
1989-07-31,14.32
1989-08-31,14.66
1989-09-30,14.84
1989-10-31,14.7
1989-11-30,15.24
1989-12-31,15.13
1990-01-31,14.97
1990-02-28,15.62
1990-03-31,15.7
1990-04-30,16.37
1990-05-31,16.95
1990-06-30,16.81
1990-07-31,15.33
1990-08-31,14.51
1990-09-30,14.21
1990-10-31,14.68
1990-11-30,15.41
1990-12-31,15.35
1991-01-31,17.19
1991-02-28,17.78
1991-03-31,18.58
1991-04-30,18.98
1991-05-31,19.49
1991-06-30,20.14
1991-07-31,21.22
1991-08-31,21.73
1991-09-30,22.49
1991-10-31,23.27
1991-11-30,24.33
1991-12-31,25.93
1992-01-31,25.6
1992-02-29,25.16
1992-03-31,24.73
1992-04-30,24.75
1992-05-31,23.95
1992-06-30,23.88
1992-07-31,23.6
1992-08-31,23.2
1992-09-30,22.43
1992-10-31,22.56
1992-11-30,22.82
1992-12-31,22.5
1993-01-31,22.55
1993-02-28,22.69
1993-03-31,22.53
1993-04-30,22.83
1993-05-31,23.18
1993-06-30,22.72
1993-07-31,22.65
1993-08-31,22.5
1993-09-30,22.19
1993-10-31,21.63
1993-11-30,21.29
1993-12-31,21.34
1994-01-31,21.02
1994-02-28,20.42
1994-03-31,19
1994-04-30,18.5
1994-05-31,18.05
1994-06-30,17.42
1994-07-31,17.44
1994-08-31,17.09
1994-09-30,16.32
1994-10-31,15.62
1994-11-30,14.88
1994-12-31,14.89
1995-01-31,15.11
1995-02-28,15.15
1995-03-31,15.31
1995-04-30,15.5
1995-05-31,15.67
1995-06-30,16.07
1995-07-31,16.01
1995-08-31,16.45
1995-09-30,16.76
1995-10-31,17.33
1995-11-30,18.1
1995-12-31,18.08
1996-01-31,19.1
1996-02-29,19.01
1996-03-31,18.85
1996-04-30,19.1
1996-05-31,19.15
1996-06-30,18.26
1996-07-31,18.6
1996-08-31,18.75
1996-09-30,19
1996-10-31,19.45
1996-11-30,19.19
1996-12-31,19.53
1997-01-31,20.09
1997-02-28,19.69
1997-03-31,18.94
1997-04-30,20.6
1997-05-31,21.61
1997-06-30,22.8
1997-07-31,22.83
1997-08-31,23.06
1997-09-30,23.58
1997-10-31,23.46
1997-11-30,24.23
1997-12-31,24.29
1998-01-31,25.85
1998-02-28,27.23
1998-03-31,28.26
1998-04-30,28.3
1998-05-31,28.44
1998-06-30,29.9
1998-07-31,28
1998-08-31,26.8
1998-09-30,27.2
1998-10-31,30.25
1998-11-30,31.56
1998-12-31,32.92
1999-01-31,32.67
1999-02-28,33.39
1999-03-31,34
1999-04-30,33.19
1999-05-31,32.24
1999-06-30,32.88
1999-07-31,30.89
1999-08-31,29.99
1999-09-30,28.66
1999-10-31,29.74
1999-11-30,29.66
1999-12-31,29.04
2000-01-31,27.76
2000-02-29,28.31
2000-03-31,28.5
2000-04-30,27.49
2000-05-31,28.16
2000-06-30,28.05
2000-07-31,27.97
2000-08-31,27.34
2000-09-30,26.5
2000-10-31,26.9
2000-11-30,26.62
2000-12-31,27.55
2001-01-31,27.81
2001-02-28,26.1
2001-03-31,27.96
2001-04-30,32.02
2001-05-31,33.67
2001-06-30,35.46
2001-07-31,37.85
2001-08-31,36.9
2001-09-30,39.72
2001-10-31,43.62
2001-11-30,46.37
2001-12-31,46.17
2002-01-31,44.57
2002-02-28,46.71
2002-03-31,43.81
2002-04-30,41.41
2002-05-31,37.92
2002-06-30,32.46
2002-07-31,31.53
2002-08-31,28.89
2002-09-30,29.24
2002-10-31,32.03
2002-11-30,32.59
2002-12-31,31.43
2003-01-31,28.46
2003-02-28,27.92
2003-03-31,28.05
2003-04-30,28.24
2003-05-31,28.6
2003-06-30,27.65
2003-07-31,26.57
2003-08-31,26.42
2003-09-30,24.75
2003-10-31,23.15
2003-11-30,22.17
2003-12-31,22.73
2004-01-31,22.46
2004-02-29,21.61
2004-03-31,21.23
2004-04-30,20.14
2004-05-31,20.17
2004-06-30,19.51
2004-07-31,19.03
2004-08-31,19.35
2004-09-30,19.25
2004-10-31,20.05
2004-11-30,20.48
2004-12-31,19.99
2005-01-31,20.11
2005-02-28,19.84
2005-03-31,19.02
2005-04-30,18.93
2005-05-31,19
2005-06-30,19
2005-07-31,18.72
2005-08-31,18.44
2005-09-30,17.64
2005-10-31,18.01
2005-11-30,18.07
2005-12-31,18.07
2006-01-31,17.8
2006-02-28,17.8
2006-03-31,17.77
2006-04-30,17.46
2006-05-31,16.82
2006-06-30,16.61
2006-07-31,16.67
2006-08-31,16.77
2006-09-30,17.14
2006-10-31,17.24
2006-11-30,17.38
2006-12-31,17.36
2007-01-31,17.49
2007-02-28,16.92
2007-03-31,17.48
2007-04-30,17.92
2007-05-31,17.83
2007-06-30,18.36
2007-07-31,18.02
2007-08-31,19.05
2007-09-30,20.68
2007-10-31,20.81
2007-11-30,22.35
2007-12-31,21.46
2008-01-31,21.74
2008-02-29,21.81
2008-03-31,23.88
2008-04-30,25.81
2008-05-31,26.11
2008-06-30,25.37
2008-07-31,26.83
2008-08-31,26.48
2008-09-30,27.22
2008-10-31,34.99
2008-11-30,58.98
2008-12-31,70.91
2009-01-31,84.46
2009-02-28,110.37
2009-03-31,119.85
2009-04-30,123.73
2009-05-31,123.32
2009-06-30,101.87
2009-07-31,92.95
2009-08-31,83.3
2009-09-30,42.12
2009-10-31,28.51
2009-11-30,21.78
2009-12-31,20.7
2010-01-31,18.91
2010-02-28,18.91
2010-03-31,19.01
2010-04-30,17.3
2010-05-31,16.15
2010-06-30,15.72
2010-07-31,15.47
2010-08-31,15.61
2010-09-30,15.9
2010-10-31,15.88
2010-11-30,16.05
2010-12-31,16.3
2011-01-31,16.52
2011-02-28,16.04
2011-03-31,16.21
2011-04-30,16.12
2011-05-31,15.35
2011-06-30,15.61
2011-07-31,13.79
2011-08-31,13.5
2011-09-30,13.88
2011-10-31,14.1
2011-11-30,14.3
2011-12-31,14.87
2012-01-31,15.37
2012-02-29,15.69
2012-03-31,15.7
2012-04-30,15.22
2012-05-31,15.05
2012-06-30,15.55
2012-07-31,16.14
2012-08-31,16.69
2012-09-30,16.62
2012-10-31,16.12
2012-11-30,16.44
2012-12-31,17.03
2013-01-31,17.32
2013-02-28,17.68
2013-03-31,17.69
2013-04-30,18.25
2013-05-31,17.8
2013-06-30,18.12
2013-07-31,17.91
2013-08-31,17.88
2013-09-30,17.86
2013-10-31,18.15
2013-11-30,18.04
2013-12-31,18.15
2014-01-31,18.06
2014-02-28,18.48
2014-03-31,18.35
2014-04-30,18.46
2014-05-31,18.88
2014-06-30,18.96
2014-07-31,18.68
2014-08-31,18.81
2014-09-30,18.5
2014-10-31,19.75
2014-11-30,20.08
2014-12-31,20.02
2015-01-31,20.77
2015-02-28,20.96
2015-03-31,21.42
2015-04-30,21.92
2015-05-31,22.12
2015-06-30,22.4
2015-07-31,22.15
2015-08-31,21.45
2015-09-30,22.68
2015-10-31,23.67
2015-11-30,23.74
2015-12-31,22.18
2016-01-31,22.02
2016-02-29,23.39
2016-03-31,23.97
2016-04-30,23.81
2016-05-31,23.97
2016-06-30,24.52
2016-07-31,24.57
2016-08-31,24.22
2016-09-30,23.57
2016-10-31,23.35
2016-11-30,23.76
2016-12-31,23.59
2017-01-31,23.68
2017-02-28,23.6
2017-03-31,23.24
2017-04-30,23.31
2017-05-31,23.4
2017-06-30,23.36
2017-07-31,23.16
2017-08-31,23.28
2017-09-30,23.67
2017-10-31,23.81
2017-11-30,24.25
2017-12-31,24.97
2018-01-31,23.82
2018-02-28,23.41
2018-03-31,22.53
2018-04-30,22.49
2018-05-31,22.49
2018-06-30,22.33
2018-07-31,22.37
2018-08-31,22.25
2018-09-30,21.25
2018-10-31,20.67
2018-11-30,19.39
2018-12-31,19.6
2019-01-31,20.6
2019-02-28,20.86
2019-03-31,21.56
2019-04-30,21.15
2019-05-31,21.37
2019-06-30,22.28
2019-07-31,21.67
2019-08-31,22.44
2019-09-30,22.04
2019-10-31,22.62
2019-11-30,22.78
2019-12-31,24.88
2020-01-31,26.42
2020-02-29,22.8
2020-03-31,24.97
2020-04-30,27.82
2020-05-31,31.29
2020-06-30,32.44
2020-07-31,34.41
2020-08-31,34.27
2020-09-30,35.3
2020-10-31,37.16
2020-11-30,39.26
2020-12-31,35.96
2021-01-31,33.24
2021-02-28,30.5
2021-03-31,29.92
2021-04-30,28.05
2021-05-31,26.7
2021-06-30,26.56
2021-07-31,26.23
2021-08-31,25.35
2021-09-30,24.39
2021-10-31,24.52
2021-11-30,23.63
2021-12-31,23.11
2022-01-31,22.42
2022-02-28,22.19
2022-03-31,22.4
2022-04-30,20.81
2022-05-31,20.28
2022-06-30,20.53
2022-07-31,22.03
2022-08-31,20.58
2022-09-30,20.44
2022-10-31,22.07
2022-11-30,22.65
2022-12-31,22.82
2023-01-31,23.4
2023-02-28,22.66
2023-03-31,23.27
2023-04-30,23.15
2023-05-31,24.01
2023-06-30,24.76
2023-07-31,24.16
2023-08-31,23.93
2023-09-30,22.78
2023-10-31,23.51
2023-11-30,24.35
2023-12-31,25.01
2024-01-31,26.14
2024-02-29,27.02
2024-03-31,26.41
2024-04-30,26.93
2024-05-31,27.64
2024-06-30,28.08
2024-07-31,27.67
2024-08-31,28.09
2024-09-30,28.45
2024-10-31,28.66
2024-11-30,28.6
2024-12-31,28.16
2025-01-31,28.15
2025-02-28,26.23
2025-03-31,24.56
2025-04-30,26.34
2025-05-31,27.1
2025-06-30,27.81
2025-07-31,27.84
2025-08-31,28.13
2025-09-30,28.78
2025-10-31,28.8
2025-11-30,29.28
2025-12-31,29.6
2026-01-31,29.45
2026-02-28,28.43
2026-03-31,29.72
2026-04-30,31.67
2026-05-31,31.93
2026-07-07,32.18
