Date,Value
2021-09-02,3597.04
2021-09-03,3581.73
2021-09-06,3621.8601
2021-09-07,3676.5901
2021-09-08,3675.1899
2021-09-09,3693.1299
2021-09-10,3703.1101
2021-09-13,3715.3701
2021-09-14,3662.6001
2021-09-15,3656.22
2021-09-16,3607.0901
2021-09-17,3613.97
2021-09-22,3628.49
2021-09-23,3642.22
2021-09-24,3613.0701
2021-09-27,3582.8301
2021-09-28,3602.22
2021-09-29,3536.29
2021-09-30,3568.1699
2021-10-08,3592.1699
2021-10-11,3591.71
2021-10-12,3546.9399
2021-10-13,3561.76
2021-10-14,3558.28
2021-10-15,3572.3701
2021-10-18,3568.1399
2021-10-19,3593.1499
2021-10-20,3587
2021-10-21,3594.78
2021-10-22,3582.6001
2021-10-25,3609.8601
2021-10-26,3597.6399
2021-10-27,3562.3101
2021-10-28,3518.4199
2021-10-29,3547.3401
2021-11-01,3544.48
2021-11-02,3505.6299
2021-11-03,3498.54
2021-11-04,3526.8701
2021-11-05,3491.5701
2021-11-08,3498.6299
2021-11-09,3507
2021-11-10,3492.46
2021-11-11,3532.79
2021-11-12,3539.1001
2021-11-15,3533.3
2021-11-16,3521.79
2021-11-17,3537.3701
2021-11-18,3520.71
2021-11-19,3560.3701
2021-11-22,3582.0801
2021-11-23,3589.0891
2021-11-24,3592.7029
2021-11-25,3584.1799
2021-11-26,3564.0901
2021-11-29,3562.7
2021-11-30,3563.8899
2021-12-01,3576.8899
2021-12-02,3573.8401
2021-12-03,3607.4299
2021-12-06,3589.3101
2021-12-07,3595.0901
2021-12-08,3637.5701
2021-12-09,3673.04
2021-12-10,3666.3501
2021-12-13,3681.0801
2021-12-14,3661.53
2021-12-15,3647.6299
2021-12-16,3675.02
2021-12-17,3632.3601
2021-12-20,3593.6001
2021-12-21,3625.1299
2021-12-22,3622.6201
2021-12-23,3643.3401
2021-12-24,3618.054
2021-12-27,3615.97
2021-12-28,3630.1121
2021-12-29,3597
2021-12-30,3619.1899
2021-12-31,3639.78
2022-01-04,3632.3301
2022-01-05,3595.1799
2022-01-06,3586.0801
2022-01-07,3579.54
2022-01-10,3593.52
2022-01-11,3567.4399
2022-01-12,3597.4299
2022-01-13,3555.26
2022-01-14,3521.26
2022-01-17,3541.6699
2022-01-18,3569.9099
2022-01-19,3558.1799
2022-01-20,3555.0601
2022-01-21,3522.5701
2022-01-24,3524.1101
2022-01-25,3433.0601
2022-01-26,3455.6699
2022-01-27,3394.25
2022-01-28,3361.4399
2022-02-07,3429.5801
2022-02-08,3452.6299
2022-02-09,3479.95
2022-02-10,3485.9099
2022-02-11,3462.95
2022-02-14,3428.8799
2022-02-15,3446.0901
2022-02-16,3465.8301
2022-02-17,3468.04
2022-02-18,3490.76
2022-02-21,3490.6101
2022-02-22,3457.1499
2022-02-23,3489.1499
2022-02-24,3429.96
2022-02-25,3451.4099
2022-02-28,3462.3101
2022-03-01,3488.8301
2022-03-02,3484.1899
2022-03-03,3481.1101
2022-03-04,3447.6499
2022-03-07,3372.8601
2022-03-08,3293.53
2022-03-09,3256.3899
2022-03-10,3296.0901
2022-03-11,3309.75
2022-03-14,3223.53
2022-03-15,3063.97
2022-03-16,3170.71
2022-03-17,3215.04
2022-03-18,3251.0701
2022-03-21,3253.6899
2022-03-22,3259.8601
2022-03-23,3271.03
2022-03-24,3250.26
2022-03-25,3212.24
2022-03-28,3214.5
2022-03-29,3203.9399
2022-03-30,3266.6001
2022-03-31,3252.2
2022-04-01,3282.72
2022-04-06,3283.4299
2022-04-07,3236.7
2022-04-08,3251.8501
2022-04-11,3167.1299
2022-04-12,3213.3301
2022-04-13,3186.8201
2022-04-14,3225.6399
2022-04-15,3211.2451
2022-04-18,3195.52
2022-04-19,3194.03
2022-04-20,3151.05
2022-04-21,3079.8101
2022-04-22,3086.9199
2022-04-25,2928.51
2022-04-26,2886.4299
2022-04-27,2958.28
2022-04-28,2975.48
2022-04-29,3047.0601
2022-05-05,3067.76
2022-05-06,3001.5601
2022-05-09,3004.1399
2022-05-10,3035.8401
2022-05-11,3058.7
2022-05-12,3054.99
2022-05-13,3084.28
2022-05-16,3073.75
2022-05-17,3093.7
2022-05-18,3085.98
2022-05-19,3096.96
2022-05-20,3146.5701
2022-05-23,3146.8601
2022-05-24,3070.9299
2022-05-25,3107.46
2022-05-26,3123.1101
2022-05-27,3130.24
2022-05-30,3149.0601
2022-05-31,3186.4299
2022-06-01,3182.1599
2022-06-02,3195.46
2022-06-06,3236.3701
2022-06-07,3241.76
2022-06-08,3263.79
2022-06-09,3238.95
2022-06-10,3284.8301
2022-06-13,3255.55
2022-06-14,3288.9099
2022-06-15,3305.4099
2022-06-16,3285.3799
2022-06-17,3316.79
2022-06-20,3315.4299
2022-06-21,3306.72
2022-06-22,3267.2
2022-06-23,3320.1499
2022-06-24,3349.75
2022-06-27,3379.1899
2022-06-28,3409.21
2022-06-29,3361.52
2022-06-30,3398.6201
2022-07-01,3387.6399
2022-07-04,3405.4299
2022-07-05,3404.03
2022-07-06,3355.3501
2022-07-07,3364.3999
2022-07-08,3356.0801
2022-07-11,3313.5801
2022-07-12,3281.47
2022-07-13,3284.29
2022-07-14,3281.74
2022-07-15,3228.0601
2022-07-18,3278.1001
2022-07-19,3279.4299
2022-07-20,3304.72
2022-07-21,3272
2022-07-22,3269.97
2022-07-25,3250.3899
2022-07-26,3277.4399
2022-07-27,3275.76
2022-07-28,3282.5801
2022-07-29,3253.24
2022-08-01,3259.96
2022-08-02,3186.27
2022-08-03,3163.6699
2022-08-04,3189.04
2022-08-05,3227.03
2022-08-08,3236.9299
2022-08-09,3247.4299
2022-08-10,3230.02
2022-08-11,3281.6699
2022-08-12,3276.8899
2022-08-15,3276.0901
2022-08-16,3277.8799
2022-08-17,3292.53
2022-08-18,3277.54
2022-08-19,3258.0801
2022-08-22,3277.79
2022-08-23,3276.22
2022-08-24,3215.2
2022-08-25,3246.25
2022-08-26,3236.22
2022-08-29,3240.73
2022-08-30,3227.22
2022-08-31,3202.1399
2022-09-01,3184.98
2022-09-02,3186.48
2022-09-05,3199.9121
2022-09-06,3243.45
2022-09-07,3246.29
2022-09-08,3235.5901
2022-09-09,3262.05
2022-09-13,3263.8
2022-09-14,3237.54
2022-09-15,3199.9199
2022-09-16,3126.3999
2022-09-19,3115.6001
2022-09-20,3122.4099
2022-09-21,3117.1799
2022-09-22,3108.9099
2022-09-23,3088.3701
2022-09-26,3051.23
2022-09-27,3093.8601
2022-09-28,3045.0701
2022-09-29,3041.2
2022-09-30,3024.3899
2022-10-10,2974.1499
2022-10-11,2979.79
2022-10-12,3025.51
2022-10-13,3016.3601
2022-10-14,3071.99
2022-10-17,3084.9399
2022-10-18,3080.96
2022-10-19,3044.3799
2022-10-20,3035.05
2022-10-21,3038.9299
2022-10-24,2977.5601
2022-10-25,2976.28
2022-10-26,2999.5
2022-10-27,2982.8999
2022-10-28,2915.9299
2022-10-31,2893.48
2022-11-01,2969.2
2022-11-02,3003.3701
2022-11-03,2997.8101
2022-11-04,3070.8
2022-11-07,3077.8201
2022-11-08,3064.49
2022-11-09,3048.1699
2022-11-10,3036.1299
2022-11-11,3087.29
2022-11-14,3083.3999
2022-11-15,3134.0801
2022-11-16,3119.98
2022-11-17,3115.4299
2022-11-18,3097.24
2022-11-21,3085.0439
2022-11-22,3088.9431
2022-11-23,3096.907
2022-11-24,3089.3101
2022-11-25,3101.6899
2022-11-28,3078.55
2022-11-29,3149.75
2022-11-30,3151.3401
2022-12-01,3165.47
2022-12-02,3156.1399
2022-12-05,3211.8101
2022-12-06,3212.53
2022-12-07,3199.6201
2022-12-08,3197.3501
2022-12-09,3206.95
2022-12-12,3179.04
2022-12-13,3176.3301
2022-12-14,3176.53
2022-12-15,3168.6499
2022-12-16,3167.8579
2022-12-19,3107.1201
2022-12-20,3073.77
2022-12-21,3068.4099
2022-12-22,3054.4299
2022-12-23,3045.866
2022-12-26,3065.563
2022-12-27,3095.5701
2022-12-28,3087.3999
2022-12-29,3073.7
2022-12-30,3089.26
2023-01-03,3116.51
2023-01-04,3123.52
2023-01-05,3155.22
2023-01-06,3157.6399
2023-01-09,3176.0801
2023-01-10,3169.51
2023-01-11,3161.8401
2023-01-12,3163.45
2023-01-13,3195.3101
2023-01-16,3227.592
2023-01-17,3224.24
2023-01-18,3224.4099
2023-01-19,3240.28
2023-01-20,3264.8101
2023-01-30,3269.3201
2023-01-31,3255.6699
2023-02-01,3284.9199
2023-02-02,3285.6699
2023-02-03,3263.4099
2023-02-06,3238.7
2023-02-07,3248.0901
2023-02-08,3232.1101
2023-02-09,3270.3799
2023-02-10,3260.6699
2023-02-13,3284.1599
2023-02-14,3293.28
2023-02-15,3280.49
2023-02-16,3249.03
2023-02-17,3224.02
2023-02-20,3290.3401
2023-02-21,3306.52
2023-02-22,3291.1499
2023-02-23,3287.48
2023-02-24,3267.1599
2023-02-27,3258.03
2023-02-28,3279.6101
2023-03-01,3312.3501
2023-03-02,3310.6499
2023-03-03,3328.3899
2023-03-06,3322.03
2023-03-07,3285.1001
2023-03-08,3283.25
2023-03-09,3276.0901
2023-03-10,3230.0801
2023-03-13,3268.7
2023-03-14,3245.3101
2023-03-15,3263.3101
2023-03-16,3226.8899
2023-03-17,3250.55
2023-03-20,3234.9099
2023-03-21,3255.6499
2023-03-22,3265.75
2023-03-23,3286.6499
2023-03-24,3265.6499
2023-03-27,3251.3999
2023-03-28,3245.3799
2023-03-29,3240.0601
2023-03-30,3261.25
2023-03-31,3272.8601
2023-04-03,3296.3999
2023-04-04,3312.5601
2023-04-06,3312.6299
2023-04-07,3327.6499
2023-04-10,3315.3601
2023-04-11,3313.5701
2023-04-12,3327.1799
2023-04-13,3318.3601
2023-04-14,3338.1499
2023-04-17,3385.6101
2023-04-18,3393.3301
2023-04-19,3370.1299
2023-04-20,3367.03
2023-04-21,3301.26
2023-04-24,3275.4099
2023-04-25,3264.8701
2023-04-26,3264.1001
2023-04-27,3285.8799
2023-04-28,3323.27
2023-05-04,3350.46
2023-05-05,3334.5
2023-05-08,3395
2023-05-09,3357.6699
2023-05-10,3319.1499
2023-05-11,3309.55
2023-05-12,3272.3601
2023-05-15,3310.74
2023-05-16,3290.99
2023-05-17,3284.23
2023-05-18,3297.3201
2023-05-19,3283.54
2023-05-22,3296.47
2023-05-23,3246.24
2023-05-24,3204.75
2023-05-25,3201.26
2023-05-26,3212.5
2023-05-29,3221.45
2023-05-30,3224.21
2023-05-31,3204.5601
2023-06-01,3204.6299
2023-06-02,3230.0701
2023-06-05,3232.4399
2023-06-06,3195.3401
2023-06-07,3197.76
2023-06-08,3213.5901
2023-06-09,3231.4099
2023-06-12,3228.8301
2023-06-13,3233.6699
2023-06-14,3228.99
2023-06-15,3252.98
2023-06-16,3273.3301
2023-06-19,3255.8101
2023-06-20,3240.3601
2023-06-21,3197.8999
2023-06-26,3150.6201
2023-06-27,3189.4399
2023-06-28,3189.3799
2023-06-29,3182.3799
2023-06-30,3202.0601
2023-07-03,3243.98
2023-07-04,3245.3501
2023-07-05,3222.95
2023-07-06,3205.5701
2023-07-07,3196.6101
2023-07-10,3203.7
2023-07-11,3221.3701
2023-07-12,3196.1299
2023-07-13,3236.48
