Date,Value
2001-02-12,34.5
2001-02-13,33.4844
2001-02-14,32.901
2001-02-15,33.25
2001-02-16,32.25
2001-02-20,31.8177
2001-02-21,31.4844
2001-02-22,30.3333
2001-02-23,31.6146
2001-02-26,33.1823
2001-02-27,32.3333
2001-02-28,32.3021
2001-03-01,31.7344
2001-03-02,31.9167
2001-03-05,31.6146
2001-03-06,31.5677
2001-03-07,30.6823
2001-03-08,29.651
2001-03-09,28.8333
2001-03-12,26.3333
2001-03-13,27.3021
2001-03-14,26.7813
2001-03-15,26.849
2001-03-16,25.3177
2001-03-19,26.4167
2001-03-20,25.0677
2001-03-21,23.0833
2001-03-22,22.6354
2001-03-23,23.8021
2001-03-26,24.8854
2001-03-27,25.651
2001-03-28,25.0313
2001-03-29,25.0052
2001-03-30,25.4688
2001-04-02,23.8333
2001-04-03,22.5313
2001-04-04,22.5313
2001-04-05,24.3281
2001-04-06,24.0677
2001-04-09,24.75
2001-04-10,26.0667
2001-04-11,25.7333
2001-04-12,27.0833
2001-04-16,26.6667
2001-04-17,27.3667
2001-04-18,29.5
2001-04-19,29.5
2001-04-20,28.7667
2001-04-23,27.9833
2001-04-24,26.6833
2001-04-25,27.85
2001-04-26,28
2001-04-27,29.1333
2001-04-30,30.4167
2001-05-01,30.6467
2001-05-02,30.66
2001-05-03,29.3167
2001-05-04,30.4
2001-05-07,30.6167
2001-05-08,30.7833
2001-05-09,30.8167
2001-05-10,30.1667
2001-05-11,30
2001-05-14,29.3333
2001-05-15,29.9
2001-05-16,30.8833
2001-05-17,32.6333
2001-05-18,32.6833
2001-05-21,34.3833
2001-05-22,34.63
2001-05-23,32.9
2001-05-24,34.2333
2001-05-25,34.02
2001-05-29,33.6
2001-05-30,32.3433
2001-05-31,33.05
2001-06-01,33.7
2001-06-04,34.8167
2001-06-05,36.2667
2001-06-06,35.6333
2001-06-07,35.6
2001-06-08,34.9767
2001-06-11,33.9333
2001-06-12,33.2333
2001-06-13,33.3667
2001-06-14,32.5
2001-06-15,33.13
2001-06-18,32.8
2001-06-19,32.3167
2001-06-20,33.6667
2001-06-21,33.7667
2001-06-22,32.8833
2001-06-25,31.9833
2001-06-26,32.0667
2001-06-27,32.0333
2001-06-28,32.8167
2001-06-29,33.2667
2001-07-02,32.9533
2001-07-03,33.1267
2001-07-05,31.6733
2001-07-06,30.8667
2001-07-09,31.4
2001-07-10,29.75
2001-07-11,29.1667
2001-07-12,28.9467
2001-07-13,29.6667
2001-07-16,28.0833
2001-07-17,28.7
2001-07-18,29.1667
2001-07-19,28.8833
2001-07-20,29.3833
2001-07-23,28.7
2001-07-24,27.5667
2001-07-25,28.2333
2001-07-26,28.8
2001-07-27,29.3967
2001-07-30,28.8833
2001-07-31,29
2001-08-01,29
2001-08-02,28.8
2001-08-03,28.88
2001-08-06,28.65
2001-08-07,28.4233
2001-08-08,27.4667
2001-08-09,27.3
2001-08-10,27.5333
2001-08-13,28.3933
2001-08-14,28.2
2001-08-15,27.5833
2001-08-16,27.8167
2001-08-17,27.2333
2001-08-20,27.0667
2001-08-21,26.9667
2001-08-22,28.1133
2001-08-23,29.13
2001-08-24,30
2001-08-27,30.34
2001-08-28,29.6667
2001-08-29,29.5
2001-08-30,29.5833
2001-08-31,29.2667
2001-09-04,29.38
2001-09-05,29.1833
2001-09-06,28.7967
2001-09-07,28.0667
2001-09-10,27.75
2001-09-17,25.7
2001-09-18,24.1667
2001-09-19,23.8333
2001-09-20,23.9
2001-09-21,23
2001-09-24,23.0667
2001-09-25,23.3667
2001-09-26,23.3333
2001-09-27,24.5333
2001-09-28,24.7833
2001-10-01,24.8333
2001-10-02,25.6
2001-10-03,26.3333
2001-10-04,25.6667
2001-10-05,25.7833
2001-10-08,25.2333
2001-10-09,25.3967
2001-10-10,26.5333
2001-10-11,27.77
2001-10-12,27.7833
2001-10-15,28.0333
2001-10-16,28.4467
2001-10-17,27.0333
2001-10-18,27.2667
2001-10-19,27.9167
2001-10-22,28.7167
2001-10-23,28.2
2001-10-24,28.5167
2001-10-25,29.4167
2001-10-26,30.1167
2001-10-29,29.05
2001-10-30,28.4
2001-10-31,28.7667
2001-11-01,29.1
2001-11-02,28.4167
2001-11-05,29.5
2001-11-06,29.8333
2001-11-07,29.6667
2001-11-08,29.1633
2001-11-09,28.5
2001-11-12,28.7633
2001-11-13,29.6333
2001-11-14,29.6
