Date,Value
2008-06-25,52.77
2008-06-26,51.06
2008-06-27,50.16
2008-06-30,50.25
2008-07-01,48.8
2008-07-02,47.51
2008-07-03,47.51
2008-07-07,47.92
2008-07-08,47.95
2008-07-09,47.6
2008-07-10,48.02
2008-07-11,48.26
2008-07-14,49.23
2008-07-15,48.38
2008-07-16,49.5
2008-07-17,49.6
2008-07-18,49.18
2008-07-21,50.13
2008-07-22,49.2
2008-07-23,49.16
2008-07-24,46.96
2008-07-25,47.51
2008-07-28,47.21
2008-07-29,48.32
2008-07-30,49.44
2008-07-31,48.94
2008-08-01,48.07
2008-08-04,47.1
2008-08-05,46.87
2008-08-06,47.38
2008-08-07,47.36
2008-08-08,46.54
2008-08-11,45.84
2008-08-12,46.12
2008-08-13,46.35
2008-08-14,46.24
2008-08-15,47.46
2008-08-18,46.85
2008-08-19,47.2
2008-08-20,48.46
2008-08-21,49.7
2008-08-22,50.19
2008-08-25,49.34
2008-08-26,48.94
2008-08-27,49.99
2008-08-28,50.48
2008-08-29,50.14
2008-09-02,48.02
2008-09-03,46.37
2008-09-04,44.52
2008-09-05,44.14
2008-09-08,43.66
2008-09-09,39.66
2008-09-10,39.92
2008-09-11,39.48
2008-09-12,41.34
2008-09-15,39.21
2008-09-16,38.5
2008-09-17,38.5
2008-09-18,39.31
2008-09-19,43.1
2008-09-22,41.88
2008-09-23,40.53
2008-09-24,41.55
2008-09-25,42.33
2008-09-26,40.39
2008-09-29,35.25
2008-09-30,36.48
2008-10-01,37.15
2008-10-02,33.91
2008-10-03,33.41
2008-10-06,29.81
2008-10-07,26.63
2008-10-08,25.96
2008-10-09,24.3
2008-10-10,24.09
2008-10-13,28.27
2008-10-14,28.56
2008-10-15,24.47
2008-10-16,25.28
2008-10-17,25.84
2008-10-20,26.96
2008-10-21,25.91
2008-10-22,22.65
2008-10-23,20.64
2008-10-24,19.54
2008-10-27,17.81
2008-10-28,18.52
2008-10-29,19.74
2008-10-30,21.78
2008-10-31,21.99
2008-11-03,24.5
2008-11-04,27.71
2008-11-05,24.15
2008-11-06,21.51
2008-11-07,22.63
2008-11-10,22.27
2008-11-11,20.78
2008-11-12,17.58
2008-11-13,19.92
2008-11-14,19.02
2008-11-17,18.6
2008-11-18,17.79
2008-11-19,15.88
2008-11-20,13.52
2008-11-21,14.44
2008-11-24,16.83
2008-11-25,17.79
2008-11-26,18.79
2008-11-28,19.17
2008-12-01,16.7
2008-12-02,18.89
2008-12-03,18.18
2008-12-04,17.73
2008-12-05,18.2
2008-12-08,19.16
2008-12-09,17.75
2008-12-10,18.2
2008-12-11,18.03
2008-12-12,18.25
2008-12-15,18.1
2008-12-16,19.3
2008-12-17,20.48
2008-12-18,19.97
2008-12-19,19.84
2008-12-22,19.48
2008-12-23,19.65
2008-12-24,19.56
2008-12-26,19.85
2008-12-29,19.92
2008-12-30,20.82
2008-12-31,21.39
2009-01-02,22.58
2009-01-05,23.17
2009-01-06,22.82
2009-01-07,21.47
2009-01-08,22.16
2009-01-09,22.05
2009-01-12,20.48
2009-01-13,19.99
2009-01-14,18.9
2009-01-15,19.33
2009-01-16,20.02
2009-01-20,18.49
2009-01-21,19.02
2009-01-22,18.52
2009-01-23,18.5
2009-01-26,18.72
2009-01-27,19.11
2009-01-28,19.66
2009-01-29,19.08
2009-01-30,20.27
2009-02-02,18.37
2009-02-03,18.51
2009-02-04,19.26
2009-02-05,19.27
2009-02-06,19.43
2009-02-09,20.45
2009-02-10,19.35
2009-02-11,19.14
2009-02-12,18.74
2009-02-13,19.17
2009-02-17,18.21
2009-02-18,17.55
2009-02-19,17.17
2009-02-20,16.36
2009-02-23,15.57
2009-02-24,16.54
2009-02-25,15.79
2009-02-26,15.65
2009-02-27,15.23
2009-03-02,14.11
2009-03-03,14.11
2009-03-04,14.89
2009-03-05,13.61
2009-03-06,13.58
2009-03-09,13.33
2009-03-10,14.37
2009-03-11,14.61
2009-03-12,14.95
2009-03-13,15.28
2009-03-16,15.3
2009-03-17,14.71
2009-03-18,15.02
2009-03-19,15.95
2009-03-20,15.39
2009-03-23,16.54
2009-03-24,16.27
2009-03-25,16.39
2009-03-26,18.76
2009-03-27,18.4
2009-03-30,17.23
2009-03-31,17.5
2009-04-01,17.89
2009-04-02,18.73
2009-04-03,18.78
2009-04-06,18.66
2009-04-07,17.92
2009-04-08,18.38
2009-04-09,19.4
2009-04-13,19.93
2009-04-14,19.86
2009-04-15,19.95
2009-04-16,20.16
2009-04-17,19.83
2009-04-20,18.1
2009-04-21,18.7
2009-04-22,18.88
2009-04-23,19.35
2009-04-24,19.51
2009-04-27,18.82
2009-04-28,18.81
2009-04-29,19.97
2009-04-30,21.05
2009-05-01,21
2009-05-04,22.78
2009-05-05,22.79
2009-05-06,23.69
2009-05-07,23.01
2009-05-08,23.54
2009-05-11,23.17
2009-05-12,22.92
2009-05-13,21.12
2009-05-14,21.73
2009-05-15,21.54
2009-05-18,21.95
2009-05-19,23.14
2009-05-20,23.55
2009-05-21,23.12
2009-05-22,22.96
2009-05-26,23.25
2009-05-27,23.58
2009-05-28,23.55
2009-05-29,23.67
2009-06-01,24.63
2009-06-02,24.61
2009-06-03,23.87
2009-06-04,24.52
2009-06-05,24.43
2009-06-08,23.94
2009-06-09,24.49
2009-06-10,24.97
2009-06-11,25.38
2009-06-12,24.76
2009-06-15,23.96
2009-06-16,23.88
2009-06-17,22.86
2009-06-18,22.8
2009-06-19,23.38
2009-06-22,21.9
2009-06-23,22.17
2009-06-24,22.59
2009-06-25,23.22
2009-06-26,22.47
2009-06-29,22.73
2009-06-30,22.8
2009-07-01,23.08
2009-07-02,22.62
2009-07-06,21.67
2009-07-07,20.89
2009-07-08,20.58
2009-07-09,20.89
2009-07-10,20.49
2009-07-13,21.01
2009-07-14,20.73
2009-07-15,21.76
2009-07-16,22.1
2009-07-17,21.85
2009-07-20,22.1
2009-07-21,22.72
2009-07-22,22.55
2009-07-23,23.23
2009-07-24,24.27
2009-07-27,24.32
2009-07-28,23.71
2009-07-29,22.98
2009-07-30,23.56
2009-07-31,23.35
2009-08-03,23.91
2009-08-04,23.91
2009-08-05,23.7
2009-08-06,23.35
2009-08-07,23.28
2009-08-10,23.25
2009-08-11,23.11
2009-08-12,23
2009-08-13,22.78
2009-08-14,22.57
2009-08-17,21.62
2009-08-18,21.63
2009-08-19,21.64
2009-08-20,21.61
2009-08-21,21.76
2009-08-24,21.69
2009-08-25,21.81
2009-08-26,21.44
2009-08-27,21.37
2009-08-28,21.49
2009-08-31,21.15
2009-09-01,20.41
2009-09-02,20.45
2009-09-03,21.08
2009-09-04,21.27
2009-09-08,22.48
2009-09-09,22.66
2009-09-10,23.13
2009-09-11,22.86
2009-09-14,22.76
2009-09-15,23.44
2009-09-16,24.09
2009-09-17,24.05
2009-09-18,24.54
2009-09-21,24.06
2009-09-22,24.44
2009-09-23,24
2009-09-24,23.17
2009-09-25,22.95
2009-09-28,23.24
2009-09-29,23.05
2009-09-30,23.25
2009-10-01,22.11
2009-10-02,21.93
2009-10-05,22.16
2009-10-06,22.69
2009-10-07,22.89
2009-10-08,23.08
2009-10-09,22.78
2009-10-12,23.18
2009-10-13,22.85
2009-10-14,23.39
2009-10-15,23.12
2009-10-16,22.69
2009-10-19,23.05
2009-10-20,22.93
2009-10-21,22.78
2009-10-22,22.96
2009-10-23,22.22
2009-10-26,21.67
2009-10-27,21.55
2009-10-28,20.56
2009-10-29,21.11
2009-10-30,20.43
2009-11-02,20
2009-11-03,20.49
2009-11-04,20.61
2009-11-05,21.21
2009-11-06,21.04
2009-11-09,21.76
2009-11-10,21.29
2009-11-11,21.35
2009-11-12,20.88
2009-11-13,21.5
2009-11-16,22.01
2009-11-17,21.8
2009-11-18,21.96
2009-11-19,21.65
2009-11-20,21.53
2009-11-23,21.61
2009-11-24,21.46
2009-11-25,21.73
2009-11-27,21.37
2009-11-30,21.59
2009-12-01,21.9
2009-12-02,21.98
2009-12-03,22
2009-12-04,21.94
2009-12-07,22.6
2009-12-08,22.26
2009-12-09,22.11
2009-12-10,21.98
2009-12-11,21.97
2009-12-14,22.32
2009-12-15,22.43
2009-12-16,22.35
2009-12-17,21.87
2009-12-18,21.67
2009-12-21,21.83
2009-12-22,21.96
2009-12-23,22.04
2009-12-24,22.26
2009-12-28,22.16
2009-12-29,22.25
2009-12-30,22.22
2009-12-31,22.26
2010-01-04,22.79
2010-01-05,23.4
2010-01-06,23.6
2010-01-07,23.65
2010-01-08,23.86
2010-01-11,24.01
2010-01-12,23.29
2010-01-13,23.45
2010-01-14,22.82
2010-01-15,22.22
2010-01-19,22.08
2010-01-20,21.2
2010-01-21,20.77
2010-01-22,20
2010-01-25,20.25
2010-01-26,20.25
2010-01-27,19.88
2010-01-28,19.71
2010-01-29,19.24
2010-02-01,19.87
2010-02-02,20
2010-02-03,20
2010-02-04,18.81
2010-02-05,18.88
2010-02-08,18.42
2010-02-09,18.96
2010-02-10,18.53
2010-02-11,18.73
2010-02-12,18.68
2010-02-16,19.34
2010-02-17,19.13
2010-02-18,19.19
2010-02-19,18.81
2010-02-22,18.63
2010-02-23,18.06
2010-02-24,17.91
2010-02-25,17.83
2010-02-26,17.88
2010-03-01,17.97
2010-03-02,18.03
2010-03-03,18.52
2010-03-04,18.61
2010-03-05,18.87
2010-03-08,18.64
2010-03-09,18.5
2010-03-10,18.75
2010-03-11,18.94
2010-03-12,18.99
2010-03-15,18.73
2010-03-16,18.79
2010-03-17,19.03
2010-03-18,18.66
2010-03-19,18.29
2010-03-22,18.2
2010-03-23,18.44
2010-03-24,18.36
2010-03-25,18.3
2010-03-26,18.57
2010-03-29,18.89
2010-03-30,18.84
2010-03-31,18.84
2010-04-01,19.01
2010-04-05,19.1
2010-04-06,19.08
