Date,Value
2001-07-17,10.128
2001-07-18,9.686
2001-07-19,9.55
2001-07-20,9.424
2001-07-23,9.424
2001-07-24,9.31
2001-07-25,9.376
2001-07-26,9.75
2001-07-27,9.88
2001-07-30,9.68
2001-07-31,9.86
2001-08-01,9.78
2001-08-02,9.94
2001-08-03,9.8
2001-08-06,9.68
2001-08-07,9.68
2001-08-08,9.23
2001-08-09,9.14
2001-08-10,8.86
2001-08-13,8.86
2001-08-14,9.03
2001-08-15,8.69
2001-08-16,8.53
2001-08-17,8.33
2001-08-20,8.33
2001-08-21,8.05
2001-08-22,8.02
2001-08-23,8.07
2001-08-24,8.07
2001-08-27,8.59
2001-08-28,8.326
2001-08-29,8.06
2001-08-30,7.738
2001-08-31,7.86
2001-09-04,7.86
2001-09-05,7.45
2001-09-06,7.17
2001-09-07,7.178
2001-09-10,7.16
2001-09-17,6.64
2001-09-18,6.58
2001-09-19,6.2
2001-09-20,6.03
2001-09-21,5.9
2001-09-24,6.17
2001-09-25,6.33
2001-09-26,5.9
2001-09-27,5.69
2001-09-28,6
2001-10-01,5.87
2001-10-02,6.07
2001-10-03,6.748
2001-10-04,6.89
2001-10-05,6.93
2001-10-08,7.01
2001-10-09,6.82
2001-10-10,6.978
2001-10-11,7.508
2001-10-12,7.174
2001-10-15,7.458
2001-10-16,7.442
2001-10-17,7.16
2001-10-18,7.16
2001-10-19,7.16
2001-10-22,7.49
2001-10-23,7.46
2001-10-24,7.77
2001-10-25,7.618
2001-10-26,7.9
2001-10-29,7.58
2001-10-30,7.31
2001-10-31,7.408
2001-11-01,7.554
2001-11-02,7.67
2001-11-05,7.912
2001-11-06,8.2
2001-11-07,8.306
2001-11-08,8.05
2001-11-09,8.16
2001-11-12,8.238
2001-11-13,8.364
2001-11-14,8.54
2001-11-15,8.48
2001-11-16,8.47
2001-11-19,8.766
2001-11-20,8.482
2001-11-21,8.358
2001-11-23,8.514
2001-11-26,8.76
2001-11-27,8.85
2001-11-28,8.56
2001-11-29,8.812
2001-11-30,8.612
2001-12-03,8.48
2001-12-04,8.73
2001-12-05,9.394
2001-12-06,9.4
2001-12-07,9.164
2001-12-10,9.1
2001-12-11,9.25
2001-12-12,9.388
2001-12-13,9.05
2001-12-14,9.098
2001-12-17,9.096
2001-12-18,9.514
2001-12-19,9.42
2001-12-20,8.96
2001-12-21,9.124
2001-12-24,9.05
2001-12-26,9.09
2001-12-27,9.08
2001-12-28,9.26
2001-12-31,9.102
2002-01-02,8.94
2002-01-03,9.486
2002-01-04,9.7
2002-01-07,9.66
2002-01-08,9.77
2002-01-09,9.88
2002-01-10,9.826
2002-01-11,9.77
2002-01-14,9.532
2002-01-15,9.56
2002-01-16,9.16
2002-01-17,9.518
2002-01-18,9.21
2002-01-22,8.962
2002-01-23,9.312
2002-01-24,9.666
2002-01-25,9.48
2002-01-28,9.522
2002-01-29,9.26
2002-01-30,9.15
2002-01-31,9.19
2002-02-01,9.198
2002-02-04,8.77
2002-02-05,8.49
2002-02-06,8.27
2002-02-07,8.24
2002-02-08,8.54
2002-02-11,8.61
2002-02-12,8.6
2002-02-13,8.62
2002-02-14,8.68
2002-02-15,8.352
2002-02-19,7.908
2002-02-20,7.96
2002-02-21,7.634
2002-02-22,7.57
2002-02-25,7.89
2002-02-26,8.026
2002-02-27,7.91
2002-02-28,7.744
2002-03-01,8.12
2002-03-04,8.396
2002-03-05,8.438
2002-03-06,8.474
2002-03-07,8.42
2002-03-08,8.706
2002-03-11,8.934
2002-03-12,8.728
2002-03-13,8.514
2002-03-14,8.376
2002-03-15,8.246
2002-03-18,8.366
2002-03-19,8.5
2002-03-20,8.164
2002-03-21,8.38
2002-03-22,8.224
2002-03-25,7.99
2002-03-26,7.956
2002-03-27,8.07
2002-03-28,8.248
2002-04-01,8.27
2002-04-02,7.73
2002-04-03,7.52
2002-04-04,7.292
2002-04-05,7.27
2002-04-08,7.416
2002-04-09,7.178
2002-04-10,7.196
2002-04-11,6.858
2002-04-12,7.164
2002-04-15,7.22
2002-04-16,7.49
2002-04-17,7.176
2002-04-18,7.188
2002-04-19,7.244
2002-04-22,7.04
2002-04-23,6.8
2002-04-24,6.742
2002-04-25,6.708
2002-04-26,6.42
2002-04-29,6.352
2002-04-30,6.586
2002-05-01,6.45
2002-05-02,6.164
2002-05-03,6.086
2002-05-06,5.834
2002-05-07,5.782
2002-05-08,6.486
2002-05-09,6.222
2002-05-10,6.128
2002-05-13,6.238
2002-05-14,6.64
2002-05-15,6.574
2002-05-16,6.612
