Date,Value
2016-08-01,31.53
2016-08-02,31.22
2016-08-03,31.74
2016-08-04,31.77
2016-08-05,32.79
2016-08-08,32.72
2016-08-09,32.76
2016-08-10,32.35
2016-08-11,32.46
2016-08-12,32.33
2016-08-15,32.8
2016-08-16,32.77
2016-08-17,32.87
2016-08-18,32.97
2016-08-19,33
2016-08-22,33.03
2016-08-23,33.1
2016-08-24,33.09
2016-08-25,33.19
2016-08-26,33.43
2016-08-29,33.72
2016-08-30,34.1
2016-08-31,34.15
2016-09-01,33.96
2016-09-02,34.23
2016-09-06,33.68
2016-09-07,33.88
2016-09-08,34.01
2016-09-09,33.73
2016-09-12,33.94
2016-09-13,33.44
2016-09-14,33.2
2016-09-15,33.46
2016-09-16,33.02
2016-09-19,33.11
2016-09-20,33.08
2016-09-21,33.26
2016-09-22,33.46
2016-09-23,33.46
2016-09-26,32.77
2016-09-27,33.05
2016-09-28,33.39
2016-09-29,32.9
2016-09-30,33.38
2016-10-03,33.23
2016-10-04,33.54
2016-10-05,34.17
2016-10-06,34.2
2016-10-07,34.22
2016-10-10,34.38
2016-10-11,34.01
2016-10-12,33.97
2016-10-13,33.22
2016-10-14,33.38
2016-10-17,33.21
2016-10-18,33.64
2016-10-19,34.24
2016-10-20,34.28
2016-10-21,34.41
2016-10-24,34.67
2016-10-25,34.52
2016-10-26,34.75
2016-10-27,34.91
2016-10-28,34.58
2016-10-31,34.67
2016-11-01,34.59
2016-11-02,34.03
2016-11-03,34.04
2016-11-04,34.09
2016-11-07,35.09
2016-11-08,34.94
2016-11-09,36.74
2016-11-10,38.23
2016-11-11,38.94
2016-11-14,40
2016-11-15,40.2
2016-11-16,39.64
2016-11-17,40.17
2016-11-18,40.41
2016-11-21,40.5
2016-11-22,40.73
2016-11-23,40.95
2016-11-25,41.01
2016-11-28,40.28
2016-11-29,40.43
2016-11-30,41.15
2016-12-01,41.98
2016-12-02,41.64
2016-12-05,42.16
2016-12-06,42.76
2016-12-07,43.32
2016-12-08,44.05
2016-12-09,44.11
2016-12-12,43.4
2016-12-13,43.46
2016-12-14,43.27
2016-12-15,43.84
2016-12-16,43.16
2016-12-19,43.41
2016-12-20,44.03
2016-12-21,43.89
2016-12-22,43.95
2016-12-23,43.98
2016-12-27,44.16
2016-12-28,43.75
2016-12-29,43.38
2016-12-30,43.47
2017-01-03,43.67
2017-01-04,44.31
2017-01-05,43.65
2017-01-06,43.77
2017-01-09,43.36
2017-01-10,43.74
2017-01-11,43.96
2017-01-12,43.38
2017-01-13,43.86
2017-01-17,42.38
2017-01-18,42.75
2017-01-19,42.5
2017-01-20,42.87
2017-01-23,42.65
2017-01-24,43.38
2017-01-25,44.15
2017-01-26,44.49
2017-01-27,44.12
2017-01-30,43.61
2017-01-31,43.44
2017-02-01,43.5
2017-02-02,43.03
2017-02-03,44.12
2017-02-06,43.87
2017-02-07,43.71
2017-02-08,43.27
2017-02-09,43.91
2017-02-10,44.14
2017-02-13,44.61
2017-02-14,45.32
2017-02-15,45.62
2017-02-16,45.47
2017-02-17,45.32
2017-02-21,45.48
2017-02-22,45.48
2017-02-23,45.45
2017-02-24,45.17
2017-02-27,45.4
2017-02-28,45.13
2017-03-01,46.56
2017-03-02,45.48
2017-03-03,45.7
2017-03-06,45.48
2017-03-07,45.23
2017-03-08,45.06
2017-03-09,45.09
2017-03-10,44.93
2017-03-13,45.01
2017-03-14,44.91
2017-03-15,44.61
2017-03-16,44.9
2017-03-17,44.59
2017-03-20,43.98
2017-03-21,41.84
2017-03-22,41.67
2017-03-23,41.96
2017-03-24,42.01
2017-03-27,41.79
2017-03-28,42.42
2017-03-29,42.28
2017-03-30,43.38
2017-03-31,42.98
2017-04-03,42.72
2017-04-04,42.73
2017-04-05,42.04
2017-04-06,42.5
2017-04-07,42.38
2017-04-10,42.18
2017-04-11,42.37
2017-04-12,41.86
2017-04-13,41.01
2017-04-17,41.73
2017-04-18,41.53
2017-04-19,41.74
2017-04-20,42.49
2017-04-21,42.36
2017-04-24,43.23
2017-04-25,43.41
2017-04-26,43.74
2017-04-27,43.22
2017-04-28,42.62
2017-05-01,42.93
2017-05-02,42.7
2017-05-03,43.02
2017-05-04,43.15
2017-05-05,43.07
2017-05-08,43.13
2017-05-09,42.93
2017-05-10,43
2017-05-11,42.48
2017-05-12,42.32
2017-05-15,42.68
2017-05-16,42.85
2017-05-17,41.15
2017-05-18,41.31
2017-05-19,41.52
2017-05-22,41.68
2017-05-23,42.24
2017-05-24,42.09
2017-05-25,42.01
2017-05-26,41.86
2017-05-30,41.42
2017-05-31,41.13
2017-06-01,41.74
2017-06-02,41.4
2017-06-05,41.39
2017-06-06,41.19
2017-06-07,41.58
2017-06-08,42.66
2017-06-09,43.88
2017-06-12,43.94
2017-06-13,44.1
2017-06-14,44.05
2017-06-15,43.76
2017-06-16,43.49
2017-06-19,43.57
2017-06-20,43.03
2017-06-21,42.48
2017-06-22,42.2
2017-06-23,41.92
2017-06-26,42.18
2017-06-27,42.42
2017-06-28,43
2017-06-29,43.71
2017-06-30,43.52
2017-07-03,44.41
2017-07-05,44.44
2017-07-06,43.95
2017-07-07,44.21
2017-07-10,44.03
2017-07-11,43.88
2017-07-12,43.84
2017-07-13,44.01
2017-07-14,43.78
2017-07-17,43.84
2017-07-18,43.68
2017-07-19,43.55
2017-07-20,43.52
2017-07-21,43.2
2017-07-24,43.5
2017-07-25,44.16
2017-07-26,43.43
2017-07-27,43.36
2017-07-28,43.09
2017-07-31,43.34
2017-08-01,43.69
2017-08-02,43.72
2017-08-03,43.47
2017-08-04,43.82
2017-08-07,43.56
2017-08-08,43.66
2017-08-09,43.25
2017-08-10,42.11
2017-08-11,41.85
2017-08-14,42.67
2017-08-15,42.61
2017-08-16,42.48
2017-08-17,41.41
2017-08-18,41.4
2017-08-21,41.28
2017-08-22,41.7
2017-08-23,41.77
2017-08-24,41.92
