Date,Value
2016-08-01,39.68
2016-08-02,39.33
2016-08-03,39.88
2016-08-04,39.93
2016-08-05,41.31
2016-08-08,41.2
2016-08-09,41.3
2016-08-10,40.76
2016-08-11,40.86
2016-08-12,40.67
2016-08-15,41.28
2016-08-16,41.17
2016-08-17,41.3
2016-08-18,41.48
2016-08-19,41.55
2016-08-22,41.56
2016-08-23,41.67
2016-08-24,41.63
2016-08-25,41.83
2016-08-26,42.11
2016-08-29,42.43
2016-08-30,42.88
2016-08-31,43.02
2016-09-01,42.72
2016-09-02,43.09
2016-09-06,42.31
2016-09-07,42.64
2016-09-08,42.76
2016-09-09,42.46
2016-09-12,42.73
2016-09-13,42.11
2016-09-14,41.74
2016-09-15,42.16
2016-09-16,41.6
2016-09-19,41.76
2016-09-20,41.7
2016-09-21,41.89
2016-09-22,42.22
2016-09-23,42.23
2016-09-26,41.28
2016-09-27,41.71
2016-09-28,42.22
2016-09-29,41.52
2016-09-30,42.27
2016-10-03,41.86
2016-10-04,42.46
2016-10-05,43.28
2016-10-06,43.21
2016-10-07,43.24
2016-10-10,43.47
2016-10-11,42.9
2016-10-12,42.83
2016-10-13,41.79
2016-10-14,42
2016-10-17,41.71
2016-10-18,42.12
2016-10-19,42.95
2016-10-20,43.07
2016-10-21,43.19
2016-10-24,43.54
2016-10-25,43.38
2016-10-26,43.7
2016-10-27,44
2016-10-28,43.49
2016-10-31,43.79
2016-11-01,43.69
2016-11-02,42.91
2016-11-03,42.94
2016-11-04,42.99
2016-11-07,44.22
2016-11-08,43.97
2016-11-09,46.45
2016-11-10,48.4
2016-11-11,49.49
2016-11-14,50.83
2016-11-15,51.16
2016-11-16,50.42
2016-11-17,51.15
2016-11-18,51.5
2016-11-21,51.66
2016-11-22,51.98
2016-11-23,52.3
2016-11-25,52.3
2016-11-28,51.31
2016-11-29,51.48
2016-11-30,52.41
2016-12-01,53.46
2016-12-02,53.03
2016-12-05,53.68
2016-12-06,54.5
2016-12-07,55.04
2016-12-08,55.91
2016-12-09,56.03
2016-12-12,54.94
2016-12-13,55.02
2016-12-14,54.84
2016-12-15,55.64
2016-12-16,54.74
2016-12-19,55.07
2016-12-20,56.11
2016-12-21,55.92
2016-12-22,56.09
2016-12-23,56.11
2016-12-27,56.46
2016-12-28,55.82
2016-12-29,55.35
2016-12-30,55.57
2017-01-03,55.57
2017-01-04,56.44
2017-01-05,55.55
2017-01-06,55.78
2017-01-09,55.24
2017-01-10,55.76
2017-01-11,56.09
2017-01-12,55.19
2017-01-13,55.81
2017-01-17,53.79
2017-01-18,54.39
2017-01-19,54.1
2017-01-20,54.52
2017-01-23,54.35
2017-01-24,55.38
2017-01-25,56.42
2017-01-26,56.88
2017-01-27,56.29
2017-01-30,55.46
2017-01-31,55.4
2017-02-01,55.28
2017-02-02,54.65
2017-02-03,56.08
2017-02-06,55.67
2017-02-07,55.46
2017-02-08,54.91
2017-02-09,55.91
2017-02-10,56.17
2017-02-13,56.69
2017-02-14,57.7
2017-02-15,57.95
2017-02-16,57.87
2017-02-17,57.7
2017-02-21,57.95
2017-02-22,57.9
2017-02-23,57.94
2017-02-24,57.46
2017-02-27,57.96
2017-02-28,57.46
2017-03-01,59.36
2017-03-02,57.82
2017-03-03,58.2
2017-03-06,57.83
2017-03-07,57.58
2017-03-08,57.27
2017-03-09,57.25
2017-03-10,56.99
2017-03-13,57.06
2017-03-14,56.91
2017-03-15,56.43
2017-03-16,56.95
2017-03-17,56.54
2017-03-20,55.73
2017-03-21,52.74
2017-03-22,52.59
2017-03-23,52.99
2017-03-24,53.07
2017-03-27,52.78
2017-03-28,53.67
2017-03-29,53.49
2017-03-30,55.14
2017-03-31,54.61
2017-04-03,54.09
2017-04-04,54.12
2017-04-05,53.12
2017-04-06,53.83
2017-04-07,53.61
2017-04-10,53.27
2017-04-11,53.58
2017-04-12,52.83
2017-04-13,51.71
2017-04-17,52.62
2017-04-18,52.35
2017-04-19,52.69
2017-04-20,53.8
2017-04-21,53.64
2017-04-24,54.82
