Date,Value
2000-08-30,4.805
2000-08-31,4.78
2000-09-01,4.835
2000-09-05,4.96
2000-09-06,5.065
2000-09-07,4.998
2000-09-08,4.88
2000-09-11,5.015
2000-09-12,5.005
2000-09-13,5.055
2000-09-14,5.195
2000-09-15,5.205
2000-09-18,5.295
2000-09-19,5.37
2000-09-20,5.32
2000-09-21,5.287
2000-09-22,5.131
2000-09-25,5.276
2000-09-26,5.36
2000-09-27,5.33
2000-09-28,5.14
2000-09-29,5.2
2000-10-02,5.352
2000-10-03,5.348
2000-10-04,5.29
2000-10-05,5.152
2000-10-06,5
2000-10-09,5.15
2000-10-10,5.134
2000-10-11,5.585
2000-10-12,5.625
2000-10-13,5.535
2000-10-16,5.355
2000-10-17,5.46
2000-10-18,5.21
2000-10-19,4.96
2000-10-20,4.937
2000-10-23,5.072
2000-10-24,4.82
2000-10-25,4.65
2000-10-26,4.655
2000-10-27,4.53
2000-10-30,4.48
2000-10-31,4.5
2000-11-01,4.686
2000-11-02,4.76
2000-11-03,4.91
2000-11-06,4.849
2000-11-07,5.08
2000-11-08,5.34
2000-11-09,5.445
2000-11-10,5.46
2000-11-13,5.69
2000-11-14,6.02
2000-11-15,6.24
2000-11-16,5.79
2000-11-17,6.12
2000-11-20,6.24
2000-11-21,6.41
2000-11-22,6.577
2000-11-27,6.38
2000-11-28,6.07
2000-11-29,6.18
2000-11-30,6.58
2000-12-01,6.675
2000-12-04,7.45
2000-12-05,7.41
2000-12-06,8.45
2000-12-07,8.4
2000-12-08,8.585
2000-12-11,9.42
2000-12-12,8.2
2000-12-13,7.6
2000-12-14,7.413
2000-12-15,8.4
2000-12-18,8.527
2000-12-19,9.102
2000-12-20,9.36
2000-12-21,9.85
2000-12-22,9.579
2000-12-26,9.8
2000-12-27,10.04
2000-12-28,9.263
2000-12-29,9.775
2001-01-02,8.364
2001-01-03,8.22
2001-01-04,9
2001-01-05,9.25
2001-01-08,9.7
2001-01-09,9.8
2001-01-10,9.18
2001-01-11,8.71
2001-01-12,8.472
2001-01-16,8.103
2001-01-17,6.909
2001-01-18,7.136
2001-01-19,7.48
2001-01-22,7.457
2001-01-23,6.946
2001-01-24,7.12
2001-01-25,7.27
2001-01-26,7.28
2001-01-29,6.62
2001-01-30,6.097
2001-01-31,5.65
2001-02-01,6.4
2001-02-02,6.743
2001-02-05,5.706
2001-02-06,5.764
2001-02-07,6.25
2001-02-08,6.17
2001-02-09,6.21
2001-02-12,5.81
2001-02-13,6.02
2001-02-14,5.51
2001-02-15,5.595
2001-02-16,5.568
2001-02-20,5.27
2001-02-21,5.15
2001-02-22,5.14
2001-02-23,5.15
2001-02-26,5.06
2001-02-27,5.29
2001-02-28,5.245
2001-03-01,5.185
2001-03-02,5.275
2001-03-05,5.336
2001-03-06,5.31
2001-03-07,5.35
2001-03-08,5.29
2001-03-09,5.08
