Date,Value
1993-01-29,43.9375
1993-02-01,44.25
1993-02-02,44.3438
1993-02-03,44.8125
1993-02-04,45
1993-02-05,44.9688
1993-02-08,44.9688
1993-02-09,44.6563
1993-02-10,44.7188
1993-02-11,44.9375
1993-02-12,44.5938
1993-02-16,43.4688
1993-02-17,43.4375
1993-02-18,43.4063
1993-02-19,43.5625
1993-02-22,43.7188
1993-02-23,43.6875
1993-02-24,44.25
1993-02-25,44.3438
1993-02-26,44.4063
1993-03-01,44.2813
1993-03-02,44.9375
1993-03-03,45.125
1993-03-04,44.875
1993-03-05,44.75
1993-03-08,45.75
1993-03-09,45.5938
1993-03-10,45.6875
1993-03-11,45.5625
1993-03-12,45.0938
1993-03-15,45.3125
1993-03-16,45.3125
1993-03-17,45.0313
1993-03-18,45.3125
1993-03-19,45.0313
1993-03-22,44.7813
1993-03-23,44.875
1993-03-24,44.875
1993-03-25,45.1563
1993-03-26,44.9063
1993-03-29,45.0938
1993-03-30,45.2188
1993-03-31,45.1875
1993-04-01,45.0313
1993-04-02,44.0938
1993-04-05,44.3125
1993-04-06,44.1875
1993-04-07,44.3438
1993-04-08,44.2813
1993-04-12,44.9063
1993-04-13,45
1993-04-14,44.9375
1993-04-15,44.9375
1993-04-16,44.9375
1993-04-19,44.75
1993-04-20,44.5313
1993-04-21,44.5
1993-04-22,43.9375
1993-04-23,43.75
1993-04-26,43.4063
1993-04-27,43.875
1993-04-28,43.7813
1993-04-29,43.9688
1993-04-30,44.0313
1993-05-03,44.3125
1993-05-04,44.4688
1993-05-05,44.5938
1993-05-06,44.4375
1993-05-07,44.3438
1993-05-10,44.4375
1993-05-11,44.625
1993-05-12,44.5625
1993-05-13,44.0313
1993-05-14,44
1993-05-17,44.1563
1993-05-18,44.125
1993-05-19,45.0313
1993-05-20,45.1563
1993-05-21,44.75
1993-05-24,44.9375
1993-05-25,45.0313
1993-05-26,45.5938
1993-05-27,45.4375
1993-05-28,45.2188
1993-06-01,45.6563
1993-06-02,45.5938
1993-06-03,45.4375
1993-06-04,45.2813
1993-06-07,45.125
1993-06-08,44.7188
1993-06-09,44.875
1993-06-10,44.9063
1993-06-11,45.0938
1993-06-14,45.0313
1993-06-15,44.9375
1993-06-16,45.0313
1993-06-17,45.1875
1993-06-18,44.5
