Date,Value
2016-08-01,19.1633
2016-08-02,19.0008
2016-08-03,19.1958
2016-08-04,19.147
2016-08-05,19.5126
2016-08-08,19.537
2016-08-09,19.5532
2016-08-10,19.3989
2016-08-11,19.4395
2016-08-12,19.3826
2016-08-15,19.5126
2016-08-16,19.4639
2016-08-17,19.5288
2016-08-18,19.5126
2016-08-19,19.5045
2016-08-22,19.5045
2016-08-23,19.5288
2016-08-24,19.5207
2016-08-25,19.5613
2016-08-26,19.5857
2016-08-29,19.7563
2016-08-30,19.935
2016-08-31,19.9513
2016-09-01,19.87
2016-09-02,19.9594
2016-09-06,19.9269
2016-09-07,19.9188
2016-09-08,19.9025
2016-09-09,19.5288
2016-09-12,19.7482
2016-09-13,19.3989
2016-09-14,19.3501
2016-09-15,19.4639
2016-09-16,19.1877
2016-09-19,19.31
2016-09-20,19.32
2016-09-21,19.44
2016-09-22,19.48
2016-09-23,19.38
2016-09-26,19.07
2016-09-27,19.22
2016-09-28,19.31
2016-09-29,19.04
2016-09-30,19.3
2016-10-03,19.21
2016-10-04,19.29
2016-10-05,19.6
2016-10-06,19.63
2016-10-07,19.62
2016-10-10,19.72
2016-10-11,19.54
2016-10-12,19.52
2016-10-13,19.33
2016-10-14,19.42
2016-10-17,19.33
2016-10-18,19.49
2016-10-19,19.66
2016-10-20,19.66
2016-10-21,19.65
2016-10-24,19.71
2016-10-25,19.69
2016-10-26,19.81
2016-10-27,19.86
2016-10-28,19.77
2016-10-31,19.74
2016-11-01,19.66
2016-11-02,19.53
2016-11-03,19.55
2016-11-04,19.49
2016-11-07,19.98
2016-11-08,19.99
2016-11-09,20.84
2016-11-10,21.61
2016-11-11,21.67
2016-11-14,22.2
2016-11-15,22.18
2016-11-16,21.86
2016-11-17,22.16
2016-11-18,22.16
2016-11-21,22.24
2016-11-22,22.25
2016-11-23,22.38
2016-11-25,22.41
2016-11-28,22.15
2016-11-29,22.21
2016-11-30,22.51
2016-12-01,22.9
2016-12-02,22.65
2016-12-05,22.92
2016-12-06,23.12
2016-12-07,23.48
2016-12-08,23.7
2016-12-09,23.75
2016-12-12,23.52
2016-12-13,23.58
2016-12-14,23.47
2016-12-15,23.67
2016-12-16,23.36
2016-12-19,23.37
2016-12-20,23.66
2016-12-21,23.6
2016-12-22,23.54
2016-12-23,23.58
2016-12-27,23.61
2016-12-28,23.37
2016-12-29,23.2
2016-12-30,23.25
2017-01-03,23.51
2017-01-04,23.7
2017-01-05,23.46
2017-01-06,23.54
2017-01-09,23.38
2017-01-10,23.43
2017-01-11,23.58
2017-01-12,23.38
2017-01-13,23.51
2017-01-17,22.95
2017-01-18,23.14
2017-01-19,23.04
2017-01-20,23.15
2017-01-23,23
2017-01-24,23.29
2017-01-25,23.68
2017-01-26,23.74
2017-01-27,23.65
2017-01-30,23.46
2017-01-31,23.31
2017-02-01,23.34
2017-02-02,23.25
2017-02-03,23.72
2017-02-06,23.61
2017-02-07,23.55
2017-02-08,23.39
2017-02-09,23.71
2017-02-10,23.78
2017-02-13,24.05
2017-02-14,24.33
2017-02-15,24.52
2017-02-16,24.46
2017-02-17,24.47
2017-02-21,24.59
2017-02-22,24.61
2017-02-23,24.61
2017-02-24,24.42
2017-02-27,24.55
2017-02-28,24.54
2017-03-01,25.24
2017-03-02,24.85
2017-03-03,24.97
2017-03-06,24.78
2017-03-07,24.71
2017-03-08,24.72
2017-03-09,24.81
2017-03-10,24.79
2017-03-13,24.85
2017-03-14,24.78
2017-03-15,24.74
2017-03-16,24.78
2017-03-17,24.45
2017-03-20,24.25
2017-03-21,23.57
2017-03-22,23.52
2017-03-23,23.57
2017-03-24,23.54
2017-03-27,23.45
2017-03-28,23.77
2017-03-29,23.62
2017-03-30,23.93
2017-03-31,23.73
2017-04-03,23.68
2017-04-04,23.65
2017-04-05,23.47
2017-04-06,23.62
2017-04-07,23.52
2017-04-10,23.46
2017-04-11,23.39
2017-04-12,23.2
2017-04-13,22.9
2017-04-17,23.3
2017-04-18,23.08
2017-04-19,23.01
2017-04-20,23.4
2017-04-21,23.16
2017-04-24,23.68
2017-04-25,23.89
2017-04-26,23.87
2017-04-27,23.76
2017-04-28,23.53
2017-05-01,23.68
2017-05-02,23.65
2017-05-03,23.84
2017-05-04,23.88
2017-05-05,23.84
2017-05-08,23.82
2017-05-09,23.73
2017-05-10,23.81
2017-05-11,23.66
2017-05-12,23.56
2017-05-15,23.74
2017-05-16,23.81
2017-05-17,23.06
2017-05-18,23.15
2017-05-19,23.35
2017-05-22,23.41
2017-05-23,23.59
2017-05-24,23.58
2017-05-25,23.62
2017-05-26,23.61
2017-05-30,23.45
2017-05-31,23.25
2017-06-01,23.54
2017-06-02,23.45
2017-06-05,23.49
2017-06-06,23.39
2017-06-07,23.57
2017-06-08,23.84
2017-06-09,24.29
2017-06-12,24.34
2017-06-13,24.47
2017-06-14,24.51
2017-06-15,24.41
2017-06-16,24.29
2017-06-19,24.54
2017-06-20,24.33
2017-06-21,24.13
2017-06-22,23.98
2017-06-23,23.89
2017-06-26,24.02
2017-06-27,24.14
2017-06-28,24.52
2017-06-29,24.69
2017-06-30,24.67
2017-07-03,25.03
2017-07-05,25.07
2017-07-06,24.88
2017-07-07,25.05
2017-07-10,25.02
2017-07-11,24.8
2017-07-12,24.88
2017-07-13,25.03
2017-07-14,24.92
2017-07-17,24.84
2017-07-18,24.8
2017-07-19,24.81
2017-07-20,24.8
2017-07-21,24.8
2017-07-24,24.91
2017-07-25,25.22
2017-07-26,25.05
2017-07-27,24.91
2017-07-28,24.91
2017-07-31,25.09
2017-08-01,25.27
2017-08-02,25.31
2017-08-03,25.22
2017-08-04,25.39
2017-08-07,25.35
2017-08-08,25.28
2017-08-09,25.28
2017-08-10,24.83
2017-08-11,24.73
2017-08-14,25.07
2017-08-15,25.09
2017-08-16,25.04
2017-08-17,24.61
2017-08-18,24.62
2017-08-21,24.55
2017-08-22,24.82
2017-08-23,24.74
2017-08-24,24.74
2017-08-25,24.81
2017-08-28,24.65
2017-08-29,24.57
2017-08-30,24.67
2017-08-31,24.7
2017-09-01,24.77
2017-09-05,24.24
2017-09-06,24.3
2017-09-07,23.88
2017-09-08,24.1
2017-09-11,24.52
2017-09-12,24.81
2017-09-13,24.85
2017-09-14,24.8
2017-09-15,24.77
2017-09-18,25.06
2017-09-19,25.25
2017-09-20,25.4
2017-09-21,25.46
2017-09-22,25.43
2017-09-25,25.4
2017-09-26,25.39
2017-09-27,25.7
2017-09-28,25.74
2017-09-29,25.86
2017-10-02,26.08
2017-10-03,26.17
2017-10-04,26.05
2017-10-05,26.32
2017-10-06,26.35
2017-10-09,26.25
2017-10-10,26.37
2017-10-11,26.32
2017-10-12,26.12
2017-10-13,26.13
2017-10-16,26.3
2017-10-17,26.17
2017-10-18,26.31
2017-10-19,26.33
2017-10-20,26.64
2017-10-23,26.62
2017-10-24,26.81
2017-10-25,26.65
2017-10-26,26.8
2017-10-27,26.78
2017-10-30,26.67
2017-10-31,26.6
2017-11-01,26.64
2017-11-02,26.89
2017-11-03,26.78
2017-11-06,26.75
2017-11-07,26.38
2017-11-08,26.25
2017-11-09,26.16
2017-11-10,26.08
2017-11-13,26.12
2017-11-14,26.11
2017-11-15,26.18
2017-11-16,26.19
2017-11-17,26.16
2017-11-20,26.28
2017-11-21,26.36
2017-11-22,26.23
2017-11-24,26.22
2017-11-27,26.2
2017-11-28,26.88
2017-11-29,27.34
2017-11-30,27.52
2017-12-01,27.58
2017-12-04,28
2017-12-05,27.85
2017-12-06,27.75
2017-12-07,27.84
2017-12-08,28.01
2017-12-11,27.94
2017-12-12,28.22
2017-12-13,27.87
2017-12-14,27.69
2017-12-15,27.81
2017-12-18,28.06
2017-12-19,27.94
2017-12-20,27.89
2017-12-21,28.13
2017-12-22,28.05
2017-12-26,27.97
2017-12-27,28
2017-12-28,28.11
2017-12-29,27.91
2018-01-02,27.92
2018-01-03,28.07
2018-01-04,28.33
2018-01-05,28.41
2018-01-08,28.37
2018-01-09,28.59
2018-01-10,28.83
2018-01-11,28.97
2018-01-12,29.23
2018-01-16,29.15
2018-01-17,29.37
2018-01-18,29.33
2018-01-19,29.54
2018-01-22,29.78
2018-01-23,29.81
2018-01-24,30.01
2018-01-25,29.95
2018-01-26,30.17
2018-01-29,30.05
2018-01-30,29.66
2018-01-31,29.74
2018-02-01,30.02
2018-02-02,29.36
2018-02-05,27.88
2018-02-06,28.39
2018-02-07,28.41
2018-02-08,27.16
2018-02-09,27.68
2018-02-12,28.07
2018-02-13,28.19
2018-02-14,28.86
2018-02-15,29.02
2018-02-16,28.98
2018-02-20,28.89
2018-02-21,28.93
2018-02-22,28.69
2018-02-23,29.12
2018-02-26,29.56
2018-02-27,29.28
2018-02-28,28.87
2018-03-01,28.37
2018-03-02,28.44
2018-03-05,28.84
2018-03-06,28.96
2018-03-07,28.91
2018-03-08,29
2018-03-09,29.7
2018-03-12,29.6
2018-03-13,29.27
2018-03-14,28.94
2018-03-15,28.95
2018-03-16,28.87
2018-03-19,28.66
2018-03-20,28.73
2018-03-21,28.72
2018-03-22,27.66
2018-03-23,26.82
2018-03-26,27.69
2018-03-27,27.15
2018-03-28,27.2
2018-03-29,27.57
2018-04-02,26.96
2018-04-03,27.33
2018-04-04,27.62
2018-04-05,27.84
2018-04-06,27.17
2018-04-09,27.32
2018-04-10,27.73
2018-04-11,27.4
2018-04-12,27.88
2018-04-13,27.46
2018-04-16,27.58
2018-04-17,27.58
2018-04-18,27.45
2018-04-19,27.87
2018-04-20,27.88
2018-04-23,27.85
2018-04-24,27.67
2018-04-25,27.65
2018-04-26,27.66
2018-04-27,27.7
