Date,Value
2015-10-08,30.21
2015-10-09,30.16
2015-10-12,30.35
2015-10-13,30.16
2015-10-14,30.16
2015-10-15,30.07
2015-10-16,30.642
2015-10-19,31
2015-10-20,31.03
2015-10-21,31.055
2015-10-22,31.448
2015-10-23,31.07
2015-10-26,31.11
2015-10-27,31.118
2015-10-28,31.005
2015-10-29,31.146
2015-10-30,30.95
2015-11-02,30.95
2015-11-03,31.35
2015-11-04,31.22
2015-11-05,31.1
2015-11-06,29.95
2015-11-09,29.71
2015-11-10,30.03
2015-11-11,30.134
2015-11-12,29.95
2015-11-13,29.56
2015-11-16,29.53
2015-11-17,29.99
2015-11-18,30.345
2015-11-19,30.51
2015-11-20,30.76
2015-11-23,30.92
2015-11-24,30.45
2015-11-25,30.45
2015-11-27,30.68
2015-11-30,30.75
2015-12-01,31.259
2015-12-02,30.62
2015-12-03,30.01
2015-12-04,30.62
2015-12-07,30.62
2015-12-08,30.72
2015-12-09,30.55
2015-12-10,30.3
2015-12-11,30.138
2015-12-14,30.231
2015-12-15,30.58
2015-12-16,31.13
2015-12-17,31.09
2015-12-18,30.35
2015-12-21,30.4
2015-12-22,30.68
2015-12-23,30.98
2015-12-24,31.01
2015-12-28,30.927
2015-12-29,31.44
2015-12-30,31.44
2015-12-31,31.184
2016-01-04,30.46
2016-01-05,31.383
2016-01-06,31.08
2016-01-07,30.51
2016-01-08,30.11
2016-01-11,30.29
2016-01-12,29.96
2016-01-13,29.65
2016-01-14,29.75
2016-01-15,29.25
2016-01-19,29.45
2016-01-20,28.66
2016-01-21,28.88
2016-01-22,29.48
2016-01-25,29.48
2016-01-26,29.742
2016-01-27,29.48
2016-01-28,29.16
2016-01-29,29.19
2016-02-01,29.81
2016-02-02,29.43
2016-02-03,29.46
2016-02-04,29.637
2016-02-05,29.098
2016-02-08,27.556
2016-02-09,27.34
2016-02-10,27.92
2016-02-11,27.22
2016-02-12,27.49
2016-02-16,27.49
2016-02-17,28.35
2016-02-18,28.7
2016-02-19,28.66
2016-02-22,29.1
2016-02-23,28.95
2016-02-24,28.974
2016-02-25,29.16
2016-02-26,29.37
2016-02-29,29.33
2016-03-01,30.03
2016-03-02,30.36
2016-03-03,30.402
2016-03-04,30.49
2016-03-07,30.47
2016-03-08,30.424
2016-03-09,30.331
2016-03-10,30.188
2016-03-11,30.89
2016-03-14,30.99
2016-03-15,31.195
2016-03-16,30.96
2016-03-17,31.996
2016-03-18,31.47
2016-03-21,31.31
2016-03-22,31.255
2016-03-23,31.14
2016-03-24,31.19
2016-03-28,31.39
2016-03-29,32.07
2016-03-30,32
2016-03-31,32.16
2016-04-01,32.227
2016-04-04,32.18
2016-04-05,31.892
2016-04-06,31.98
2016-04-07,31.72
2016-04-08,32.02
2016-04-11,32
2016-04-12,32.14
2016-04-13,32.017
2016-04-14,31.89
2016-04-15,32.11
2016-04-18,32.23
2016-04-19,32.12
2016-04-20,31.8
2016-04-21,31.064
2016-04-22,31.46
2016-04-25,31.681
2016-04-26,31.77
2016-04-27,31.65
2016-04-28,31.682
2016-04-29,31.38
2016-05-02,31.71
2016-05-03,31.87
2016-05-04,32.33
2016-05-05,32.36
2016-05-06,32.53
2016-05-09,32.858
2016-05-10,32.98
2016-05-11,32.38
2016-05-12,32.49
2016-05-13,32.021
2016-05-16,32.458
2016-05-17,31.92
2016-05-18,31.133
2016-05-19,31.07
2016-05-20,31.282
2016-05-23,31.38
2016-05-24,31.59
2016-05-25,31.804
2016-05-26,31.78
2016-05-27,31.905
2016-05-31,31.92
2016-06-01,31.8
2016-06-02,31.9
2016-06-03,32.044
2016-06-06,32.06
2016-06-07,32.086
2016-06-08,32.24
2016-06-09,32.308
2016-06-10,32.15
2016-06-13,32.14
2016-06-14,31.99
2016-06-15,32.32
2016-06-16,32.486
2016-06-17,32.17
2016-06-20,32.2
2016-06-21,32.46
2016-06-22,32.43
2016-06-23,32.57
2016-06-24,32.16
2016-06-27,32.11
2016-06-28,32.7
