Date,Value
1998-12-22,25.0313
1998-12-23,25.5938
1998-12-24,25.75
1998-12-28,25.375
1998-12-29,25.9375
1998-12-30,25.7188
1998-12-31,26
1999-01-04,25.9375
1999-01-05,26.3438
1999-01-06,26.7813
1999-01-07,26.6563
1999-01-08,26.9844
1999-01-11,27.0469
1999-01-12,26.9375
1999-01-13,26.6875
1999-01-14,26.4688
1999-01-15,26.8281
1999-01-19,27.5938
1999-01-20,27.75
1999-01-21,26.7813
1999-01-22,26.6719
1999-01-25,26.8906
1999-01-26,27.0156
1999-01-27,26.75
1999-01-28,27.25
1999-01-29,27.25
1999-02-01,27.4063
1999-02-02,27
1999-02-03,27.5156
1999-02-04,27.3125
1999-02-05,27
1999-02-08,26.9844
1999-02-09,26.5
1999-02-10,26.5625
1999-02-11,27.2813
1999-02-12,26.875
1999-02-16,27.125
1999-02-17,26.8438
1999-02-18,27.1875
1999-02-19,27.2656
1999-02-22,27.8438
1999-02-23,27.7969
1999-02-24,27.4688
1999-02-25,27.2031
1999-02-26,27.2813
1999-03-01,27.2344
1999-03-02,27.2188
1999-03-03,27.0469
1999-03-04,27.5313
1999-03-05,28.1563
1999-03-08,28.1875
1999-03-09,27.9688
1999-03-10,28.2188
1999-03-11,28.4063
1999-03-12,28.25
1999-03-15,28.3438
1999-03-16,28.2813
1999-03-17,28.125
1999-03-18,28.5156
1999-03-19,28.3906
1999-03-22,28.3125
1999-03-23,27.5313
1999-03-24,27.6563
1999-03-25,28.125
1999-03-26,27.9063
1999-03-29,28.25
1999-03-30,28.1563
1999-03-31,28
1999-04-01,28
1999-04-05,28.625
1999-04-06,28.6563
1999-04-07,29.2031
1999-04-08,29.5
1999-04-09,29.5938
1999-04-12,30.3438
1999-04-13,30.0313
1999-04-14,29.75
1999-04-15,29
1999-04-16,28.7188
1999-04-19,27.9375
1999-04-20,28.4688
1999-04-21,29.125
1999-04-22,29.7188
1999-04-23,30.3906
1999-04-26,30.3438
1999-04-27,30.375
1999-04-28,29.5625
1999-04-29,29.2188
1999-04-30,29
1999-05-03,29.5625
1999-05-04,29
1999-05-05,29.25
1999-05-06,29.375
1999-05-07,29.2813
1999-05-10,29.2188
1999-05-11,29.6875
1999-05-12,29.9688
1999-05-13,29.7813
1999-05-14,29.25
1999-05-17,29.0625
1999-05-18,28.75
1999-05-19,29.0938
1999-05-20,29.4844
1999-05-21,29.1563
1999-05-24,28.4688
1999-05-25,28.1875
1999-05-26,28.2188
1999-05-27,27.9063
1999-05-28,28.1094
1999-06-01,28.1875
1999-06-02,28.0938
1999-06-03,28.3125
1999-06-04,29
1999-06-07,28.75
1999-06-08,28.5156
1999-06-09,28.5313
1999-06-10,28.2969
1999-06-11,27.9688
1999-06-14,28.125
1999-06-15,28.4375
1999-06-16,29
1999-06-17,29.1406
1999-06-18,29
1999-06-21,28.8594
1999-06-22,28.8125
1999-06-23,28.875
1999-06-24,28.3438
1999-06-25,28.375
1999-06-28,28.6875
1999-06-29,28.9688
1999-06-30,29.3438
1999-07-01,29.4375
1999-07-02,29.4375
1999-07-06,29.375
1999-07-07,29.5625
1999-07-08,29.5
1999-07-09,29.625
1999-07-12,29.6875
1999-07-13,29.625
1999-07-14,29.6875
1999-07-15,29.8281
1999-07-16,29.8438
1999-07-19,29.7188
1999-07-20,29.5938
1999-07-21,29.5313
1999-07-22,29.0625
1999-07-23,28.8125
1999-07-26,28.8438
1999-07-27,29.375
1999-07-28,29.1563
1999-07-29,28.6563
1999-07-30,28.4688
1999-08-02,28.2813
1999-08-03,28.1563
1999-08-04,27.75
1999-08-05,27.6719
1999-08-06,27.375
1999-08-09,27.4063
1999-08-10,26.8594
1999-08-11,27.125
1999-08-12,27.125
1999-08-13,27.5938
1999-08-16,27.5938
1999-08-17,27.9375
1999-08-18,28.125
1999-08-19,28
1999-08-20,27.9375
1999-08-23,28.2031
1999-08-24,27.8125
1999-08-25,28.375
1999-08-26,28.1563
1999-08-27,27.9531
1999-08-30,27.2813
