Date,Value
1998-12-22,12.7344
1998-12-23,12.7891
1998-12-24,13.0234
1998-12-28,12.9063
1998-12-29,13.1875
1998-12-30,13.0781
1998-12-31,13.0625
1999-01-04,12.9844
1999-01-05,13.2031
1999-01-06,13.5781
1999-01-07,13.5625
1999-01-08,13.5781
1999-01-11,13.5078
1999-01-12,13.1563
1999-01-13,13.2188
1999-01-14,12.9219
1999-01-15,13.0859
1999-01-19,13.0781
1999-01-20,13.2969
1999-01-21,13.1719
1999-01-22,13.2344
1999-01-25,13.2031
1999-01-26,13.5156
1999-01-27,13.5
1999-01-28,13.6406
1999-01-29,13.7344
1999-02-01,13.7656
1999-02-02,13.5938
1999-02-03,13.8125
1999-02-04,13.7344
1999-02-05,13.3906
1999-02-08,13.6094
1999-02-09,13.1875
1999-02-10,13.1875
1999-02-11,13.6172
1999-02-12,13.375
1999-02-16,13.5469
1999-02-17,13.5
1999-02-18,13.5156
1999-02-19,13.5859
1999-02-22,13.9297
1999-02-23,13.8594
1999-02-24,13.6875
1999-02-25,13.5313
1999-02-26,13.6484
1999-03-01,13.6563
1999-03-02,13.6875
1999-03-03,13.6172
1999-03-04,13.9063
1999-03-05,14.3281
1999-03-08,14.3906
1999-03-09,14.4297
1999-03-10,14.3906
1999-03-11,14.5469
1999-03-12,14.6094
1999-03-15,14.6406
1999-03-16,14.5625
1999-03-17,14.5
1999-03-18,14.75
1999-03-19,14.5313
1999-03-22,14.375
1999-03-23,13.9375
1999-03-24,13.8281
1999-03-25,14.25
1999-03-26,14.1563
1999-03-29,14.5
1999-03-30,14.5156
1999-03-31,14.2969
1999-04-01,14.2813
1999-04-05,14.4688
1999-04-06,14.5469
1999-04-07,14.6719
1999-04-08,15
1999-04-09,15.1406
1999-04-12,15.2656
1999-04-13,15.1875
1999-04-14,14.8438
1999-04-15,14.8125
1999-04-16,14.8594
1999-04-19,14.5313
1999-04-20,14.7188
1999-04-21,14.9688
1999-04-22,15.0078
1999-04-23,15.1719
1999-04-26,15.0781
1999-04-27,15.1172
1999-04-28,15.0625
1999-04-29,14.7188
1999-04-30,14.6719
1999-05-03,15.0313
1999-05-04,14.8594
1999-05-05,14.7344
1999-05-06,14.4063
1999-05-07,14.7344
1999-05-10,14.7188
1999-05-11,15.0156
1999-05-12,15.1094
1999-05-13,15.0313
1999-05-14,14.7344
1999-05-17,14.4375
1999-05-18,14.5313
1999-05-19,14.3594
1999-05-20,14.4844
1999-05-21,14.3906
1999-05-24,14.0781
1999-05-25,13.9375
1999-05-26,14.0938
1999-05-27,13.8125
1999-05-28,14.0078
1999-06-01,14.0938
1999-06-02,14.0625
1999-06-03,14.3906
1999-06-04,14.5
1999-06-07,14.5391
1999-06-08,14.3203
1999-06-09,14.1797
1999-06-10,13.9766
1999-06-11,13.9063
1999-06-14,13.9219
1999-06-15,13.8281
1999-06-16,14.2031
1999-06-17,14.1328
1999-06-18,14.2188
1999-06-21,14.4688
1999-06-22,14.375
1999-06-23,14.1719
1999-06-24,14.1406
1999-06-25,14.0938
1999-06-28,14.3672
1999-06-29,14.6094
1999-06-30,14.8906
1999-07-01,14.9688
1999-07-02,15.0469
1999-07-06,15.1719
1999-07-07,15.0313
1999-07-08,14.9063
1999-07-09,14.9063
1999-07-12,14.8125
1999-07-13,14.7031
1999-07-14,14.7344
1999-07-15,14.9297
1999-07-16,15.0156
1999-07-19,14.9844
1999-07-20,14.5938
1999-07-21,14.4531
1999-07-22,14.2656
1999-07-23,14.1563
1999-07-26,14.2344
1999-07-27,14.3125
1999-07-28,14.2656
1999-07-29,14.0469
1999-07-30,13.7813
1999-08-02,13.6797
1999-08-03,13.5078
1999-08-04,13.2344
1999-08-05,13.1172
1999-08-06,13.0156
1999-08-09,12.8438
1999-08-10,12.8438
1999-08-11,13.125
1999-08-12,13.2813
1999-08-13,13.5469
1999-08-16,13.7344
1999-08-17,13.7031
1999-08-18,13.6563
1999-08-19,13.5391
1999-08-20,13.6875
1999-08-23,13.9063
1999-08-24,13.8906
1999-08-25,14.0313
1999-08-26,13.7578
1999-08-27,13.7031
1999-08-30,13.4063
1999-08-31,13.25
1999-09-01,13.2656
1999-09-02,13.1094
1999-09-03,13.4688
1999-09-07,13.2578
1999-09-08,13.1875
1999-09-09,13.2344
1999-09-10,13.4844
1999-09-13,13.4453
1999-09-14,13.375
1999-09-15,13.2578
1999-09-16,12.9766
1999-09-17,13.1406
1999-09-20,13.125
1999-09-21,12.8281
1999-09-22,12.9688
1999-09-23,13.0313
1999-09-24,12.7656
1999-09-27,12.9844
1999-09-28,12.9453
1999-09-29,12.8516
1999-09-30,13.0391
1999-10-01,13.1094
1999-10-04,13.5313
1999-10-05,13.5547
1999-10-06,13.7031
1999-10-07,13.6641
1999-10-08,14.0547
1999-10-11,14.1563
1999-10-12,13.8672
1999-10-13,13.7031
1999-10-14,13.5078
1999-10-15,13.1641
1999-10-18,13.25
1999-10-19,13.3828
1999-10-20,13.6172
1999-10-21,13.5
1999-10-22,13.8516
1999-10-25,13.6094
1999-10-26,13.2734
1999-10-27,13.3125
1999-10-28,13.8125
1999-10-29,14.1953
1999-11-01,14.0938
1999-11-02,13.9922
1999-11-03,13.875
1999-11-04,14.0469
1999-11-05,14.1406
1999-11-08,14.0938
1999-11-09,13.9453
1999-11-10,14
1999-11-11,14.0313
1999-11-12,14.3594
1999-11-15,14.3828
1999-11-16,14.4453
1999-11-17,14.3203
1999-11-18,14.3828
1999-11-19,14.25
1999-11-22,14.0859
1999-11-23,14.0313
1999-11-24,14.1094
1999-11-26,14.2813
1999-11-29,14.4063
1999-11-30,14.2031
1999-12-01,14.375
1999-12-02,14.3125
1999-12-03,14.4766
1999-12-06,14.5
1999-12-07,14.2578
1999-12-08,14.1797
1999-12-09,14.1563
1999-12-10,14.5469
1999-12-13,14.9844
1999-12-14,14.7891
1999-12-15,14.8594
1999-12-16,15.1875
1999-12-17,15.0938
1999-12-20,14.6563
1999-12-21,14.7188
1999-12-22,14.75
1999-12-23,15.0391
1999-12-27,15.1875
