Date,Value
2006-06-22,18.56
2006-06-23,18.645
2006-06-26,18.645
2006-06-27,18.295
2006-06-28,18.29
2006-06-29,18.755
2006-06-30,18.81
2006-07-03,18.81
2006-07-05,18.57
2006-07-06,18.675
2006-07-07,18.53
2006-07-10,18.65
2006-07-11,18.65
2006-07-12,18.215
2006-07-13,17.95
2006-07-14,17.695
2006-07-17,17.76
2006-07-18,17.505
2006-07-19,17.925
2006-07-20,17.7
2006-07-21,17.475
2006-07-24,17.865
2006-07-25,18.035
2006-07-26,17.675
2006-07-27,17.44
2006-07-28,17.645
2006-07-31,17.81
2006-08-01,17.455
2006-08-02,17.52
2006-08-03,17.92
2006-08-04,17.945
2006-08-07,17.88
2006-08-08,17.595
2006-08-09,17.41
2006-08-10,17.81
2006-08-11,17.705
2006-08-14,17.84
2006-08-15,18.205
2006-08-16,18.555
2006-08-17,18.66
2006-08-18,18.67
2006-08-21,18.4
2006-08-22,18.305
2006-08-23,18.06
2006-08-24,17.81
2006-08-25,17.755
2006-08-28,17.93
2006-08-29,18.08
2006-08-30,18.14
2006-08-31,18.17
2006-09-01,18.265
2006-09-05,18.405
2006-09-06,18.17
2006-09-07,18.205
2006-09-08,18.5
2006-09-11,18.695
2006-09-12,19.185
2006-09-13,19.26
2006-09-14,19.275
2006-09-15,19.355
2006-09-18,19.35
2006-09-19,19.485
2006-09-20,19.8
2006-09-21,19.565
2006-09-22,19.53
2006-09-25,19.865
2006-09-26,19.895
2006-09-27,19.82
2006-09-28,19.915
2006-09-29,19.645
2006-10-02,19.7
2006-10-03,19.98
2006-10-04,20.345
2006-10-05,20.325
2006-10-06,20.11
2006-10-09,20.245
2006-10-10,20.225
2006-10-11,20.21
2006-10-12,20.665
2006-10-13,20.69
2006-10-16,20.73
2006-10-17,20.525
2006-10-18,20.53
2006-10-19,20.435
2006-10-20,20.435
2006-10-23,20.8
2006-10-24,20.75
2006-10-25,20.58
2006-10-26,20.945
2006-10-27,20.645
2006-10-30,20.855
2006-10-31,20.695
2006-11-01,20.235
2006-11-02,20.105
2006-11-03,19.925
2006-11-06,20.15
2006-11-07,20.305
2006-11-08,20.43
2006-11-09,20.29
2006-11-10,20.645
2006-11-13,20.515
2006-11-14,20.94
2006-11-15,20.85
2006-11-16,20.84
2006-11-17,20.645
2006-11-20,20.55
2006-11-21,20.655
2006-11-22,20.795
2006-11-24,20.715
2006-11-27,20.315
2006-11-28,20.24
2006-11-29,20.595
2006-11-30,20.39
2006-12-01,20.265
2006-12-04,20.73
2006-12-05,20.79
2006-12-06,20.71
2006-12-07,20.7
2006-12-08,20.645
2006-12-11,20.705
2006-12-12,20.515
2006-12-13,20.595
2006-12-14,20.89
2006-12-15,20.79
2006-12-18,20.465
2006-12-19,20.355
2006-12-20,20.49
2006-12-21,20.345
2006-12-22,20.35
2006-12-26,20.295
2006-12-27,20.525
2006-12-28,20.445
2006-12-29,20.305
2007-01-03,20.36
2007-01-04,20.715
2007-01-05,20.43
2007-01-08,20.46
2007-01-09,20.67
2007-01-10,20.73
2007-01-11,21.105
2007-01-12,21.23
2007-01-16,21.21
2007-01-17,21.1
2007-01-18,21.1
2007-01-19,20.995
2007-01-22,20.82
2007-01-23,20.815
2007-01-24,21.01
2007-01-25,20.685
2007-01-26,20.695
2007-01-29,20.8
2007-01-30,20.775
2007-01-31,20.98
2007-02-01,21.27
2007-02-02,21.305
2007-02-05,21.25
2007-02-06,21.41
2007-02-07,21.48
2007-02-08,21.5
2007-02-09,21.365
2007-02-12,21.31
2007-02-13,21.41
2007-02-14,21.6
2007-02-15,21.705
2007-02-16,21.745
2007-02-20,21.95
2007-02-21,21.92
2007-02-22,21.83
2007-02-23,21.72
2007-02-26,21.595
2007-02-27,20.705
2007-02-28,21
2007-03-01,20.8
2007-03-02,20.525
2007-03-05,20.095
2007-03-06,20.4
2007-03-07,20.46
2007-03-08,20.815
2007-03-09,20.795
2007-03-12,21.055
2007-03-13,20.605
2007-03-14,20.6
2007-03-15,20.79
2007-03-16,20.735
2007-03-19,20.97
2007-03-20,21.14
2007-03-21,21.375
2007-03-22,21.42
2007-03-23,21.7
2007-03-26,21.715
2007-03-27,21.615
2007-03-28,21.455
2007-03-29,21.4
2007-03-30,21.53
2007-04-02,21.7
2007-04-03,21.89
2007-04-04,21.81
2007-04-05,21.895
2007-04-09,22
2007-04-10,21.98
2007-04-11,21.935
2007-04-12,21.965
2007-04-13,21.82
2007-04-16,22.01
2007-04-17,22.01
2007-04-18,21.9
2007-04-19,21.825
2007-04-20,22.18
2007-04-23,22.115
2007-04-24,21.975
2007-04-25,22.045
2007-04-26,22.09
2007-04-27,21.94
2007-04-30,21.545
2007-05-01,21.5
2007-05-02,21.72
2007-05-03,21.5
2007-05-04,21.505
2007-05-07,21.48
2007-05-08,21.355
2007-05-09,21.71
2007-05-10,21.385
2007-05-11,21.345
2007-05-14,21.2
2007-05-15,21.065
2007-05-16,21.11
2007-05-17,21.32
2007-05-18,21.44
2007-05-21,21.6
2007-05-22,21.65
2007-05-23,21.83
2007-05-24,21.63
2007-05-25,21.69
2007-05-29,21.855
2007-05-30,22.185
2007-05-31,22.39
2007-06-01,22.655
2007-06-04,22.655
2007-06-05,22.43
2007-06-06,22.11
2007-06-07,21.7
2007-06-08,21.985
2007-06-11,21.9
2007-06-12,21.59
2007-06-13,21.92
2007-06-14,22
2007-06-15,22.01
2007-06-18,22.16
2007-06-19,22.17
2007-06-20,21.885
2007-06-21,21.93
2007-06-22,21.735
2007-06-25,21.55
2007-06-26,21.39
2007-06-27,21.945
2007-06-28,21.98
2007-06-29,21.65
2007-07-02,21.875
2007-07-03,21.915
2007-07-05,21.995
2007-07-06,22.195
2007-07-09,22.01
2007-07-10,21.46
2007-07-11,21.565
2007-07-12,22.01
2007-07-13,21.99
2007-07-16,21.81
2007-07-17,21.775
2007-07-18,21.645
2007-07-19,21.725
2007-07-20,21.45
