Date,Value
2000-09-01,93.475
2000-09-05,93.475
2000-09-06,93.475
2000-09-07,93.475
2000-09-08,93.475
2000-09-11,93.475
2000-09-12,93.475
2000-09-13,93.475
2000-09-14,93.475
2000-09-15,93.475
2000-09-18,93.475
2000-09-19,93.48
2000-09-20,93.48
2000-09-21,93.485
2000-09-22,93.48
2000-09-25,93.48
2000-09-26,93.48
2000-09-27,93.48
2000-09-28,93.48
2000-09-29,93.48
2000-10-02,93.505
2000-10-03,93.505
2000-10-04,93.505
2000-10-05,93.505
2000-10-06,93.5
2000-10-09,93.505
2000-10-10,93.505
2000-10-11,93.505
2000-10-12,93.5
2000-10-16,93.5
2000-10-17,93.5
2000-10-18,93.5
2000-10-19,93.5
2000-10-20,93.5
2000-10-23,93.5
2000-10-24,93.5
2000-10-25,93.495
2000-10-26,93.495
2000-10-27,93.495
2000-10-30,93.495
2000-11-01,93.49
2000-11-02,93.49
2000-11-03,93.49
2000-11-06,93.49
2000-11-07,93.49
2000-11-08,93.485
2000-11-09,93.485
2000-11-13,93.485
2000-11-14,93.485
2000-11-15,93.485
2000-11-16,93.485
2000-11-17,93.48
2000-11-20,93.48
2000-11-21,93.48
2000-11-22,93.48
2000-11-24,93.48
2000-11-27,93.48
2000-11-28,93.48
2000-11-30,93.485
2000-12-01,93.53
2000-12-04,93.53
2000-12-05,93.53
2000-12-06,93.53
2000-12-07,93.54
2000-12-08,93.54
2000-12-11,93.54
2000-12-12,93.53
2000-12-13,93.53
2000-12-14,93.53
2000-12-15,93.54
2000-12-18,93.545
2000-12-19,93.53
2000-12-20,93.52
2000-12-21,93.53
2000-12-22,93.53
2000-12-26,93.5
2000-12-28,93.48
2000-12-29,93.5
2001-01-02,93.55
2001-01-03,93.635
2001-01-04,93.99
2001-01-05,94.03
2001-01-08,94.05
2001-01-09,94.05
2001-01-10,94.055
2001-01-11,94.045
2001-01-12,94.05
2001-01-16,94.05
2001-01-17,94.03
2001-01-18,94.03
2001-01-19,94.06
2001-01-22,94.015
2001-01-23,94.04
2001-01-24,94.015
2001-01-25,94.03
2001-01-26,94.025
2001-01-29,94.02
2001-01-30,94.02
2001-02-01,94.54
2001-02-02,94.53
2001-02-05,94.53
2001-02-06,94.52
2001-02-07,94.525
2001-02-08,94.52
2001-02-09,94.53
2001-02-12,94.53
2001-02-13,94.525
2001-02-14,94.52
2001-02-15,94.52
2001-02-16,94.52
2001-02-20,94.515
2001-02-21,94.51
2001-02-22,94.515
2001-02-23,94.52
2001-02-26,94.52
2001-02-27,94.52
2001-02-28,94.515
2001-03-01,94.735
2001-03-02,94.71
2001-03-06,94.705
2001-03-07,94.695
2001-03-08,94.695
2001-03-09,94.7
2001-03-12,94.7
2001-03-13,94.71
2001-03-14,94.74
2001-03-15,94.74
2001-03-16,94.745
2001-03-19,94.735
2001-03-20,94.715
2001-03-21,94.715
2001-03-22,94.715
2001-03-23,94.71
2001-03-26,94.71
2001-03-27,94.7
2001-03-28,94.7
2001-03-29,94.695
2001-04-02,95.075
2001-04-04,95.14
2001-04-05,95.1
2001-04-06,95.09
2001-04-09,95.1
2001-04-10,95.035
2001-04-11,95.025
2001-04-12,95.005
2001-04-16,95.025
2001-04-17,95.015
2001-04-18,95.175
2001-04-19,95.185
2001-04-20,95.19
2001-04-23,95.19
2001-04-24,95.205
2001-04-25,95.215
2001-04-26,95.215
2001-04-27,95.21
2001-04-30,95.2
2001-05-01,95.66
2001-05-02,95.69
2001-05-03,95.695
2001-05-04,95.75
2001-05-07,95.745
2001-05-08,95.755
2001-05-09,95.76
2001-05-10,95.76
2001-05-11,95.73
2001-05-14,95.74
2001-05-15,95.78
2001-05-16,95.785
2001-05-17,95.78
2001-05-18,95.785
2001-05-21,95.785
2001-05-22,95.785
2001-05-23,95.79
2001-05-24,95.79
2001-05-25,95.795
2001-05-29,95.795
2001-05-30,95.79
2001-05-31,95.79
2001-06-01,96.025
2001-06-04,96.02
2001-06-05,96.01
2001-06-06,96.015
2001-06-07,96.015
2001-06-08,96.015
2001-06-11,96.015
2001-06-12,96.025
2001-06-13,96.025
2001-06-14,96.015
2001-06-15,96.02
2001-06-18,96.02
2001-06-19,96.03
2001-06-20,96.035
2001-06-21,96.375
2001-06-22,96.36
2001-06-25,96.38
2001-06-26,96.39
2001-06-27,96.265
2001-06-28,96.26
2001-06-29,96.25
2001-07-02,96.25
2001-07-03,96.245
2001-07-05,96.245
2001-07-06,96.25
2001-07-09,96.25
2001-07-10,96.26
2001-07-11,96.265
2001-07-12,96.27
2001-07-13,96.27
2001-07-16,96.265
2001-07-17,96.27
2001-07-18,96.265
2001-07-19,96.265
2001-07-20,96.265
2001-07-23,96.26
2001-07-24,96.255
2001-07-25,96.25
2001-07-26,96.235
2001-07-27,96.235
2001-07-30,96.23
2001-07-31,96.235
2001-08-01,96.365
2001-08-02,96.355
2001-08-03,96.345
2001-08-06,96.345
2001-08-07,96.345
2001-08-08,96.345
2001-08-09,96.355
2001-08-10,96.36
2001-08-13,96.36
2001-08-14,96.36
2001-08-15,96.365
2001-08-16,96.355
2001-08-17,96.355
2001-08-20,96.365
2001-08-21,96.365
2001-08-22,96.355
2001-08-23,96.355
2001-08-24,96.355
2001-08-27,96.355
2001-08-28,96.355
2001-08-29,96.355
2001-08-30,96.355
2001-08-31,96.35
2001-09-04,96.5
2001-09-05,96.49
2001-09-06,96.485
2001-09-07,96.51
2001-09-10,96.51
2001-09-11,96.52
2001-09-12,96.575
2001-09-14,96.65
2001-09-17,96.695
2001-09-18,96.855
2001-09-19,97.18
2001-09-20,97.195
2001-09-21,97.11
2001-09-24,96.96
2001-09-25,96.89
2001-09-27,96.895
2001-09-28,96.895
2001-10-01,97.43
2001-10-02,97.5
2001-10-03,97.515
2001-10-04,97.54
2001-10-05,97.54
2001-10-09,97.53
2001-10-10,97.525
2001-10-11,97.52
2001-10-12,97.52
2001-10-15,97.52
2001-10-16,97.535
2001-10-17,97.535
2001-10-18,97.535
2001-10-19,97.535
2001-10-22,97.535
2001-10-23,97.53
2001-10-24,97.53
2001-10-25,97.53
2001-10-26,97.525
2001-10-29,97.525
2001-10-30,97.52
2001-10-31,97.52
2001-11-01,97.79
2001-11-02,97.815
2001-11-05,97.835
2001-11-06,97.83
2001-11-07,97.915
2001-11-08,97.915
2001-11-09,97.915
2001-11-13,97.915
2001-11-14,97.91
2001-11-15,97.895
2001-11-16,97.88
2001-11-19,97.875
2001-11-20,97.875
2001-11-21,97.885
2001-11-23,97.895
2001-11-26,97.895
2001-11-27,97.9
2001-11-28,97.905
2001-11-29,97.905
2001-11-30,97.905
2001-12-04,98.155
2001-12-05,98.16
2001-12-06,98.11
2001-12-07,98.135
2001-12-10,98.195
2001-12-11,98.2
2001-12-12,98.195
2001-12-13,98.195
2001-12-14,98.195
2001-12-17,98.175
2001-12-18,98.175
2001-12-19,98.175
2001-12-20,98.175
2001-12-21,98.18
2001-12-24,98.18
2001-12-26,98.16
2001-12-27,98.175
2001-12-28,98.17
2001-12-31,98.17
2002-01-02,98.245
2002-01-03,98.245
2002-01-04,98.255
2002-01-07,98.255
2002-01-08,98.265
2002-01-09,98.275
2002-01-10,98.27
2002-01-11,98.275
2002-01-14,98.275
2002-01-15,98.28
2002-01-16,98.28
2002-01-17,98.285
2002-01-18,98.3
2002-01-22,98.285
2002-01-23,98.285
2002-01-24,98.285
2002-01-25,98.29
2002-01-28,98.28
2002-01-29,98.275
2002-01-30,98.27
2002-01-31,98.27
2002-02-01,98.25
2002-02-04,98.25
2002-02-05,98.25
2002-02-06,98.25
2002-02-07,98.25
2002-02-08,98.25
2002-02-11,98.25
