Date,Value
2022-03-31,97.195
2022-04-01,97.015
2022-04-04,97.04
2022-04-05,96.94
2022-04-06,96.95
2022-04-07,97
2022-04-08,96.9
2022-04-11,96.94
2022-04-12,97.085
2022-04-13,97.14
2022-04-14,97.02
2022-04-18,97
2022-04-19,96.87
2022-04-20,96.88
2022-04-21,96.745
2022-04-22,96.77
2022-04-25,96.945
2022-04-26,97.02
2022-04-27,97
2022-04-28,96.915
2022-04-29,96.84
2022-05-02,96.78
2022-05-03,96.74
2022-05-04,96.81
2022-05-05,96.68
2022-05-06,96.725
2022-05-09,96.82
2022-05-10,96.835
2022-05-11,96.85
2022-05-12,96.95
2022-05-13,96.915
2022-05-16,96.91
2022-05-17,96.745
2022-05-18,96.785
2022-05-19,96.86
2022-05-20,96.945
2022-05-23,96.905
2022-05-24,97.075
2022-05-25,97.08
2022-05-26,97.055
2022-05-27,97.02
2022-05-31,96.945
2022-06-01,96.775
2022-06-02,96.8
2022-06-03,96.755
2022-06-06,96.69
2022-06-07,96.705
2022-06-08,96.655
2022-06-09,96.615
2022-06-10,96.475
2022-06-13,96.26
2022-06-14,96.26
2022-06-15,96.445
2022-06-16,96.455
2022-06-17,96.455
2022-06-21,96.425
2022-06-22,96.78
2022-06-23,96.88
2022-06-24,96.86
2022-06-27,96.76
2022-06-28,96.74
2022-06-29,96.815
2022-06-30,97.015
2022-07-01,97.145
2022-07-05,97.18
2022-07-06,96.98
2022-07-07,96.915
2022-07-08,96.82
2022-07-11,96.935
2022-07-12,96.975
2022-07-13,97.005
2022-07-14,96.96
2022-07-15,96.975
2022-07-18,96.945
2022-07-19,96.845
2022-07-20,96.875
2022-07-21,96.99
2022-07-22,97.15
2022-07-25,97.13
2022-07-26,97.125
2022-07-27,97.18
2022-07-28,97.27
2022-07-29,97.295
2022-08-01,97.325
2022-08-02,97.19
2022-08-03,97.13
2022-08-04,97.245
2022-08-05,97.02
2022-08-08,97.07
2022-08-09,96.98
2022-08-10,97.03
2022-08-11,96.87
2022-08-12,96.77
2022-08-15,96.895
2022-08-16,96.86
2022-08-17,96.745
2022-08-18,96.72
2022-08-19,96.665
2022-08-22,96.535
2022-08-23,96.58
2022-08-24,96.54
2022-08-25,96.6
2022-08-26,96.495
2022-08-29,96.44
2022-08-30,96.425
2022-08-31,96.45
2022-09-01,96.395
2022-09-02,96.465
2022-09-06,96.335
2022-09-07,96.355
2022-09-08,96.325
2022-09-09,96.32
2022-09-12,96.38
2022-09-13,96.195
2022-09-14,96.175
2022-09-15,96.115
2022-09-16,96.14
2022-09-19,96.04
2022-09-20,96.025
2022-09-21,95.965
2022-09-22,95.78
2022-09-23,95.695
2022-09-26,95.575
2022-09-27,95.69
2022-09-28,95.745
2022-09-29,95.695
2022-09-30,95.66
2022-10-03,95.805
2022-10-04,95.905
2022-10-05,95.825
2022-10-06,95.735
2022-10-07,95.635
2022-10-10,95.59
2022-10-11,95.64
2022-10-12,95.71
2022-10-13,95.54
2022-10-14,95.59
2022-10-17,95.595
2022-10-18,95.595
2022-10-19,95.43
2022-10-20,95.445
2022-10-21,95.545
2022-10-24,95.545
2022-10-25,95.62
2022-10-26,95.705
2022-10-27,95.79
2022-10-28,95.66
2022-10-31,95.59
2022-11-01,95.55
2022-11-02,95.5
2022-11-03,95.395
2022-11-04,95.46
2022-11-07,95.445
2022-11-08,95.53
2022-11-09,95.62
2022-11-10,96.03
2022-11-11,96.07
2022-11-14,96.015
2022-11-15,96.125
2022-11-16,96.16
2022-11-17,96.03
2022-11-18,95.955
2022-11-21,95.92
2022-11-22,95.97
2022-11-23,95.985
2022-11-25,95.985
2022-11-28,95.98
2022-11-29,95.98
2022-11-30,96.23
2022-12-01,96.375
2022-12-02,96.38
2022-12-05,96.24
2022-12-06,96.29
2022-12-07,96.415
2022-12-08,96.375
2022-12-09,96.43
2022-12-12,96.355
2022-12-13,96.555
2022-12-14,96.45
2022-12-15,96.445
2022-12-16,96.44
2022-12-19,96.365
2022-12-20,96.305
2022-12-21,96.315
2022-12-22,96.255
2022-12-23,96.195
2022-12-27,96.09
2022-12-28,96.08
2022-12-29,96.07
2022-12-30,95.975
2023-01-03,96.02
2023-01-04,96.135
2023-01-05,96.135
2023-01-06,96.445
2023-01-09,96.54
2023-01-10,96.55
2023-01-11,96.615
2023-01-12,96.725
2023-01-13,96.63
2023-01-17,96.695
2023-01-18,96.86
2023-01-19,96.835
2023-01-20,96.75
2023-01-23,96.66
2023-01-24,96.675
2023-01-25,96.71
2023-01-26,96.655
2023-01-27,96.59
2023-01-30,96.485
2023-01-31,96.58
2023-02-01,96.74
2023-02-02,96.765
2023-02-03,96.53
2023-02-06,96.34
2023-02-07,96.305
2023-02-08,96.33
2023-02-09,96.315
2023-02-10,96.27
2023-02-13,96.25
2023-02-14,96.05
2023-02-15,96.005
2023-02-16,96.05
2023-02-17,96.075
2023-02-21,95.985
2023-02-22,95.975
2023-02-23,95.965
2023-02-24,95.755
2023-02-27,95.74
2023-02-28,95.725
2023-03-01,95.59
2023-03-02,95.55
2023-03-03,95.61
2023-03-06,95.61
2023-03-07,95.52
2023-03-08,95.51
2023-03-09,95.715
2023-03-10,96.155
2023-03-13,97.155
2023-03-14,96.805
2023-03-15,96.965
2023-03-16,96.875
2023-03-17,96.86
2023-03-20,96.785
