Date,Value
2022-06-30,96.93
2022-07-01,97.06
2022-07-05,97.095
2022-07-06,96.895
2022-07-07,96.83
2022-07-08,96.735
2022-07-11,96.85
2022-07-12,96.89
2022-07-13,96.92
2022-07-14,96.875
2022-07-15,96.89
2022-07-18,96.86
2022-07-19,96.76
2022-07-20,96.79
2022-07-21,96.905
2022-07-22,97.065
2022-07-25,97.045
2022-07-26,97.04
2022-07-27,97.095
2022-07-28,97.185
2022-07-29,97.21
2022-08-01,97.24
2022-08-02,97.105
2022-08-03,97.045
2022-08-04,97.16
2022-08-05,96.935
2022-08-08,96.985
2022-08-09,96.895
2022-08-10,96.945
2022-08-11,96.785
2022-08-12,96.685
2022-08-15,96.81
2022-08-16,96.775
2022-08-17,96.66
2022-08-18,96.635
2022-08-19,96.58
2022-08-22,96.45
2022-08-23,96.495
2022-08-24,96.455
2022-08-25,96.515
2022-08-26,96.41
2022-08-29,96.355
2022-08-30,96.34
2022-08-31,96.365
2022-09-01,96.31
2022-09-02,96.38
2022-09-06,96.25
2022-09-07,96.27
2022-09-08,96.24
2022-09-09,96.235
2022-09-12,96.295
2022-09-13,96.11
2022-09-14,96.09
2022-09-15,96.03
2022-09-16,96.055
2022-09-19,95.955
2022-09-20,95.94
2022-09-21,95.88
2022-09-22,95.695
2022-09-23,95.61
2022-09-26,95.49
2022-09-27,95.605
2022-09-28,95.66
2022-09-29,95.61
2022-09-30,95.575
2022-10-03,95.72
2022-10-04,95.82
2022-10-05,95.74
2022-10-06,95.65
2022-10-07,95.55
2022-10-10,95.505
2022-10-11,95.555
2022-10-12,95.625
2022-10-13,95.455
2022-10-14,95.505
2022-10-17,95.51
2022-10-18,95.51
2022-10-19,95.345
2022-10-20,95.36
2022-10-21,95.46
2022-10-24,95.46
2022-10-25,95.535
2022-10-26,95.62
2022-10-27,95.705
2022-10-28,95.575
2022-10-31,95.505
2022-11-01,95.465
2022-11-02,95.415
2022-11-03,95.31
2022-11-04,95.375
2022-11-07,95.36
2022-11-08,95.445
2022-11-09,95.535
2022-11-10,95.945
2022-11-11,95.985
2022-11-14,95.93
2022-11-15,96.04
2022-11-16,96.075
2022-11-17,95.945
2022-11-18,95.87
2022-11-21,95.835
2022-11-22,95.885
2022-11-23,95.9
2022-11-25,95.9
2022-11-28,95.895
2022-11-29,95.895
2022-11-30,96.145
2022-12-01,96.29
2022-12-02,96.295
2022-12-05,96.155
2022-12-06,96.205
2022-12-07,96.33
2022-12-08,96.29
2022-12-09,96.345
2022-12-12,96.27
2022-12-13,96.47
2022-12-14,96.365
2022-12-15,96.36
2022-12-16,96.355
2022-12-19,96.28
2022-12-20,96.22
2022-12-21,96.23
2022-12-22,96.17
2022-12-23,96.11
2022-12-27,96.005
2022-12-28,95.995
2022-12-29,95.985
2022-12-30,95.89
2023-01-03,95.935
2023-01-04,96.05
2023-01-05,96.05
2023-01-06,96.36
2023-01-09,96.455
2023-01-10,96.465
2023-01-11,96.53
2023-01-12,96.64
2023-01-13,96.545
2023-01-17,96.61
2023-01-18,96.775
2023-01-19,96.75
2023-01-20,96.665
2023-01-23,96.575
2023-01-24,96.59
2023-01-25,96.625
2023-01-26,96.57
2023-01-27,96.505
2023-01-30,96.4
2023-01-31,96.495
2023-02-01,96.655
2023-02-02,96.68
2023-02-03,96.445
2023-02-06,96.255
2023-02-07,96.22
2023-02-08,96.245
2023-02-09,96.23
2023-02-10,96.185
2023-02-13,96.165
2023-02-14,95.965
2023-02-15,95.92
2023-02-16,95.965
2023-02-17,95.99
2023-02-21,95.9
2023-02-22,95.89
2023-02-23,95.88
2023-02-24,95.67
2023-02-27,95.655
2023-02-28,95.64
2023-03-01,95.505
2023-03-02,95.465
2023-03-03,95.525
2023-03-06,95.525
2023-03-07,95.435
2023-03-08,95.425
2023-03-09,95.63
2023-03-10,96.07
2023-03-13,97.07
2023-03-14,96.72
2023-03-15,96.88
2023-03-16,96.79
2023-03-17,96.775
2023-03-20,96.7
2023-03-21,96.42
2023-03-22,96.695
2023-03-23,96.825
2023-03-24,96.66
2023-03-27,96.545
2023-03-28,96.495
2023-03-29,96.5
2023-03-30,96.54
2023-03-31,96.61
2023-04-03,96.775
2023-04-04,96.975
2023-04-05,97.07
2023-04-06,96.965
2023-04-10,96.765
2023-04-11,96.715
2023-04-12,96.82
2023-04-13,96.825
2023-04-14,96.675
2023-04-17,96.56
2023-04-18,96.56
2023-04-19,96.56
2023-04-20,96.695
2023-04-21,96.69
2023-04-24,96.745
2023-04-25,97.025
