Date,Value
2021-10-01,98.615
2021-10-04,98.61
2021-10-05,98.595
2021-10-06,98.565
2021-10-07,98.535
2021-10-08,98.505
2021-10-11,98.465
2021-10-12,98.465
2021-10-13,98.465
2021-10-14,98.485
2021-10-15,98.4
2021-10-18,98.33
2021-10-19,98.36
2021-10-20,98.37
2021-10-21,98.28
2021-10-22,98.19
2021-10-25,98.27
2021-10-26,98.265
2021-10-27,98.255
2021-10-28,98.15
2021-10-29,98.135
2021-11-01,98.115
2021-11-02,98.15
2021-11-03,98.11
2021-11-04,98.15
2021-11-05,98.15
2021-11-08,98.09
2021-11-09,98.125
2021-11-10,97.94
2021-11-11,97.87
2021-11-12,97.875
2021-11-15,97.88
2021-11-16,97.875
2021-11-17,97.9
2021-11-18,97.915
2021-11-19,97.925
2021-11-22,97.845
2021-11-23,97.87
2021-11-24,97.825
2021-11-26,98
2021-11-29,98
2021-11-30,97.975
2021-12-01,97.92
2021-12-02,97.92
2021-12-03,97.96
2021-12-06,97.915
2021-12-07,97.87
2021-12-08,97.89
2021-12-09,97.87
2021-12-10,97.9
2021-12-13,98.035
2021-12-14,98.01
2021-12-15,97.975
2021-12-16,98.08
2021-12-17,98.08
2021-12-20,98.115
2021-12-21,98.075
2021-12-22,98.075
2021-12-23,98.05
2021-12-27,98.06
2021-12-28,98.065
2021-12-29,98.055
2021-12-30,98.065
2021-12-31,98.085
2022-01-03,98.015
2022-01-04,98.035
2022-01-05,98
2022-01-06,98
2022-01-07,98
2022-01-10,98
2022-01-11,98.01
2022-01-12,98.005
2022-01-13,98.02
2022-01-14,98
2022-01-18,98
2022-01-19,98.035
2022-01-20,98.005
2022-01-21,98.095
2022-01-24,98.18
2022-01-25,98.13
2022-01-26,98.03
2022-01-27,98
2022-01-28,98.03
2022-01-31,98.05
2022-02-01,98.045
2022-02-02,98.075
2022-02-03,98.035
2022-02-04,98
2022-02-07,98.03
2022-02-08,98
2022-02-09,98
2022-02-10,98
2022-02-11,98.08
2022-02-14,98
2022-02-15,98
2022-02-16,98.04
2022-02-17,98.095
2022-02-18,98.2
2022-02-22,98.095
2022-02-23,98.06
2022-02-24,98.11
2022-02-25,98.055
2022-02-28,98.2
2022-03-01,98.185
2022-03-02,98
2022-03-03,98
2022-03-04,98.2
2022-03-07,98.19
2022-03-08,98.075
2022-03-09,97.99
2022-03-10,97.925
2022-03-11,97.89
2022-03-14,97.76
2022-03-15,97.74
2022-03-16,97.56
2022-03-17,97.585
2022-03-18,97.58
2022-03-21,97.395
2022-03-22,97.395
2022-03-23,97.44
2022-03-24,97.435
2022-03-25,97.245
2022-03-28,97.175
2022-03-29,97.19
2022-03-30,97.22
2022-03-31,97.285
2022-04-01,97.105
2022-04-04,97.13
2022-04-05,97.03
2022-04-06,97.04
2022-04-07,97.09
2022-04-08,96.99
2022-04-11,97.03
2022-04-12,97.175
2022-04-13,97.23
2022-04-14,97.11
2022-04-18,97.09
2022-04-19,96.96
2022-04-20,96.97
2022-04-21,96.835
2022-04-22,96.86
2022-04-25,97.035
2022-04-26,97.11
2022-04-27,97.09
2022-04-28,97.005
2022-04-29,96.93
2022-05-02,96.87
2022-05-03,96.83
2022-05-04,96.9
2022-05-05,96.77
2022-05-06,96.815
2022-05-09,96.91
2022-05-10,96.925
2022-05-11,96.94
2022-05-12,97.04
2022-05-13,97.005
2022-05-16,97
2022-05-17,96.835
2022-05-18,96.875
2022-05-19,96.95
2022-05-20,97.035
2022-05-23,96.995
2022-05-24,97.165
2022-05-25,97.17
2022-05-26,97.145
2022-05-27,97.11
2022-05-31,97.035
2022-06-01,96.865
2022-06-02,96.89
2022-06-03,96.845
2022-06-06,96.78
2022-06-07,96.795
2022-06-08,96.745
2022-06-09,96.705
2022-06-10,96.565
2022-06-13,96.35
2022-06-14,96.35
2022-06-15,96.535
2022-06-16,96.545
2022-06-17,96.545
2022-06-21,96.515
2022-06-22,96.87
2022-06-23,96.97
2022-06-24,96.95
2022-06-27,96.85
2022-06-28,96.83
2022-06-29,96.905
2022-06-30,97.105
2022-07-01,97.235
2022-07-05,97.27
2022-07-06,97.07
2022-07-07,97.005
2022-07-08,96.91
2022-07-11,97.025
2022-07-12,97.065
2022-07-13,97.095
2022-07-14,97.05
2022-07-15,97.065
2022-07-18,97.035
2022-07-19,96.935
2022-07-20,96.965
2022-07-21,97.08
2022-07-22,97.24
2022-07-25,97.22
2022-07-26,97.215
2022-07-27,97.27
2022-07-28,97.36
2022-07-29,97.385
2022-08-01,97.415
2022-08-02,97.28
2022-08-03,97.22
2022-08-04,97.335
2022-08-05,97.11
2022-08-08,97.16
2022-08-09,97.07
2022-08-10,97.12
2022-08-11,96.96
2022-08-12,96.86
2022-08-15,96.985
2022-08-16,96.95
2022-08-17,96.835
2022-08-18,96.81
2022-08-19,96.755
2022-08-22,96.625
2022-08-23,96.67
2022-08-24,96.63
2022-08-25,96.69
2022-08-26,96.585
2022-08-29,96.53
2022-08-30,96.515
2022-08-31,96.54
2022-09-01,96.485
2022-09-02,96.555
2022-09-06,96.425
2022-09-07,96.445
2022-09-08,96.415
2022-09-09,96.41
2022-09-12,96.47
2022-09-13,96.285
2022-09-14,96.265
2022-09-15,96.205
2022-09-16,96.23
2022-09-19,96.13
2022-09-20,96.115
2022-09-21,96.055
2022-09-22,95.87
2022-09-23,95.785
2022-09-26,95.665
2022-09-27,95.78
2022-09-28,95.835
2022-09-29,95.785
2022-09-30,95.75
2022-10-03,95.895
2022-10-04,95.995
2022-10-05,95.915
2022-10-06,95.825
2022-10-07,95.725
2022-10-10,95.68
2022-10-11,95.73
