Date,Value
2022-12-30,95.745
2023-01-03,95.79
2023-01-04,95.905
2023-01-05,95.905
2023-01-06,96.215
2023-01-09,96.31
2023-01-10,96.32
2023-01-11,96.385
2023-01-12,96.495
2023-01-13,96.4
2023-01-17,96.465
2023-01-18,96.63
2023-01-19,96.605
2023-01-20,96.52
2023-01-23,96.43
2023-01-24,96.445
2023-01-25,96.48
2023-01-26,96.425
2023-01-27,96.36
2023-01-30,96.255
2023-01-31,96.35
2023-02-01,96.51
2023-02-02,96.535
2023-02-03,96.3
2023-02-06,96.11
2023-02-07,96.075
2023-02-08,96.1
2023-02-09,96.085
2023-02-10,96.04
2023-02-13,96.02
2023-02-14,95.82
2023-02-15,95.775
2023-02-16,95.82
2023-02-17,95.845
2023-02-21,95.755
2023-02-22,95.745
2023-02-23,95.735
2023-02-24,95.525
2023-02-27,95.51
2023-02-28,95.495
2023-03-01,95.36
2023-03-02,95.32
2023-03-03,95.38
2023-03-06,95.38
2023-03-07,95.29
2023-03-08,95.28
2023-03-09,95.485
2023-03-10,95.925
2023-03-13,96.925
2023-03-14,96.575
2023-03-15,96.735
2023-03-16,96.645
2023-03-17,96.63
2023-03-20,96.555
2023-03-21,96.275
2023-03-22,96.55
2023-03-23,96.68
2023-03-24,96.515
2023-03-27,96.4
2023-03-28,96.35
2023-03-29,96.355
2023-03-30,96.395
2023-03-31,96.465
2023-04-03,96.63
2023-04-04,96.83
2023-04-05,96.925
2023-04-06,96.82
2023-04-10,96.62
2023-04-11,96.57
2023-04-12,96.675
2023-04-13,96.68
2023-04-14,96.53
2023-04-17,96.415
2023-04-18,96.415
2023-04-19,96.415
2023-04-20,96.55
2023-04-21,96.545
2023-04-24,96.6
2023-04-25,96.88
2023-04-26,96.845
2023-04-27,96.655
2023-04-28,96.68
2023-05-01,96.585
2023-05-02,96.78
2023-05-03,96.87
2023-05-04,97.095
2023-05-05,96.815
2023-05-08,96.715
2023-05-09,96.74
2023-05-10,96.9
2023-05-11,96.895
2023-05-12,96.785
2023-05-15,96.78
2023-05-16,96.725
2023-05-17,96.65
2023-05-18,96.565
2023-05-19,96.53
2023-05-22,96.49
2023-05-23,96.49
2023-05-24,96.465
2023-05-25,96.295
2023-05-26,96.18
2023-05-30,96.39
2023-05-31,96.505
2023-06-01,96.53
2023-06-02,96.31
2023-06-05,96.365
2023-06-06,96.28
2023-06-07,96.195
2023-06-08,96.225
2023-06-09,96.115
2023-06-12,96.145
2023-06-13,95.99
2023-06-14,95.995
2023-06-15,96.055
2023-06-16,95.965
2023-06-20,96.07
2023-06-21,96.075
2023-06-22,95.96
2023-06-23,96.01
2023-06-26,96.015
2023-06-27,95.925
