Date,Value
2021-09-02,28543.5098
2021-09-03,29128.1094
2021-09-06,29659.8906
2021-09-07,29916.1406
2021-09-08,30181.2109
2021-09-09,30008.1895
2021-09-10,30381.8398
2021-09-13,30447.3691
2021-09-14,30670.0996
2021-09-15,30511.7109
2021-09-16,30323.3398
2021-09-17,30500.0508
2021-09-21,29839.7109
2021-09-22,29639.4004
2021-09-24,30248.8105
2021-09-27,30240.0605
2021-09-28,30183.9609
2021-09-29,29544.2891
2021-09-30,29452.6602
2021-10-01,28771.0703
2021-10-04,28444.8906
2021-10-05,27822.1191
2021-10-06,27528.8691
2021-10-07,27678.2109
2021-10-08,28048.9395
2021-10-11,28498.1992
2021-10-12,28230.6094
2021-10-13,28140.2793
2021-10-14,28550.9297
2021-10-15,29068.6309
2021-10-18,29025.4609
2021-10-19,29215.5195
2021-10-20,29255.5508
2021-10-21,28708.5801
2021-10-22,28804.8496
2021-10-25,28600.4102
2021-10-26,29106.0098
2021-10-27,29098.2402
2021-10-28,28820.0898
2021-10-29,28892.6895
2021-11-01,29647.0801
2021-11-02,29520.9004
2021-11-04,29794.3691
2021-11-05,29611.5703
2021-11-08,29507.0508
2021-11-09,29285.4609
2021-11-10,29106.7793
2021-11-11,29277.8594
2021-11-12,29609.9707
2021-11-15,29776.8008
2021-11-16,29808.1191
2021-11-17,29688.3301
2021-11-18,29598.6602
2021-11-19,29745.8691
2021-11-22,29774.1094
2021-11-24,29302.6602
2021-11-25,29499.2793
2021-11-26,28751.6191
2021-11-29,28283.9199
2021-11-30,27821.7598
2021-12-01,27935.6191
2021-12-02,27753.3691
2021-12-03,28029.5703
2021-12-06,27927.3691
2021-12-07,28455.5996
2021-12-08,28860.6191
2021-12-09,28725.4707
2021-12-10,28437.7695
2021-12-13,28640.4902
2021-12-14,28432.6406
2021-12-15,28459.7207
2021-12-16,29066.3203
2021-12-17,28545.6797
2021-12-20,27937.8105
2021-12-21,28517.5898
2021-12-22,28562.2109
2021-12-23,28798.3691
2021-12-24,28782.5898
2021-12-27,28676.4609
2021-12-28,29069.1602
2021-12-29,28906.8809
2021-12-30,28791.7109
2022-01-04,29301.7891
2022-01-05,29332.1602
2022-01-06,28487.8691
2022-01-07,28478.5605
2022-01-11,28222.4805
2022-01-12,28765.6602
2022-01-13,28489.1309
2022-01-14,28124.2793
2022-01-17,28333.5195
2022-01-18,28257.25
2022-01-19,27467.2305
2022-01-20,27772.9297
2022-01-21,27522.2598
2022-01-24,27588.3691
2022-01-25,27131.3398
2022-01-26,27011.3301
2022-01-27,26170.3008
2022-01-28,26717.3398
2022-01-31,27001.9805
2022-02-01,27078.4805
2022-02-02,27533.5996
2022-02-03,27241.3105
2022-02-04,27439.9902
2022-02-07,27248.8691
2022-02-08,27284.5195
2022-02-09,27579.8691
2022-02-10,27696.0801
2022-02-14,27079.5898
2022-02-15,26865.1895
2022-02-16,27460.4004
2022-02-17,27232.8691
2022-02-18,27122.0703
2022-02-21,26910.8691
2022-02-22,26449.6094
2022-02-24,25970.8203
2022-02-25,26476.5
2022-02-28,26526.8203
2022-03-01,26844.7207
2022-03-02,26393.0293
2022-03-03,26577.2695
2022-03-04,25985.4707
2022-03-07,25221.4102
2022-03-08,24790.9492
2022-03-09,24717.5293
2022-03-10,25690.4004
2022-03-11,25162.7793
2022-03-14,25307.8496
2022-03-15,25346.4805
2022-03-16,25762.0098
2022-03-17,26652.8906
2022-03-18,26827.4297
2022-03-22,27224.1094
2022-03-23,28040.1602
2022-03-24,28110.3906
2022-03-25,28149.8398
2022-03-28,27943.8906
2022-03-29,28252.4199
2022-03-30,28027.25
2022-03-31,27821.4297
2022-04-01,27665.9805
2022-04-04,27736.4707
2022-04-05,27787.9805
2022-04-06,27350.3008
2022-04-07,26888.5703
2022-04-08,26985.8008
2022-04-11,26821.5195
2022-04-12,26334.9805
2022-04-13,26843.4902
