Date,Value
2016-08-08,1230.420044
2016-08-09,1231.73999
2016-08-10,1223.27002
2016-08-11,1229.119995
2016-08-12,1229.819946
2016-08-15,1241.859985
2016-08-16,1231.130005
2016-08-17,1227.680054
2016-08-18,1236.849976
2016-08-19,1236.77002
2016-08-22,1239.73999
2016-08-23,1248.579956
2016-08-24,1237.25
2016-08-25,1240
2016-08-26,1238.030029
2016-08-29,1244.939941
2016-08-30,1246.030029
2016-08-31,1239.910034
2016-09-01,1239.800049
2016-09-02,1251.829956
2016-09-06,1253.369995
2016-09-07,1261.01001
2016-09-08,1258.359985
2016-09-09,1219.209961
2016-09-12,1235.869995
2016-09-13,1212.319946
2016-09-14,1211.589966
2016-09-15,1227.02002
2016-09-16,1224.780029
2016-09-19,1232.530029
2016-09-20,1228.329956
2016-09-21,1245.040039
2016-09-22,1263.439941
2016-09-23,1254.619995
2016-09-26,1240.939941
2016-09-27,1246.380005
2016-09-28,1255.670044
2016-09-29,1237.75
2016-09-30,1251.650024
2016-10-03,1245.780029
2016-10-04,1239.780029
2016-10-05,1248.369995
2016-10-06,1246.23999
2016-10-07,1236.560059
2016-10-10,1250.76001
2016-10-11,1227.619995
2016-10-12,1227.22998
2016-10-13,1215.75
2016-10-14,1212.410034
2016-10-17,1210.140015
2016-10-18,1217.300049
2016-10-19,1222.640015
2016-10-20,1219.790039
2016-10-21,1218.099976
2016-10-24,1226.449951
2016-10-25,1216.099976
2016-10-26,1204.75
2016-10-27,1189.949951
2016-10-28,1187.609985
2016-10-31,1191.390015
2016-11-01,1177.939941
2016-11-02,1162.52002
2016-11-03,1156.890015
2016-11-04,1163.439941
2016-11-07,1192.25
2016-11-08,1195.140015
2016-11-09,1232.160034
2016-11-10,1251.609985
2016-11-11,1282.380005
2016-11-14,1298.599976
2016-11-15,1302.140015
2016-11-16,1302.199951
2016-11-17,1309.47998
2016-11-18,1315.640015
2016-11-21,1322.22998
2016-11-22,1334.339966
2016-11-23,1342.089966
2016-11-25,1347.199951
2016-11-28,1329.829956
2016-11-29,1328.219971
2016-11-30,1322.339966
2016-12-01,1313.800049
2016-12-02,1314.25
2016-12-05,1337.790039
2016-12-06,1352.670044
2016-12-07,1364.51001
2016-12-08,1386.369995
2016-12-09,1388.069946
2016-12-12,1373.140015
2016-12-13,1373.530029
2016-12-14,1356.02002
2016-12-15,1366.410034
2016-12-16,1364.189941
2016-12-19,1371.680054
2016-12-20,1383.959961
2016-12-21,1375.189941
2016-12-22,1362.660034
2016-12-23,1371.51001
2016-12-27,1377.709961
2016-12-28,1360.829956
2016-12-29,1363.180054
2016-12-30,1357.130005
2017-01-03,1365.48999
2017-01-04,1387.949951
2017-01-05,1371.939941
2017-01-06,1367.280029
2017-01-09,1357.48999
2017-01-10,1370.900024
2017-01-11,1373.300049
2017-01-12,1361.069946
2017-01-13,1372.050049
2017-01-17,1352.319946
2017-01-18,1358.560059
2017-01-19,1345.73999
2017-01-20,1351.849976
2017-01-23,1347.839966
2017-01-24,1369.209961
2017-01-25,1382.439941
2017-01-26,1375.599976
2017-01-27,1370.699951
2017-01-30,1352.329956
2017-01-31,1361.819946
2017-02-01,1361.22998
2017-02-02,1357.430054
2017-02-03,1377.839966
2017-02-06,1366.660034
2017-02-07,1361.060059
2017-02-08,1358.73999
2017-02-09,1378.530029
2017-02-10,1388.839966
2017-02-13,1392.380005
2017-02-14,1396.650024
2017-02-15,1404.209961
2017-02-16,1399.130005
2017-02-17,1399.859985
2017-02-21,1410.339966
2017-02-22,1403.859985
2017-02-23,1394.619995
2017-02-24,1394.52002
2017-02-27,1407.969971
2017-02-28,1386.680054
2017-03-01,1413.640015
2017-03-02,1395.670044
2017-03-03,1394.130005
2017-03-06,1384.25
2017-03-07,1374.880005
2017-03-08,1366.040039
2017-03-09,1360.119995
2017-03-10,1365.26001
2017-03-13,1370.280029
2017-03-14,1362.380005
