Date,Value
2021-09-02,474.6
2021-09-03,471.93
2021-09-06,475.19
2021-09-07,472.87
2021-09-08,467.87
2021-09-09,467.57
2021-09-10,466.34
2021-09-13,467.69
2021-09-14,467.65
2021-09-15,463.91
2021-09-16,465.95
2021-09-17,461.84
2021-09-20,454.12
2021-09-21,458.68
2021-09-22,463.2
2021-09-23,467.5
2021-09-24,463.29
2021-09-27,462.42
2021-09-28,452.35
2021-09-29,455.03
2021-09-30,454.81
2021-10-01,452.9
2021-10-04,450.77
2021-10-05,456.03
2021-10-06,451.33
2021-10-07,458.57
2021-10-08,457.29
2021-10-11,457.53
2021-10-12,457.21
2021-10-13,460.39
2021-10-14,465.92
2021-10-15,469.39
2021-10-18,467.04
2021-10-19,468.58
2021-10-20,470.07
2021-10-21,469.71
2021-10-22,471.88
2021-10-25,472.21
2021-10-26,475.74
2021-10-27,474.04
2021-10-28,475.16
2021-10-29,475.51
2021-11-01,478.87
2021-11-02,479.53
2021-11-03,481.22
2021-11-04,483.21
2021-11-05,483.44
2021-11-08,483.61
2021-11-09,482.71
2021-11-10,483.76
2021-11-11,485.29
2021-11-12,486.75
2021-11-15,488.43
2021-11-16,489.27
2021-11-17,489.95
2021-11-18,487.7
2021-11-19,486.08
2021-11-22,485.46
2021-11-23,479.25
2021-11-24,479.69
2021-11-25,481.72
2021-11-26,464.05
2021-11-29,467.24
2021-11-30,462.96
2021-12-01,470.86
2021-12-02,465.44
2021-12-03,462.77
2021-12-06,468.71
2021-12-07,480.18
2021-12-08,477.36
2021-12-09,476.99
2021-12-10,475.56
2021-12-13,473.53
2021-12-14,469.56
2021-12-15,470.76
2021-12-16,476.56
2021-12-17,473.9
2021-12-20,467.35
2021-12-21,473.99
2021-12-22,478.36
2021-12-23,483.01
2021-12-27,485.49
2021-12-28,488.5
2021-12-29,487.98
2021-12-30,488.71
2022-01-03,489.99
2022-01-04,494.02
2022-01-05,494.35
2022-01-06,488.16
2022-01-07,486.25
2022-01-10,479.04
2022-01-11,483.08
2022-01-12,486.2
2022-01-13,486.05
2022-01-14,481.16
2022-01-17,484.51
2022-01-18,479.79
2022-01-19,480.9
2022-01-20,483.35
2022-01-21,474.44
2022-01-24,456.36
2022-01-25,459.59
2022-01-26,467.31
2022-01-27,470.33
2022-01-28,465.55
2022-01-31,468.88
