Date,Value
2016-08-08,11.5
2016-08-09,11.66
2016-08-10,12.05
2016-08-11,11.68
2016-08-12,11.55
2016-08-15,11.81
2016-08-16,12.64
2016-08-17,12.19
2016-08-18,11.43
2016-08-19,11.34
2016-08-22,12.27
2016-08-23,12.38
2016-08-24,13.45
2016-08-25,13.63
2016-08-26,13.65
2016-08-29,12.94
2016-08-30,13.12
2016-08-31,13.42
2016-09-01,13.48
2016-09-02,11.98
2016-09-06,12.02
2016-09-07,11.94
2016-09-08,12.51
2016-09-09,17.5
2016-09-12,15.16
2016-09-13,17.85
2016-09-14,18.139999
2016-09-15,16.299999
2016-09-16,15.37
2016-09-19,15.53
2016-09-20,15.92
2016-09-21,13.3
2016-09-22,12.02
2016-09-23,12.29
2016-09-26,14.5
2016-09-27,13.1
2016-09-28,12.39
2016-09-29,14.02
2016-09-30,13.29
2016-10-03,13.57
2016-10-04,13.63
2016-10-05,12.99
2016-10-06,12.84
2016-10-07,13.48
2016-10-10,13.38
2016-10-11,15.36
2016-10-12,15.91
2016-10-13,16.690001
2016-10-14,16.120001
2016-10-17,16.209999
2016-10-18,15.28
2016-10-19,14.41
2016-10-20,13.75
2016-10-21,13.34
2016-10-24,13.02
2016-10-25,13.46
2016-10-26,14.24
2016-10-27,15.36
2016-10-28,16.190001
2016-10-31,17.059999
2016-11-01,18.559999
2016-11-02,19.32
2016-11-03,22.08
2016-11-04,22.51
2016-11-07,18.709999
2016-11-08,18.74
2016-11-09,14.38
2016-11-10,14.74
2016-11-11,14.17
2016-11-14,14.48
2016-11-15,13.37
2016-11-16,13.72
2016-11-17,13.35
2016-11-18,12.85
2016-11-21,12.42
2016-11-22,12.41
2016-11-23,12.43
2016-11-25,12.34
2016-11-28,13.15
2016-11-29,12.9
2016-11-30,13.33
2016-12-01,14.07
2016-12-02,14.12
2016-12-05,12.14
2016-12-06,11.79
2016-12-07,12.22
2016-12-08,12.64
2016-12-09,11.75
2016-12-12,12.64
2016-12-13,12.72
2016-12-14,13.19
2016-12-15,12.79
2016-12-16,12.2
2016-12-19,11.71
2016-12-20,11.45
2016-12-21,11.27
