signal,hold,regime,ann_spread,t_stat,win_rate,rank_ic,top3_cagr,ew_cagr,n_months
valuation,1M,all,-0.48,-0.19,48.6,0.001,8.24,8.53,251
eps_revision,1M,all,1.85,0.71,50.6,0.013,9.46,8.47,251
momentum,1M,all,-0.03,-0.01,51.0,-0.008,8.23,8.47,251
val+eps,1M,all,1.0,0.46,50.6,0.007,10.03,8.53,251
val+eps+mom,1M,all,1.42,0.62,50.2,0.012,10.04,8.53,251
all_equal,1M,all,2.9,1.16,51.0,0.007,11.47,8.53,251
valuation,1M,rising,-1.21,-0.38,48.5,-0.001,9.72,10.45,130
valuation,1M,falling,0.31,0.08,48.8,0.004,6.67,6.49,121
val+eps,1M,rising,2.43,0.84,54.6,0.029,13.72,10.45,130
val+eps,1M,falling,-0.54,-0.17,46.3,-0.016,6.2,6.49,121
eps_revision,1M,rising,5.28,1.4,55.4,0.062,13.44,10.36,130
eps_revision,1M,falling,-1.84,-0.51,45.5,-0.039,5.34,6.49,121
valuation,3M,all,1.03,0.55,54.6,0.02,30.91,28.22,251
eps_revision,3M,all,0.68,0.37,48.2,0.009,27.94,28.01,251
val+eps,3M,all,1.89,1.09,53.8,0.017,33.04,28.22,251
val+eps+mom,3M,all,2.81,1.54,55.8,0.027,32.7,28.22,251
