date,forward_pe
2003-06-09,17.484564
2003-06-10,17.6595
2003-06-11,17.894549
2003-06-12,17.899067
2003-06-13,17.712297
2003-06-16,18.109017
2003-06-17,18.140996
2003-06-18,18.108814
2003-06-19,17.846339
2003-06-20,17.876046
2003-06-23,17.639147
2003-06-24,17.685799
2003-06-25,17.530733
2003-06-26,17.714383
2003-06-27,17.544429
2003-06-30,17.505256
2003-07-01,17.640346
2003-07-02,17.848678
2003-07-03,17.710824
2003-07-07,18.06161
2003-07-08,18.426206
2003-07-09,18.327459
2003-07-10,18.072507
2003-07-11,18.232514
2003-07-14,18.318618
2003-07-15,18.139634
2003-07-16,18.004068
2003-07-17,17.680021
2003-07-18,17.866273
2003-07-21,17.577747
2003-07-22,17.71735
2003-07-23,17.630165
2003-07-24,17.449654
2003-07-25,17.681964
2003-07-28,17.630761
2003-07-29,17.47977
2003-07-30,17.457203
2003-07-31,17.497806
2003-08-01,17.313057
2003-08-04,17.348555
2003-08-05,17.033397
2003-08-06,17.062754
2003-08-07,17.190839
2003-08-08,17.263083
2003-08-11,17.317519
2003-08-12,17.470866
2003-08-13,17.396279
2003-08-14,17.492697
2003-08-15,17.493752
2003-08-18,17.64451
2003-08-19,17.67197
2003-08-20,17.617733
2003-08-21,17.666692
2003-08-22,17.463719
2003-08-25,17.469445
2003-08-26,17.517107
2003-08-27,17.520196
2003-08-28,17.62789
2003-08-29,17.708726
2003-09-02,17.948454
2003-09-03,18.024775
2003-09-04,18.039692
2003-09-05,17.907735
2003-09-08,18.094207
2003-09-09,17.932419
2003-09-10,17.724665
2003-09-11,17.777411
2003-09-12,17.808997
2003-09-15,17.787448
2003-09-16,18.033387
2003-09-17,17.984816
2003-09-18,18.209983
2003-09-19,18.157453
2003-09-22,17.912552
2003-09-23,18.026615
2003-09-24,17.675213
2003-09-25,17.55227
2003-09-26,17.445957
2003-09-29,17.619717
2003-09-30,17.434605
2003-10-01,17.796223
2003-10-02,17.852307
2003-10-03,18.017052
2003-10-06,18.110348
2003-10-07,18.199364
