date,forward_pe
2003-06-12,29.654537
2003-06-13,28.981124
2003-06-16,29.70582
2003-06-17,29.993736
2003-06-18,30.269654
2003-06-19,29.99059
2003-06-20,29.854554
2003-06-23,29.154316
2003-06-24,28.995542
2003-06-25,28.794712
2003-06-26,29.171085
2003-06-27,29.134462
2003-06-30,29.111614
2003-07-01,29.554922
2003-07-02,30.316514
2003-07-03,29.873172
2003-07-07,31.123716
2003-07-08,31.426589
2003-07-09,31.477992
2003-07-10,30.675234
2003-07-11,30.977953
2003-07-14,31.34966
2003-07-15,30.969965
2003-07-16,30.523726
2003-07-17,29.032961
2003-07-18,29.085239
2003-07-21,28.342446
2003-07-22,28.888359
2003-07-23,28.721629
2003-07-24,28.390064
2003-07-25,28.94655
2003-07-28,28.847899
2003-07-29,28.700649
2003-07-30,28.444768
2003-07-31,28.767962
2003-08-01,28.667171
2003-08-04,28.736185
2003-08-05,27.922974
2003-08-06,27.65791
2003-08-07,27.627309
2003-08-08,27.496308
2003-08-11,27.77318
2003-08-12,28.086928
2003-08-13,28.131015
2003-08-14,28.363349
2003-08-15,28.355431
2003-08-18,29.006514
2003-08-19,29.33375
2003-08-20,29.176912
2003-08-21,29.393297
2003-08-22,29.102433
2003-08-25,28.991972
2003-08-26,29.177959
2003-08-27,29.361735
2003-08-28,29.548037
2003-08-29,29.701801
2003-09-02,30.292799
2003-09-03,30.640503
2003-09-04,30.918999
2003-09-05,30.633989
2003-09-08,31.280775
2003-09-09,30.939822
2003-09-10,29.852865
2003-09-11,30.159197
2003-09-12,30.271125
2003-09-15,30.050325
2003-09-16,30.893533
2003-09-17,30.707168
2003-09-18,31.266847
2003-09-19,31.316772
2003-09-22,30.639099
2003-09-23,30.990035
2003-09-24,29.785846
2003-09-25,29.414932
2003-09-26,29.172486
2003-09-29,29.7997
2003-09-30,29.195717
2003-10-01,29.883464
2003-10-02,29.902659
2003-10-03,30.72025
2003-10-06,31.172904
2003-10-07,31.45519
2003-10-08,31.317254
2003-10-09,31.519144
2003-10-10,31.66431
2003-10-13,31.445502
2003-10-14,31.102278
2003-10-15,30.815671
2003-10-16,30.541374
2003-10-17,30.024856
2003-10-20,30.212084
2003-10-21,30.243656
2003-10-22,29.362332
2003-10-23,28.852321
2003-10-24,28.248669
2003-10-27,28.46554
2003-10-28,29.358849
2003-10-29,29.332926
2003-10-30,29.487532
2003-10-31,29.488749
2003-11-03,30.165602
2003-11-04,29.930591
2003-11-05,29.855796
2003-11-06,30.051781
2003-11-07,29.891392
2003-11-10,29.507029
2003-11-11,29.455385
2003-11-12,30.008114
2003-11-13,29.764936
2003-11-14,29.148596
2003-11-17,28.694662
2003-11-18,28.226967
2003-11-19,28.461578
2003-11-20,28.052469
2003-11-21,28.210205
2003-11-24,29.023086
2003-11-25,28.859268
2003-11-26,29.057931
2003-11-28,29.204502
2003-12-01,29.523865
2003-12-02,29.293817
2003-12-03,29.143016
2003-12-04,29.361983
2003-12-05,28.680365
2003-12-08,28.775378
2003-12-09,28.04633
2003-12-10,28.238354
2003-12-11,28.670055
2003-12-12,28.733321
2003-12-15,28.346032
2003-12-16,28.439756
2003-12-17,28.294081
2003-12-18,28.840624
2003-12-19,28.667465
2003-12-22,28.815408
2003-12-23,28.988327
2003-12-24,28.919262
2003-12-26,28.971098
2003-12-29,29.462758
2003-12-30,29.372019
2003-12-31,29.357201
2004-01-02,29.391726
2004-01-05,30.155116
2004-01-06,30.310407
2004-01-07,30.571102
2004-01-08,31.161827
2004-01-09,30.872855
2004-01-12,31.36597
2004-01-13,30.924167
2004-01-14,30.701991
2004-01-15,30.595636
2004-01-16,30.989383
2004-01-20,30.88444
2004-01-21,30.363836
2004-01-22,29.626642
2004-01-23,29.293053
2004-01-26,29.736633
2004-01-27,28.980945
2004-01-28,28.454596
2004-01-29,28.289884
2004-01-30,28.255097
2004-02-02,28.170454
2004-02-03,28.183115
2004-02-04,27.331377
2004-02-05,27.288496
2004-02-06,27.970803
2004-02-09,27.828654
2004-02-10,27.949431
2004-02-11,28.164133
2004-02-12,27.857116
2004-02-13,27.562833
2004-02-17,27.875452
2004-02-18,27.708331
2004-02-19,27.055793
2004-02-20,26.873255
2004-02-23,26.387625
2004-02-24,26.419578
2004-02-25,26.640122
2004-02-26,26.727473
2004-02-27,26.64495
2004-03-01,26.930609
2004-03-02,26.719344
2004-03-03,26.567014
2004-03-04,26.790675
2004-03-05,26.651651
2004-03-08,26.016889
2004-03-09,25.823506
2004-03-10,25.461017
2004-03-11,25.126389
2004-03-12,25.590411
2004-03-15,25.063466
2004-03-16,25.207806
2004-03-17,25.575519
2004-03-18,25.2928
2004-03-19,24.859255
2004-03-22,24.548449
2004-03-23,24.472355
2004-03-24,24.691105
2004-03-25,25.530776
2004-03-26,25.393312
2004-03-29,25.798254
2004-03-30,25.789324
2004-03-31,25.586253
2004-04-01,25.85915
2004-04-02,26.534672
2004-04-05,26.877746
2004-04-06,26.510775
2004-04-07,26.303176
2004-04-08,26.285324
2004-04-12,26.346118
2004-04-13,25.853309
2004-04-14,25.739658
2004-04-15,25.039499
2004-04-16,24.743877
2004-04-19,24.990988
2004-04-20,24.321018
2004-04-21,24.340814
2004-04-22,24.392352
2004-04-23,24.627562
2004-04-26,24.277935
2004-04-27,24.040585
2004-04-28,23.600397
2004-04-29,23.132024
2004-04-30,22.65313
2004-05-03,22.787799
2004-05-04,23.006093
2004-05-05,23.055112
2004-05-06,22.935726
2004-05-07,22.946542
2004-05-10,22.883859
2004-05-11,23.192398
2004-05-12,23.006064
2004-05-13,23.079392
2004-05-14,22.66814
2004-05-17,22.340855
2004-05-18,22.465949
2004-05-19,22.486756
2004-05-20,22.465202
2004-05-21,22.596337
2004-05-24,22.641192
2004-05-25,23.102987
2004-05-26,23.222083
2004-05-27,23.324324
2004-05-28,23.389493
2004-06-01,23.212163
2004-06-02,23.170467
2004-06-03,22.836693
2004-06-04,23.085871
2004-06-07,23.684031
2004-06-08,23.802979
2004-06-09,23.450494
2004-06-10,23.611922
2004-06-14,23.243695
2004-06-15,23.508071
2004-06-16,23.380336
2004-06-17,23.151411
2004-06-18,23.169176
2004-06-21,23.039695
2004-06-22,23.357029
2004-06-23,23.678722
2004-06-24,23.532335
2004-06-25,23.635931
2004-06-28,23.388823
2004-06-29,23.646398
2004-06-30,23.747856
2004-07-01,23.284725
2004-07-02,23.02422
2004-07-06,22.416413
2004-07-07,22.545661
2004-07-08,22.192507
2004-07-09,22.383625
2004-07-12,22.267162
2004-07-13,22.07488
2004-07-14,21.806118
2004-07-15,21.640576
2004-07-16,21.265613
2004-07-19,21.335922
2004-07-20,21.586917
2004-07-21,21.110241
2004-07-22,21.238016
2004-07-23,21.002078
2004-07-26,21.010856
2004-07-27,21.149725
2004-07-28,21.09521
2004-07-29,21.393596
2004-07-30,21.497708
2004-08-02,21.614144
2004-08-03,21.121431
2004-08-04,21.159039
2004-08-05,20.816726
2004-08-06,19.912771
2004-08-09,19.897753
2004-08-10,20.535346
2004-08-11,19.928836
2004-08-12,19.369785
2004-08-13,19.586517
2004-08-16,19.770961
2004-08-17,19.914772
2004-08-18,20.395486
2004-08-19,20.283378
2004-08-20,20.373135
2004-08-23,20.47359
2004-08-24,20.347208
2004-08-25,20.632633
2004-08-26,20.523504
2004-08-27,20.663528
2004-08-30,20.37848
2004-08-31,20.314998
2004-09-01,20.421394
2004-09-02,20.728517
2004-09-03,20.435808
2004-09-07,20.549972
2004-09-08,20.54259
2004-09-09,21.013922
2004-09-10,21.442305
2004-09-13,21.590553
2004-09-14,21.668822
2004-09-15,21.376117
2004-09-16,21.390718
2004-09-17,21.490643
2004-09-20,21.589219
2004-09-21,21.730869
2004-09-22,21.33981
2004-09-23,21.404203
2004-09-24,21.200182
2004-09-27,21.00531
2004-09-28,20.998686
2004-09-29,21.313049
2004-09-30,21.425439
2004-10-01,22.138369
2004-10-04,22.26884
2004-10-05,22.38261
2004-10-06,22.567092
2004-10-07,22.333248
2004-10-08,21.914928
2004-10-11,22.019826
2004-10-12,21.844777
2004-10-13,22.026218
2004-10-14,21.778707
2004-10-15,21.842522
2004-10-18,22.023506
2004-10-19,21.992101
2004-10-20,22.089895
2004-10-21,22.259721
2004-10-22,21.784314
2004-10-25,21.787852
2004-10-26,21.845771
2004-10-27,22.318749
2004-10-28,22.377737
2004-10-29,22.393001
2004-11-01,22.496967
2004-11-02,22.624459
2004-11-03,22.663479
2004-11-04,22.917591
2004-11-05,23.13517
2004-11-08,23.160507
2004-11-09,23.094684
2004-11-10,22.832162
2004-11-11,23.143907
2004-11-12,23.419058
2004-11-15,23.092746
2004-11-16,22.830205
2004-11-17,23.188432
2004-11-18,23.418636
2004-11-19,22.990338
2004-11-22,23.094273
2004-11-23,22.970543
2004-11-24,23.176623
2004-11-26,23.090982
2004-11-29,23.13582
2004-11-30,22.971178
2004-12-01,23.785744
2004-12-02,23.706301
2004-12-03,23.782774
2004-12-06,23.951358
2004-12-07,23.57362
2004-12-08,23.558571
2004-12-09,23.505159
2004-12-10,23.377415
2004-12-13,23.529931
2004-12-14,23.606426
2004-12-15,23.613831
2004-12-16,23.4659
2004-12-17,23.261563
2004-12-20,23.176817
2004-12-21,23.440539
2004-12-22,23.504958
2004-12-23,23.516503
2004-12-27,23.398368
2004-12-28,23.500617
2004-12-29,23.483825
2004-12-30,23.5015
2004-12-31,23.498402
2005-01-03,23.019646
2005-01-04,22.572179
2005-01-05,22.477272
2005-01-06,22.423643
2005-01-07,22.471218
2005-01-10,22.487934
2005-01-11,22.183383
2005-01-12,22.26188
2005-01-13,21.964757
2005-01-14,22.095029
2005-01-18,22.147657
2005-01-19,21.575619
