date,forward_pe
2003-06-12,18.314152
2003-06-13,18.114714
2003-06-16,18.494703
2003-06-17,18.468313
2003-06-18,18.380083
2003-06-19,18.121117
2003-06-20,18.183297
2003-06-23,17.966877
2003-06-24,17.980211
2003-06-25,17.757913
2003-06-26,17.833766
2003-06-27,17.65157
2003-06-30,17.692539
2003-07-01,17.740061
2003-07-02,17.874658
2003-07-03,17.755429
2003-07-07,18.067834
2003-07-08,18.109637
2003-07-09,17.956111
2003-07-10,17.789593
2003-07-11,17.82463
2003-07-14,17.862497
2003-07-15,17.729947
2003-07-16,17.887115
2003-07-17,17.692837
2003-07-18,17.981207
2003-07-21,17.741769
2003-07-22,17.850339
2003-07-23,17.608969
2003-07-24,17.489895
2003-07-25,17.871995
2003-07-28,17.85451
2003-07-29,17.597516
2003-07-30,17.62527
2003-07-31,17.785789
2003-08-01,17.718296
2003-08-04,17.729793
2003-08-05,17.404887
2003-08-06,17.353749
2003-08-07,17.488187
2003-08-08,17.570375
2003-08-11,17.666756
2003-08-12,17.822897
2003-08-13,17.774313
2003-08-14,17.971563
2003-08-15,18.034068
2003-08-18,18.399498
2003-08-19,18.514348
2003-08-20,18.370653
2003-08-21,18.601209
2003-08-22,18.437589
2003-08-25,18.342893
2003-08-26,18.379234
2003-08-27,18.364343
2003-08-28,18.454846
2003-08-29,18.525493
2003-09-02,18.77904
2003-09-03,18.923749
2003-09-04,18.951762
2003-09-05,18.772408
2003-09-08,18.900303
2003-09-09,18.692445
2003-09-10,18.487734
2003-09-11,18.627432
2003-09-12,18.650737
2003-09-15,18.618098
2003-09-16,18.929536
2003-09-17,18.815923
2003-09-18,19.031147
2003-09-19,18.971305
2003-09-22,18.710785
2003-09-23,18.750914
2003-09-24,18.383623
2003-09-25,18.193801
2003-09-26,18.073278
2003-09-29,18.262544
2003-09-30,18.051804
2003-10-01,18.445176
2003-10-02,18.487444
2003-10-03,18.662161
2003-10-06,18.697336
2003-10-07,18.733294
2003-10-08,18.62898
2003-10-09,18.745594
2003-10-10,18.479401
2003-10-13,18.595617
2003-10-14,18.730207
2003-10-15,18.654521
2003-10-16,18.601572
2003-10-17,18.453471
2003-10-20,18.525828
2003-10-21,18.455478
2003-10-22,18.221678
2003-10-23,18.20441
2003-10-24,18.213538
2003-10-27,18.259069
2003-10-28,18.439717
2003-10-29,18.512851
2003-10-30,18.643121
2003-10-31,18.685147
2003-11-03,18.733558
2003-11-04,18.673631
2003-11-05,18.638339
2003-11-06,18.737196
2003-11-07,18.64425
2003-11-10,18.558712
2003-11-11,18.506275
2003-11-12,18.801065
2003-11-13,18.770634
2003-11-14,18.581105
2003-11-17,18.48793
2003-11-18,18.465563
2003-11-19,18.836165
2003-11-20,18.750382
2003-11-21,18.665811
2003-11-24,18.919302
2003-11-25,18.984029
2003-11-26,19.013566
2003-11-28,19.010652
2003-12-01,19.263051
2003-12-02,19.252324
2003-12-03,19.292873
2003-12-04,19.306074
2003-12-05,19.181095
2003-12-08,19.340343
2003-12-09,19.353255
2003-12-10,19.329298
2003-12-11,19.62439
2003-12-12,19.62382
2003-12-15,19.62573
2003-12-16,19.789927
2003-12-17,19.869826
2003-12-18,20.070467
2003-12-19,20.11363
2003-12-22,20.252346
2003-12-23,20.282541
2003-12-24,20.175624
2003-12-26,20.163127
2003-12-29,20.329796
2003-12-30,20.254947
2003-12-31,20.330485
2004-01-02,20.272794
2004-01-05,20.51082
2004-01-06,20.441047
2004-01-07,20.454798
2004-01-08,20.585097
2004-01-09,20.369848
2004-01-12,20.476958
2004-01-13,20.371409
2004-01-14,20.637632
2004-01-15,20.679082
2004-01-16,20.959467
2004-01-20,20.63969
2004-01-21,20.806
2004-01-22,20.649312
2004-01-23,20.525122
2004-01-26,20.811377
2004-01-27,20.592261
2004-01-28,20.290436
2004-01-29,20.212635
2004-01-30,20.114906
2004-02-02,20.091351
2004-02-03,19.940896
2004-02-04,19.840429
2004-02-05,19.924021
2004-02-06,19.97496
2004-02-09,19.874841
2004-02-10,19.864073
2004-02-11,20.126124
2004-02-12,20.056137
2004-02-13,19.926569
2004-02-17,20.075521
2004-02-18,19.923458
2004-02-19,19.814001
2004-02-20,19.773747
2004-02-23,19.75345
2004-02-24,19.645665
2004-02-25,19.626644
2004-02-26,19.561741
2004-02-27,19.542291
2004-03-01,19.704938
2004-03-02,19.572494
2004-03-03,19.675754
2004-03-04,19.711786
2004-03-05,19.709799
2004-03-08,19.40953
2004-03-09,19.259395
2004-03-10,18.922924
2004-03-11,18.642925
2004-03-12,18.915805
2004-03-15,18.702993
2004-03-16,18.814809
2004-03-17,19.047009
2004-03-18,19.026345
2004-03-19,18.785819
2004-03-22,18.488896
2004-03-23,18.464321
2004-03-24,18.451561
2004-03-25,18.792373
2004-03-26,18.831188
2004-03-29,19.061047
2004-03-30,19.179703
2004-03-31,19.175327
2004-04-01,19.201986
2004-04-02,19.463456
2004-04-05,19.665907
2004-04-06,19.669807
2004-04-07,19.549605
2004-04-08,19.398404
2004-04-12,19.521993
2004-04-13,19.243269
2004-04-14,19.148016
2004-04-15,19.193737
2004-04-16,19.376111
2004-04-19,19.244624
2004-04-20,19.015622
2004-04-21,18.999673
2004-04-22,19.244638
2004-04-23,19.03332
2004-04-26,18.956122
2004-04-27,18.911398
2004-04-28,18.618386
2004-04-29,18.411819
2004-04-30,18.322506
2004-05-03,18.488254
2004-05-04,18.432022
2004-05-05,18.433619
2004-05-06,18.346982
2004-05-07,18.089587
2004-05-10,17.829829
2004-05-11,17.957236
2004-05-12,18.068018
2004-05-13,18.047582
2004-05-14,18.046904
2004-05-17,17.830229
2004-05-18,17.965722
2004-05-19,17.891624
2004-05-20,17.814254
2004-05-21,17.99448
2004-05-24,18.094702
2004-05-25,18.35862
2004-05-26,18.386237
2004-05-27,18.567142
2004-05-28,18.528996
2004-06-01,18.517763
2004-06-02,18.672638
2004-06-03,18.531344
2004-06-04,18.643573
2004-06-07,18.956693
2004-06-08,18.986692
2004-06-09,18.826043
2004-06-10,18.987963
2004-06-14,18.898365
2004-06-15,19.034858
2004-06-16,19.099828
2004-06-17,19.116077
2004-06-18,19.242193
2004-06-21,19.227303
2004-06-22,19.364475
2004-06-23,19.62162
2004-06-24,19.522445
2004-06-25,19.327659
