date,forward_pe
2003-06-12,13.036306
2003-06-13,12.868232
2003-06-16,13.130637
2003-06-17,13.137931
2003-06-18,13.181918
2003-06-19,13.18165
2003-06-20,13.169765
2003-06-23,13.013662
2003-06-24,12.915282
2003-06-25,12.903294
2003-06-26,13.012227
2003-06-27,12.893649
2003-06-30,12.919911
2003-07-01,12.858719
2003-07-02,12.948539
2003-07-03,12.844698
2003-07-07,12.893022
2003-07-08,12.815629
2003-07-09,12.685631
2003-07-10,12.442396
2003-07-11,12.538243
2003-07-14,12.526333
2003-07-15,12.35602
2003-07-16,12.170403
2003-07-17,12.094822
2003-07-18,12.325793
2003-07-21,12.104864
2003-07-22,12.309705
2003-07-23,12.226096
2003-07-24,12.254699
2003-07-25,12.304345
2003-07-28,12.252853
2003-07-29,12.213442
2003-07-30,12.078927
2003-07-31,12.129354
2003-08-01,12.085694
2003-08-04,12.094907
2003-08-05,11.895788
2003-08-06,12.036721
2003-08-07,12.093429
2003-08-08,12.176526
2003-08-11,12.186297
2003-08-12,12.294788
2003-08-13,12.429752
2003-08-14,12.467852
2003-08-15,12.469015
2003-08-18,12.376213
2003-08-19,12.338256
2003-08-20,12.479005
2003-08-21,12.52521
2003-08-22,12.378689
2003-08-25,12.38418
2003-08-26,12.403652
2003-08-27,12.420558
2003-08-28,12.428653
2003-08-29,12.466643
2003-09-02,12.660054
2003-09-03,12.744167
2003-09-04,12.745506
2003-09-05,12.70955
2003-09-08,12.845509
2003-09-09,12.742883
2003-09-10,12.760405
2003-09-11,12.733487
2003-09-12,12.822751
2003-09-15,12.785164
2003-09-16,12.902512
2003-09-17,12.818735
2003-09-18,13.006301
2003-09-19,13.033836
2003-09-22,12.902758
2003-09-23,12.997305
2003-09-24,12.85883
2003-09-25,12.871948
2003-09-26,12.995493
2003-09-29,13.131286
2003-09-30,13.079046
2003-10-01,13.199251
2003-10-02,13.285902
2003-10-03,13.337752
2003-10-06,13.39968
2003-10-07,13.328529
2003-10-08,13.253344
2003-10-09,13.395525
2003-10-10,13.369353
2003-10-13,13.406783
2003-10-14,13.456923
2003-10-15,13.294818
2003-10-16,13.347059
2003-10-17,13.313889
2003-10-20,13.361725
2003-10-21,13.281956
2003-10-22,13.236454
2003-10-23,13.106242
2003-10-24,13.087936
2003-10-27,13.111629
2003-10-28,13.11327
2003-10-29,13.139036
2003-10-30,13.11363
2003-10-31,13.101131
2003-11-03,13.224598
2003-11-04,13.10804
2003-11-05,13.104095
2003-11-06,13.075795
2003-11-07,12.960861
2003-11-10,12.967628
2003-11-11,12.960109
2003-11-12,12.91985
2003-11-13,12.867959
2003-11-14,12.83932
2003-11-17,12.693833
2003-11-18,12.512643
2003-11-19,12.753438
2003-11-20,12.700499
2003-11-21,12.721097
2003-11-24,12.870298
2003-11-25,12.934859
2003-11-26,13.014305
2003-11-28,13.052713
2003-12-01,13.15657
2003-12-02,13.13564
2003-12-03,13.10879
2003-12-04,13.189041
2003-12-05,13.232431
2003-12-08,13.314813
2003-12-09,13.22682
2003-12-10,13.240063
2003-12-11,13.302199
2003-12-12,13.322926
2003-12-15,13.325307
2003-12-16,13.38996
2003-12-17,13.469007
2003-12-18,13.616764
2003-12-19,13.655998
2003-12-22,13.766978
2003-12-23,13.853296
2003-12-24,13.834477
2003-12-26,13.829467
2003-12-29,13.958919
2003-12-30,14.008054
2003-12-31,13.962624
2004-01-02,13.951276
2004-01-05,13.953722
2004-01-06,13.915461
2004-01-07,14.040976
2004-01-08,14.024093
2004-01-09,13.97625
2004-01-12,13.919912
2004-01-13,13.895748
2004-01-14,14.025977
2004-01-15,13.936865
2004-01-16,13.964108
2004-01-20,14.088253
2004-01-21,14.298137
2004-01-22,14.311901
2004-01-23,14.233108
2004-01-26,14.140319
2004-01-27,14.078962
2004-01-28,14.11532
2004-01-29,14.090574
2004-01-30,14.022123
2004-02-02,13.981759
2004-02-03,14.048517
2004-02-04,13.861838
2004-02-05,13.757838
2004-02-06,13.863579
2004-02-09,13.87525
2004-02-10,13.969199
2004-02-11,14.012682
2004-02-12,14.066075
2004-02-13,13.941776
2004-02-17,14.089486
2004-02-18,14.158353
2004-02-19,14.006441
2004-02-20,13.939054
2004-02-23,13.978141
2004-02-24,13.927975
2004-02-25,14.091483
2004-02-26,14.146912
2004-02-27,14.313054
2004-03-01,14.425706
2004-03-02,14.367874
2004-03-03,14.366112
2004-03-04,14.399829
2004-03-05,14.507072
2004-03-08,14.455259
2004-03-09,14.424234
2004-03-10,14.278821
2004-03-11,14.080417
2004-03-12,14.144086
2004-03-15,14.132921
2004-03-16,14.212203
2004-03-17,14.461015
2004-03-18,14.387141
2004-03-19,14.331552
2004-03-22,14.176418
2004-03-23,14.088277
2004-03-24,14.076586
2004-03-25,14.126351
2004-03-26,14.149523
2004-03-29,14.228987
2004-03-30,14.312926
2004-03-31,14.329883
2004-04-01,14.485387
2004-04-02,14.435514
2004-04-05,14.456713
2004-04-06,14.461936
2004-04-07,14.335531
2004-04-08,14.298215
2004-04-12,14.061275
2004-04-13,13.825081
2004-04-14,13.79425
2004-04-15,13.863271
2004-04-16,13.912852
2004-04-19,13.855827
2004-04-20,13.748649
2004-04-21,13.746908
2004-04-22,13.895071
2004-04-23,13.908467
2004-04-26,13.900566
2004-04-27,13.805965
2004-04-28,13.763701
2004-04-29,13.562775
2004-04-30,13.581865
2004-05-03,13.361471
2004-05-04,13.368009
2004-05-05,13.270347
2004-05-06,13.234877
2004-05-07,12.855415
2004-05-10,12.632221
2004-05-11,12.587102
2004-05-12,12.56395
2004-05-13,12.590343
2004-05-14,12.698695
2004-05-17,12.566537
2004-05-18,12.66965
2004-05-19,12.605365
2004-05-20,12.687038
2004-05-21,12.685138
2004-05-24,12.85567
2004-05-25,13.076554
2004-05-26,13.076589
2004-05-27,13.186559
2004-05-28,13.237248
2004-06-01,13.174468
2004-06-02,13.193314
2004-06-03,13.084597
2004-06-04,13.099198
2004-06-07,13.225934
2004-06-08,13.114081
2004-06-09,12.983379
2004-06-10,13.063591
2004-06-14,12.999916
2004-06-15,13.090065
2004-06-16,13.14433
2004-06-17,13.212445
2004-06-18,13.26553
2004-06-21,13.351643
2004-06-22,13.340904
2004-06-23,13.437313
2004-06-24,13.455157
2004-06-25,13.406118
2004-06-28,13.436137
2004-06-29,13.307278
2004-06-30,13.369573
2004-07-01,13.242111
2004-07-02,13.36343
2004-07-06,13.370045
2004-07-07,13.382731
2004-07-08,13.345076
2004-07-09,13.277293
2004-07-12,13.280078
2004-07-13,13.284918
2004-07-14,13.417772
2004-07-15,13.458308
2004-07-16,13.563368
2004-07-19,13.643259
2004-07-20,13.697381
2004-07-21,13.45356
2004-07-22,13.372521
2004-07-23,13.305639
2004-07-26,13.266862
2004-07-27,13.24388
2004-07-28,13.341195
2004-07-29,13.311127
2004-07-30,13.317193
2004-08-02,13.442365
2004-08-03,13.473384
2004-08-04,13.63278
2004-08-05,13.437227
2004-08-06,13.539003
2004-08-09,13.52587
2004-08-10,13.609107
2004-08-11,13.601581
2004-08-12,13.576383
2004-08-13,13.543972
2004-08-16,13.63397
2004-08-17,13.618492
2004-08-18,13.767782
2004-08-19,13.654019
2004-08-20,13.683537
2004-08-23,13.638494
2004-08-24,13.648925
2004-08-25,13.716936
2004-08-26,13.70225
2004-08-27,13.709636
2004-08-30,13.727734
2004-08-31,13.872038
2004-09-01,13.897125
2004-09-02,13.975308
2004-09-03,13.927792
2004-09-07,14.000427
2004-09-08,13.874378
2004-09-09,13.923916
2004-09-10,13.973254
2004-09-13,13.875225
2004-09-14,13.872226
2004-09-15,13.912249
2004-09-16,14.03564
2004-09-17,14.068992
2004-09-20,14.036269
2004-09-21,14.07724
2004-09-22,14.028303
2004-09-23,13.934867
2004-09-24,14.018615
2004-09-27,14.061294
2004-09-28,14.163016
2004-09-29,14.112629
2004-09-30,14.150188
2004-10-01,14.253112
2004-10-04,14.298172
2004-10-05,14.322723
2004-10-06,14.400429
2004-10-07,14.324566
2004-10-08,14.397676
2004-10-11,14.423038
2004-10-12,14.49772
2004-10-13,14.323231
2004-10-14,14.311474
2004-10-15,14.456638
2004-10-18,14.382741
2004-10-19,14.309845
2004-10-20,14.3689
2004-10-21,14.160592
2004-10-22,14.124051
2004-10-25,14.308403
2004-10-26,14.491856
2004-10-27,14.414966
2004-10-28,14.331205
2004-10-29,14.384046
2004-11-01,14.460155
2004-11-02,14.204394
2004-11-03,14.395778
2004-11-04,14.582296
2004-11-05,14.415508
2004-11-08,14.534749
2004-11-09,14.526139
2004-11-10,14.512832
2004-11-11,14.599809
2004-11-12,14.76703
2004-11-15,14.672789
2004-11-16,14.661356
2004-11-17,14.540392
2004-11-18,14.549574
2004-11-19,14.503882
2004-11-22,14.725708
2004-11-23,14.791324
2004-11-24,14.835801
2004-11-26,14.865761
2004-11-29,14.699924
2004-11-30,14.505175
2004-12-01,14.413175
2004-12-02,14.268964
2004-12-03,14.373893
2004-12-06,14.49763
2004-12-07,14.370686
2004-12-08,14.321127
2004-12-09,14.345781
2004-12-10,14.377567
2004-12-13,14.61261
2004-12-14,14.667974
2004-12-15,14.766036
2004-12-16,14.754491
2004-12-17,14.762457
2004-12-20,14.924179
2004-12-21,15.029875
2004-12-22,15.064448
2004-12-23,15.046973
2004-12-27,14.97125
2004-12-28,15.058331
2004-12-29,15.06404
2004-12-30,15.090578
2004-12-31,15.007082
2005-01-03,14.832895
2005-01-04,14.721853
2005-01-05,14.578181
2005-01-06,14.593123
2005-01-07,14.55341
2005-01-10,14.659165
2005-01-11,14.597426
2005-01-12,14.631029
2005-01-13,14.70543
2005-01-14,14.829439
2005-01-18,14.958319
2005-01-19,14.818921
2005-01-20,14.715801
2005-01-21,14.656262
2005-01-24,14.811039
2005-01-25,14.680284
2005-01-26,14.880004
2005-01-27,14.921205
2005-01-28,15.03747
2005-01-31,15.072701
2005-02-01,15.206616
2005-02-02,15.207215
