date,forward_pe
2003-06-11,16.682874
2003-06-12,16.526375
2003-06-13,16.302231
2003-06-16,16.313774
2003-06-17,16.112414
2003-06-18,15.935112
2003-06-19,15.874503
2003-06-20,15.842922
2003-06-23,15.875915
2003-06-24,15.872201
2003-06-25,15.743641
2003-06-26,15.700409
2003-06-27,15.57142
2003-06-30,15.460914
2003-07-01,15.440385
2003-07-02,15.454487
2003-07-03,15.356442
2003-07-07,15.315099
2003-07-08,15.235685
2003-07-09,15.30527
2003-07-10,15.102709
2003-07-11,15.210039
2003-07-14,15.047401
2003-07-15,14.969799
2003-07-16,14.865334
2003-07-17,14.912706
2003-07-18,15.235306
2003-07-21,15.079453
2003-07-22,15.094909
2003-07-23,14.982942
2003-07-24,14.746364
2003-07-25,15.027472
2003-07-28,15.009997
2003-07-29,14.785568
2003-07-30,14.843471
2003-07-31,15.087318
2003-08-01,14.937549
2003-08-04,14.912269
2003-08-05,14.894811
2003-08-06,15.098713
2003-08-07,15.416049
2003-08-08,15.485392
2003-08-11,15.545148
2003-08-12,15.65984
2003-08-13,15.626317
2003-08-14,15.743319
2003-08-15,15.68016
2003-08-18,15.714944
2003-08-19,15.637636
2003-08-20,15.716483
2003-08-21,15.786295
2003-08-22,15.536473
2003-08-25,15.575267
2003-08-26,15.485094
2003-08-27,15.562881
2003-08-28,15.786492
2003-08-29,15.820173
2003-09-02,15.911502
2003-09-03,15.902047
2003-09-04,15.847031
2003-09-05,15.582261
2003-09-08,15.732692
2003-09-09,15.52443
2003-09-10,15.42538
2003-09-11,15.407896
2003-09-12,15.340555
2003-09-15,15.249636
2003-09-16,15.277777
2003-09-17,15.005514
2003-09-18,15.104183
2003-09-19,15.163438
2003-09-22,15.098056
2003-09-23,15.182804
2003-09-24,15.116504
2003-09-25,14.923979
2003-09-26,14.780751
2003-09-29,14.866474
2003-09-30,14.786067
2003-10-01,15.09131
2003-10-02,15.066217
2003-10-03,15.135032
2003-10-06,15.262046
2003-10-07,15.466719
2003-10-08,15.255408
2003-10-09,15.177436
2003-10-10,15.270982
2003-10-13,15.303623
2003-10-14,15.210053
2003-10-15,14.952512
2003-10-16,15.096868
2003-10-17,14.99282
2003-10-20,14.955121
2003-10-21,14.957711
2003-10-22,14.716037
2003-10-23,14.836787
2003-10-24,14.828292
2003-10-27,14.783034
2003-10-28,14.843117
2003-10-29,14.908834
2003-10-30,14.91904
2003-10-31,15.337914
2003-11-03,15.359439
2003-11-04,15.312995
2003-11-05,15.247073
2003-11-06,15.301185
2003-11-07,15.330716
2003-11-10,15.319009
2003-11-11,15.353815
2003-11-12,15.410979
2003-11-13,15.575433
2003-11-14,15.508879
2003-11-17,15.330693
2003-11-18,15.205703
2003-11-19,15.277914
2003-11-20,15.21091
2003-11-21,15.1227
2003-11-24,15.162336
2003-11-25,15.271928
2003-11-26,15.416372
2003-11-28,15.377417
2003-12-01,15.507202
2003-12-02,15.584485
2003-12-03,15.568062
2003-12-04,15.890503
2003-12-05,15.922775
2003-12-08,16.094202
2003-12-09,16.009275
2003-12-10,16.025824
2003-12-11,16.087956
2003-12-12,16.220361
2003-12-15,16.050029
2003-12-16,16.297146
2003-12-17,16.177841
2003-12-18,16.544065
2003-12-19,16.454599
2003-12-22,16.405188
2003-12-23,16.370808
2003-12-24,16.478394
2003-12-26,16.547376
2003-12-29,16.762534
2003-12-30,16.78777
2003-12-31,16.802611
2004-01-02,16.670274
2004-01-05,17.02178
2004-01-06,16.902071
2004-01-07,16.749986
2004-01-08,16.707467
2004-01-09,16.638127
2004-01-12,16.726829
2004-01-13,16.689543
2004-01-14,16.674029
2004-01-15,16.394716
2004-01-16,16.536653
2004-01-20,16.855451
2004-01-21,17.016757
2004-01-22,16.91018
2004-01-23,16.930272
2004-01-26,17.038389
2004-01-27,16.961726
2004-01-28,16.727909
2004-01-29,16.780046
2004-01-30,16.321345
2004-02-02,16.276427
2004-02-03,16.385296
2004-02-04,16.284824
2004-02-05,16.202339
2004-02-06,16.311851
2004-02-09,16.460195
2004-02-10,16.654111
2004-02-11,16.908833
2004-02-12,16.902182
2004-02-13,16.84968
2004-02-17,17.080174
2004-02-18,16.88816
2004-02-19,16.914906
2004-02-20,16.924571
2004-02-23,17.073261
2004-02-24,17.046679
2004-02-25,17.111559
2004-02-26,17.084902
2004-02-27,17.057501
2004-03-01,17.136739
2004-03-02,16.907945
2004-03-03,16.848931
2004-03-04,16.636351
2004-03-05,16.712478
2004-03-08,16.738344
2004-03-09,16.67259
2004-03-10,16.424185
2004-03-11,16.044731
2004-03-12,16.305749
2004-03-15,16.232455
2004-03-16,16.206804
2004-03-17,16.390046
2004-03-18,16.432486
2004-03-19,16.103245
2004-03-22,15.862344
2004-03-23,15.771801
2004-03-24,15.425116
2004-03-25,15.380707
2004-03-26,15.502916
2004-03-29,15.580442
2004-03-30,15.831339
2004-03-31,15.922112
2004-04-01,15.534845
2004-04-02,15.568921
2004-04-05,15.633325
2004-04-06,15.60581
2004-04-07,15.544416
