date,forward_pe
2003-06-12,21.830229
2003-06-13,21.575573
2003-06-16,22.004844
2003-06-17,22.03825
2003-06-18,21.8684
2003-06-19,21.831644
2003-06-20,21.903463
2003-06-23,21.476408
2003-06-24,21.963459
2003-06-25,21.827102
2003-06-26,22.172883
2003-06-27,21.926683
2003-06-30,22.002327
2003-07-01,21.988988
2003-07-02,22.220971
2003-07-03,22.004423
2003-07-07,22.372855
2003-07-08,21.991958
2003-07-09,21.857344
2003-07-10,21.544257
2003-07-11,21.725699
2003-07-14,21.813205
2003-07-15,21.650031
2003-07-16,21.675385
2003-07-17,21.457123
2003-07-18,21.899395
2003-07-21,21.829037
2003-07-22,22.275427
2003-07-23,22.164849
2003-07-24,21.760863
2003-07-25,21.941148
2003-07-28,21.572545
2003-07-29,21.199803
2003-07-30,21.172219
2003-07-31,21.384988
2003-08-01,20.975072
2003-08-04,20.881028
2003-08-05,20.633511
2003-08-06,20.577894
2003-08-07,20.651033
2003-08-08,20.888169
2003-08-11,20.851461
2003-08-12,20.914791
2003-08-13,20.864946
2003-08-14,21.203564
2003-08-15,21.14701
2003-08-18,21.505051
2003-08-19,21.673782
2003-08-20,21.611487
2003-08-21,21.717399
2003-08-22,21.412741
2003-08-25,21.270719
2003-08-26,21.387314
2003-08-27,21.498992
2003-08-28,21.757504
2003-08-29,21.834829
2003-09-02,22.01244
2003-09-03,21.980767
2003-09-04,21.827508
2003-09-05,21.60974
2003-09-08,21.803139
2003-09-09,21.68589
2003-09-10,21.231554
2003-09-11,21.340674
2003-09-12,21.727285
2003-09-15,21.517022
2003-09-16,21.668403
2003-09-17,21.686391
2003-09-18,21.930086
2003-09-19,21.963224
2003-09-22,21.565327
2003-09-23,21.657704
2003-09-24,21.31906
2003-09-25,20.984316
2003-09-26,20.883446
2003-09-29,21.148552
2003-09-30,20.744097
2003-10-01,20.902443
2003-10-02,21.024615
2003-10-03,21.352073
2003-10-06,21.439986
2003-10-07,21.388561
2003-10-08,21.435855
2003-10-09,21.492878
2003-10-10,21.2418
2003-10-13,21.578785
2003-10-14,21.603228
2003-10-15,21.62791
2003-10-16,21.653835
2003-10-17,21.414202
2003-10-20,21.49574
2003-10-21,21.516969
2003-10-22,20.639716
2003-10-23,20.392676
2003-10-24,20.337934
2003-10-27,20.475057
2003-10-28,20.587095
2003-10-29,20.785912
2003-10-30,21.04782
2003-10-31,20.979847
2003-11-03,21.023099
2003-11-04,21.013982
2003-11-05,20.890497
2003-11-06,20.94202
2003-11-07,20.989697
2003-11-10,20.724887
2003-11-11,20.6766
2003-11-12,20.947585
2003-11-13,20.897689
2003-11-14,20.80538
2003-11-17,20.592912
2003-11-18,20.570313
2003-11-19,20.616282
2003-11-20,20.425171
2003-11-21,20.382699
2003-11-24,20.629802
2003-11-25,20.968668
2003-11-26,21.176907
2003-11-28,21.231688
2003-12-01,21.860053
2003-12-02,21.892598
2003-12-03,22.064863
2003-12-04,22.258321
2003-12-05,21.954609
2003-12-08,22.394935
2003-12-09,22.478877
2003-12-10,22.116293
2003-12-11,22.42619
2003-12-12,22.575123
2003-12-15,22.433772
2003-12-16,22.457204
2003-12-17,22.556539
2003-12-18,22.788188
2003-12-19,22.646501
2003-12-22,22.871472
2003-12-23,22.896566
2003-12-24,22.809469
2003-12-26,22.992985
2003-12-29,23.380947
2003-12-30,23.133196
2003-12-31,23.184984
2004-01-02,23.063367
2004-01-05,23.49964
2004-01-06,23.229429
2004-01-07,23.051044
2004-01-08,23.310634
2004-01-09,22.596597
2004-01-12,22.535164
2004-01-13,22.297331
2004-01-14,22.388564
2004-01-15,22.157439
2004-01-16,22.20232
2004-01-20,21.939383
2004-01-21,21.957571
2004-01-22,21.770503
2004-01-23,21.286821
2004-01-26,21.341928
2004-01-27,21.167323
2004-01-28,20.842971
2004-01-29,20.47528
2004-01-30,20.460021
2004-02-02,19.910181
2004-02-03,19.659974
2004-02-04,19.480943
2004-02-05,19.808253
2004-02-06,20.111674
2004-02-09,20.131186
2004-02-10,20.197305
2004-02-11,20.608019
2004-02-12,20.534791
2004-02-13,20.296856
2004-02-17,20.482646
2004-02-18,20.361194
2004-02-19,20.473685
2004-02-20,20.280602
2004-02-23,20.310707
2004-02-24,20.39317
2004-02-25,20.447145
2004-02-26,20.406365
2004-02-27,20.486023
2004-03-01,20.868025
2004-03-02,20.559036
2004-03-03,20.448649
2004-03-04,20.538169
2004-03-05,20.547792
2004-03-08,20.210109
2004-03-09,19.890282
2004-03-10,19.277455
2004-03-11,19.0824
2004-03-12,19.386311
2004-03-15,18.918771
2004-03-16,19.075128
2004-03-17,19.360146
2004-03-18,19.308411
2004-03-19,19.362697
2004-03-22,18.720212
2004-03-23,18.794157
2004-03-24,18.655253
2004-03-25,19.1566
2004-03-26,19.176233
2004-03-29,19.435429
2004-03-30,19.563888
2004-03-31,19.595319
2004-04-01,19.706934
2004-04-02,20.028538
2004-04-05,19.929714
2004-04-06,19.789692
2004-04-07,19.626457
2004-04-08,19.520552
2004-04-12,19.712509
2004-04-13,19.327657
2004-04-14,19.123082
2004-04-15,19.125039
2004-04-16,19.258686
2004-04-19,19.135504
2004-04-20,18.564673
2004-04-21,18.34463
2004-04-22,18.759164
2004-04-23,18.28813
2004-04-26,18.289282
2004-04-27,18.146364
2004-04-28,17.349958
2004-04-29,16.598748
2004-04-30,16.445228
2004-05-03,16.442745
2004-05-04,16.625852
2004-05-05,16.525971
2004-05-06,16.316643
2004-05-07,15.748376
2004-05-10,15.700649
2004-05-11,15.832
2004-05-12,15.789792
2004-05-13,15.923386
2004-05-14,15.918438
2004-05-17,15.606405
2004-05-18,15.83686
2004-05-19,15.906793
2004-05-20,15.862557
2004-05-21,16.050149
2004-05-24,16.183353
2004-05-25,16.514926
2004-05-26,16.553117
2004-05-27,16.740089
2004-05-28,16.660711
2004-06-01,16.626348
2004-06-02,16.701188
2004-06-03,16.373191
2004-06-04,16.530961
2004-06-07,16.838815
2004-06-08,16.873295
2004-06-09,16.578757
2004-06-10,16.668176
2004-06-14,16.426965
2004-06-15,16.540507
2004-06-16,16.556532
2004-06-17,16.577362
2004-06-18,16.807439
2004-06-21,16.741964
2004-06-22,16.759889
2004-06-23,16.973758
2004-06-24,16.942692
2004-06-25,16.979669
2004-06-28,16.887218
2004-06-29,17.045153
2004-06-30,17.145516
2004-07-01,16.851817
2004-07-02,16.772779
2004-07-06,16.656441
2004-07-07,16.730222
2004-07-08,16.568881
2004-07-09,16.611846
2004-07-12,16.627785
2004-07-13,16.635257
2004-07-14,16.651272
2004-07-15,16.620637
2004-07-16,16.621933
2004-07-19,16.456581
2004-07-20,16.253693
2004-07-21,15.946461
2004-07-22,15.821101
2004-07-23,15.653859
2004-07-26,15.389471
2004-07-27,15.194519
2004-07-28,15.254707
2004-07-29,15.222131
2004-07-30,15.122888
2004-08-02,15.183696
2004-08-03,15.026781
2004-08-04,15.033034
2004-08-05,14.687113
2004-08-06,14.411109
2004-08-09,14.476524
2004-08-10,14.721697
2004-08-11,14.628789
2004-08-12,14.424607
2004-08-13,14.38762
2004-08-16,14.791217
2004-08-17,14.888796
2004-08-18,15.023677
2004-08-19,15.039889
2004-08-20,15.182308
2004-08-23,15.033362
2004-08-24,15.081336
2004-08-25,15.243424
2004-08-26,15.315677
2004-08-27,15.312232
2004-08-30,15.18708
2004-08-31,15.245732
2004-09-01,15.331426
2004-09-02,15.498471
2004-09-03,15.486759
2004-09-07,15.606777
2004-09-08,15.437731
2004-09-09,15.495102
2004-09-10,15.313168
2004-09-13,15.232313
2004-09-14,15.211179
2004-09-15,15.157583
2004-09-16,15.260419
2004-09-17,15.201113
2004-09-20,15.221288
2004-09-21,15.311871
2004-09-22,15.183987
2004-09-23,15.052936
2004-09-24,15.156163
2004-09-27,15.12873
2004-09-28,15.450642
2004-09-29,15.488014
2004-09-30,15.694679
2004-10-01,15.770608
2004-10-04,15.782723
2004-10-05,15.783729
2004-10-06,15.943675
2004-10-07,15.496972
2004-10-08,15.383397
2004-10-11,15.40137
2004-10-12,15.261168
2004-10-13,14.907155
2004-10-14,14.892095
2004-10-15,15.017593
2004-10-18,14.993626
2004-10-19,14.564656
2004-10-20,14.669676
2004-10-21,14.914498
2004-10-22,14.850023
2004-10-25,14.974084
2004-10-26,15.069817
2004-10-27,15.078749
2004-10-28,14.792017
2004-10-29,15.014833
2004-11-01,15.005244
2004-11-02,14.930475
2004-11-03,15.119726
2004-11-04,15.470556
2004-11-05,15.386534
2004-11-08,15.359829
2004-11-09,15.414512
2004-11-10,15.395986
2004-11-11,15.464292
2004-11-12,15.67296
2004-11-15,15.602761
2004-11-16,15.403013
2004-11-17,15.603556
2004-11-18,15.635572
2004-11-19,15.545878
2004-11-22,15.870875
2004-11-23,15.782628
2004-11-24,15.805029
2004-11-26,15.971154
2004-11-29,15.987085
2004-11-30,15.895485
2004-12-01,16.123601
2004-12-02,15.937237
2004-12-03,15.889638
2004-12-06,15.785125
2004-12-07,15.501258
2004-12-08,15.556151
2004-12-09,15.686838
2004-12-10,15.683697
2004-12-13,15.921927
2004-12-14,15.962724
2004-12-15,16.167361
2004-12-16,15.995157
2004-12-17,15.948967
2004-12-20,16.002596
2004-12-21,16.237542
2004-12-22,16.312222
2004-12-23,16.349734
2004-12-27,16.304842
2004-12-28,16.435805
2004-12-29,16.435402
2004-12-30,16.350254
2004-12-31,16.345392
2005-01-03,13.439896
2005-01-04,13.103043
2005-01-05,12.973104
2005-01-06,12.976015
2005-01-07,13.05211
2005-01-10,12.835775
2005-01-11,12.887037
2005-01-12,12.914976
2005-01-13,12.893178
2005-01-14,13.01907
2005-01-18,13.031585
2005-01-19,12.958005
2005-01-20,12.866987
2005-01-21,12.787814
2005-01-24,12.66358
2005-01-25,12.726605
2005-01-26,12.706545
2005-01-27,12.67736
2005-01-28,12.578433
2005-01-31,12.643082
2005-02-01,12.700339
2005-02-02,12.800999
2005-02-03,12.655592
2005-02-04,12.890418
2005-02-07,12.873087
2005-02-08,12.816876
2005-02-09,12.659216
2005-02-10,12.823092
2005-02-11,12.930534
2005-02-14,12.969332
2005-02-15,13.032831
2005-02-16,13.181434
2005-02-17,13.150481
2005-02-18,13.284907
2005-02-22,13.09169
2005-02-23,13.277581
2005-02-24,13.446421
2005-02-25,13.629324
2005-02-28,13.522013
2005-03-01,13.570791
2005-03-02,13.537878
2005-03-03,13.526401
2005-03-04,13.971334
2005-03-07,13.855953
2005-03-08,13.81657
2005-03-09,13.815886
2005-03-10,13.644166
2005-03-11,13.626616
2005-03-14,13.616886
2005-03-15,13.552559
2005-03-16,13.291752
2005-03-17,13.435633
2005-03-18,13.466008
2005-03-21,13.307516
2005-03-22,13.259622
2005-03-23,13.108627
2005-03-24,13.0978
2005-03-28,13.033867
2005-03-29,12.764216
2005-03-30,12.936585
2005-03-31,13.027946
2005-04-01,12.981535
2005-04-04,12.878803
2005-04-05,12.89457
2005-04-06,12.770045
2005-04-07,12.974213
2005-04-08,12.792341
2005-04-11,12.749069
2005-04-12,12.746222
2005-04-13,12.401497
2005-04-14,12.050294
2005-04-15,11.76545
2005-04-18,11.940106
2005-04-19,12.10519
2005-04-20,11.889074
2005-04-21,12.159954
2005-04-22,11.976585
2005-04-25,12.146752
2005-04-26,11.902152
2005-04-27,11.801872
2005-04-28,11.450682
2005-04-29,11.657649
2005-05-02,11.698659
2005-05-03,11.765421
2005-05-04,11.945457
2005-05-05,11.887766
2005-05-06,11.908975
2005-05-09,11.90596
2005-05-10,11.727554
2005-05-11,11.725032
2005-05-12,11.39808
2005-05-13,11.183753
2005-05-16,11.265383
2005-05-17,11.427104
2005-05-18,11.705972
2005-05-19,11.66907
2005-05-20,11.57759
2005-05-23,11.695508
2005-05-24,11.666316
2005-05-25,11.551599
2005-05-26,11.637195
2005-05-27,11.677531
2005-05-31,11.581038
2005-06-01,11.76757
2005-06-02,11.749646
2005-06-03,11.702785
2005-06-06,11.768194
2005-06-07,11.816
2005-06-08,11.774795
2005-06-09,11.722914
2005-06-10,11.809699
