date,S&P 500,Information Technology,Communication Services,Consumer Discretionary,Financials,Industrials,Utilities,Energy,Real Estate,Materials,Consumer Staples,Health Care
1999-07-01,,,,,16.58,,,,,,,
1999-08-01,,,,,15.42,,,,,,,
1999-09-01,,,,,14.55,,,,,,,
1999-10-01,,,,,14.18,,,,,,,
1999-11-01,,,,,15.73,,,,,,,
1999-12-01,,,,,14.73,,,,,,,
2000-01-01,,,,,14.01,,,,,,,
2000-02-01,,,,,13.12,,,,,,,
2000-03-01,,,,,13.7,,,,,,,
2000-04-01,,,,,14.74,,,,,,,
2000-05-01,,,,,14.68,,,,,,,
2000-06-01,,,,,15.24,,,,,,,
2000-07-01,,,,,15.3,,,,,,,
2000-08-01,,,,,16.58,,,,,,,
2000-09-01,,,,,17.21,,,,,,,
2000-10-01,,,,,16.84,,,,,,,
2000-11-01,,,,,16.84,,,,,,,
2000-12-01,,,,,17.43,,,,,,,
2001-01-01,,,,,17.99,,,,,,,
2001-02-01,,,,,17.74,,,,,,,
2001-03-01,,,,,16.35,,,,,,,
2001-04-01,,,,,16.33,,,,,,,
2001-05-01,,,,,17.31,,,,,,,
2001-06-01,,,,,17.34,,,,,,,
2001-07-01,,,,,16.86,,,,,,,
2001-08-01,,,,,16.52,,,,,,,
2001-09-01,,,,,14.67,,,,,,,
2001-10-01,,,,,14.68,,,,,,,
2001-11-01,,,,,15.37,,,,,,,
2001-12-01,,,,,15.49,,,,,,,
2002-01-01,,,,,15.26,,,,,,,
2002-02-01,,,,,14.54,,,,,,,
2002-03-01,,,,,15.7,,,,,,,
2002-04-01,,,,,15.51,,,,,,,
2002-05-01,,,,,15.29,,,,,,,
2002-06-01,,,,,14.53,,,,,,,
2002-07-01,,,,,12.96,,,,,,,
2002-08-01,,,,,13.16,,,,,,,
2002-09-01,,,,,12.4,,,,,,,
2002-10-01,,,,,11.7,,,,,,,
2002-11-01,,,,,12.52,,,,,,,
2002-12-01,,,,,12.35,,,,,,,
2003-01-01,,,,,11.83,,,,,,,
2003-02-01,,,,,10.87,,,,,,,
2003-03-01,,,,,10.88,,,,,,,
2003-04-01,,,,,11.15,,,,,,,
2003-05-01,,,,,11.73,,,,,,,
2003-06-01,,,,,12.43,,,,,,,
2003-07-01,,,,,12.15,,,,,,,
2003-08-01,,,,,12.02,,,,,,,
2003-09-01,,,,,12.19,,,,,,,
2003-10-01,,,,,12.36,,,,,,,
2003-11-01,,,,,12.44,,,,,,,
2003-12-01,,,,,12.7,,,,,,,
2004-01-01,,,,,13.01,,,,,,,
2004-02-01,,,,,13.38,,,,,,,
2004-03-01,,,,,13.35,,,,,,,
2004-04-01,,,,,12.87,,,,,,,
2004-05-01,,,,,12.4,,,,,,,
2004-06-01,,,,,12.7,,,,,,,
2004-07-01,,,,,12.18,,,,,,,
2004-08-01,,,,,12.23,,,,,,,
2004-09-01,,,,,12.58,,,,,,,
2004-10-01,,,,,12.29,,,,,,,
2004-11-01,,,,,12.74,,,,,,,
2004-12-01,,,,,13.09,,,,,,,
2005-01-01,,,,,12.87,,,,,,,
2005-02-01,,,,,12.95,,,,,,,
2005-03-01,,,,,12.56,,,,,,,
2005-04-01,,,,,11.94,,,,,,,
2005-05-01,,,,,12.26,,,,,,,
2005-06-01,,,,,12.47,,,,,,,
2005-07-01,,,,,12.43,,,,,,,
2005-08-01,,,,,12.27,,,,,,,
2005-09-01,,,,,12.23,,,,,,,
2005-10-01,,,,,11.77,,,,,,,
2005-11-01,,,,,12.61,,,,,,,
2005-12-01,,,,,12.8,,,,,,,
2006-01-01,,,,,12.42,,,,,,,
2006-02-01,,,,,12.42,,,,,,,
2006-03-01,,,,,12.64,,,,,,,
2006-04-01,,,,,12.36,,,,,,,
2006-05-01,,,,,12.44,,,,,,,
2006-06-01,,,,,12.08,,,,,,,
2006-07-01,,,,,11.87,,,,,,,
2006-08-01,,,,,12.12,,,,,,,
2006-09-01,,,,,12.45,,,,,,,
2006-10-01,,,,,12.91,,,,,,,
2006-11-01,,,,,13.05,,,,,,,
2006-12-01,,,,,13.35,,,,,,,
2007-01-01,,,,,15.94,,,,,,,
2007-02-01,,,,,16.12,,,,,,,
2007-03-01,,,,,15.36,,,,,,,
2007-04-01,,,,,23.29,,,,,,,
2007-05-01,,,,,24.05,,,,,,,
2007-06-01,,,,,23.69,,,,,,,
2007-07-01,,,,,46.35,,,,,,,
2007-08-01,,,,,43.62,,,,,,,
2007-09-01,,,,,44.01,,,,,,,
2007-10-01,,,,,-120.26,,,,,,,
2007-11-01,,,,,-105.71,,,,,,,
2007-12-01,,,,,-104.42,,,,,,,
2008-01-01,27.85,22.99,18.76,46.24,-17.37,15.66,17.07,10.97,74.6,30.43,16.85,16.53
2008-02-01,27.37,21.69,17.55,47.87,-17.17,15.78,16.29,10.86,76.77,31.32,16.57,15.83
2008-03-01,26.6,21.55,16.84,46.04,-15.84,15.66,15.69,10.96,78.05,30.93,16.65,14.94
2008-04-01,31.87,24.95,17.96,82.11,-17.56,17.86,16.92,15.44,106.49,57.51,17.12,14.75
2008-05-01,32.63,26.45,18.9,84.35,-17.41,18.07,17.28,16.29,107.38,59.24,17.1,14.78
2008-06-01,31.19,25.91,17.67,79.27,-15.21,16.94,17.37,16.36,101.14,58.75,16.75,14.41
2008-07-01,31.6,25.73,17.05,53.41,-15.21,17.88,16.94,19.56,257.82,156.07,16.09,14.48
2008-08-01,32.21,26.77,16.8,57.37,-15.8,18.48,16.02,18.13,266.94,152.07,16.85,15.2
2008-09-01,30.59,24.16,16.15,56.88,-15.54,17.34,15.03,16.92,265.23,141.42,16.77,14.52
2008-10-01,24.46,18.92,13.7,28.16,-19.29,15.16,12.62,25.38,750.74,378.56,14.41,12.13
2008-11-01,22.29,16.65,13.95,24.79,-15.42,13.79,12.53,24.99,559.35,329.06,13.89,11.41
2008-12-01,22.16,16.53,14.64,26.21,-14.71,13.67,12.44,24.39,558.31,323.23,13.7,11.46
2009-01-01,15.22,13.28,14.48,14.92,31.9,13.82,12.86,22.22,69.72,19.21,12.99,11.58
2009-02-01,14.16,13.14,13.61,13.45,25.99,12.01,12.23,20.92,57.2,17.82,12.12,11.52
2009-03-01,13.32,12.92,13.7,13.12,24.51,10.66,10.79,19.4,49.48,17.5,11.61,10.29
2009-04-01,12.83,12.88,14.74,11.75,18.33,12.14,10.87,14.01,90.85,15.59,11.91,10.44
2009-05-01,13.65,13.35,14.46,12.38,21.11,13.2,11.14,15.09,100.33,17.15,12.38,10.89
